,ISIN,Identifier,Issuer,Maturity,Seniority,Currency,Coupon,Frequency
64,XS2176534795,xs2176534795-wuerth-finance-international-b-v-0-75-20-27,Würth Finance International B.V.,2027-11-22,,EUR,0.75,yearly
65,DE0001141745,de0001141745-deutschland-bundesrepublik-0-000-16-21,"Deutschland, Bundesrepublik",2021-10-08,,EUR,,yearly
66,DE000A2YPAJ3,de000a2ypaj3-semper-idem-underberg-ag-4-19-25,Semper idem Underberg AG,2025-11-18,,EUR,4.0,yearly
67,DE000A254RV3,de000a254rv3-publity-ag-5-5-20-25,publity AG,2025-06-19,,EUR,5.5,yearly
68,XS1206541366,xs1206541366-volkswagen-international-finance-n-v-3-5,Volkswagen International Finance N.V.,,True,EUR,3.5,yearly
69,DE000A2YPEZ1,de000a2ypez1-eyemaxx-real-estate-ag-5-5-19-24,Eyemaxx Real Estate AG,2024-09-24,,EUR,5.5,yearly
70,US50077LAK26,us50077lak26-kraft-heinz-foods-co-3-95-16-25,Kraft Heinz Foods Co.,2025-07-15,,USD,3.95,semiannual
71,XS1979274708,xs1979274708-otto-gmbh-co-kg-2-625-19-26,Otto [GmbH & Co KG],2026-04-10,,EUR,2.625,yearly
72,DE000HLB12B8,de000hlb12b8-landesbank-hessen-thueringen-girozentrale-0-4-15-21,Landesbank Hessen-Thüringen Girozentrale,2021-03-15,,EUR,0.4,yearly
73,XS1806457211,xs1806457211-volkswagen-financial-services-ag-0-875-18-23,VOLKSWAGEN FINANCIAL SERVICES AG,2023-04-12,,EUR,0.875,yearly
74,DE000A2DADR6,de000a2dadr6-sixt-leasing-se-1-125-17-21,Sixt Leasing SE,2021-02-03,,EUR,1.125,yearly
75,DE000A0GNPZ3,de000a0gnpz3-allianz-finance-ii-b-v-5-375,Allianz Finance II B.V.,,True,EUR,5.375,yearly
76,NO0010821598,no0010821598-norwegen-koenigreich-2-18-28,"Norwegen, Königreich",2028-04-26,,NOK,2.0,yearly
77,DE000HLB0551,de000hlb0551-landesbank-hessen-thueringen-girozentrale-1-4-14-20,Landesbank Hessen-Thüringen Girozentrale,2020-09-14,,EUR,1.4,yearly
78,US594918AL81,us594918al81-microsoft-corp-4-11-21,Microsoft Corp.,2021-02-08,,USD,4.0,semiannual
79,US900123AT75,us900123at75-tuerkei-republik-8-04-34,"Türkei, Republik",2034-02-14,,USD,8.0,semiannual
80,US912833LC28,us912833lc28-america-united-states-of-0-000-91-21,"America, United States of...",2021-02-15,,,,no payments
81,DE000NLB1DD3,de000nlb1dd3-norddeutsche-landesbank-girozentrale-3-5-15-25,Norddeutsche Landesbank -Girozentrale-,2025-12-22,True,EUR,3.5,yearly
82,US500769FK50,us500769fk50-kreditanstalt-fuer-wiederaufbau-2-125-13-23,Kreditanstalt für Wiederaufbau,2023-01-17,,USD,2.125,semiannual
83,DE000HLB4Q51,de000hlb4q51-landesbank-hessen-thueringen-girozentrale-0-85-18-26,Landesbank Hessen-Thüringen Girozentrale,2026-08-10,,EUR,0.85,yearly
84,DE000HLB3RR7,de000hlb3rr7-landesbank-hessen-thueringen-girozentrale-0-4-18-23,Landesbank Hessen-Thüringen Girozentrale,2023-06-01,,EUR,0.4,yearly
85,DE000BLB6YT8,de000blb6yt8-bayerische-landesbank-0-5-18-24,Bayerische Landesbank,2024-12-20,False,EUR,0.5,yearly
86,US87264AAM71,us87264aam71-t-mobile-usa-inc-6-14-23,T-Mobile USA Inc.,2023-03-01,,USD,6.0,semiannual
87,DE000A2GSB86,de000a2gsb86-paragon-gmbh-co-kgaa-4-5-17-22,paragon GmbH & Co. KGaA,2022-07-05,,EUR,4.5,yearly
88,XS2002496409,xs2002496409-baywa-ag-3-125-19-24,BayWa AG,2024-06-26,,EUR,3.125,yearly
89,XS0205537581,xs0205537581-argentinien-republik-3-38-03-38,"Argentinien, Republik",2038-12-31,,EUR,3.38,semiannual
90,XS1251078694,xs1251078694-kirk-beauty-one-gmbh-8-75-15-23,Kirk Beauty One GmbH,2023-07-15,,EUR,8.75,semiannual
91,AT0000A1Y3P7,at0000a1y3p7-voestalpine-ag-1-375-17-24,voestalpine AG,2024-09-27,,EUR,1.375,yearly
92,DE000A2AASM1,de000a2aasm1-prokon-regenerative-energien-eg-3-5-16-30,PROKON Regenerative Energien eG,2030-06-25,,EUR,3.5,yearly
93,DE0008592759,de0008592759-ikb-funding-trust-i-1-097,IKB Funding Trust I,,True,EUR,1.097,quarterly
94,CH0033596476,ch0033596476-european-investment-bank-eib-3-375-07-27,European Investment Bank (EIB),2027-10-15,,CHF,3.375,yearly
95,DE000A2R4KF3,de000a2r4kf3-media-and-games-invest-plc-7-19-24,Media and Games Invest PLC,2024-10-11,,EUR,7.0,quarterly
96,FR0013476090,fr0013476090-rci-banque-s-a-1-125-20-27,RCI Banque S.A.,2027-01-15,,EUR,1.125,yearly
97,XS1114159277,xs1114159277-adidas-ag-2-25-14-26,adidas AG,2026-10-08,,EUR,2.25,yearly
98,DE000A2GSSP3,de000a2gssp3-eyemaxx-real-estate-ag-5-5-18-23,Eyemaxx Real Estate AG,2023-04-26,,EUR,5.5,semiannual
99,DE000A2TST99,de000a2tst99-katjes-international-gmbh-co-kg-4-25-19-24,Katjes International GmbH & Co.KG,2024-04-12,,EUR,4.25,yearly
100,NL0000120889,nl0000120889-aegon-n-v-4-26,AEGON N.V.,,True,NLG,4.26,yearly
101,DE000HLB3YF8,de000hlb3yf8-landesbank-hessen-thueringen-girozentrale-0-5-19-25,Landesbank Hessen-Thüringen Girozentrale,2025-02-20,,EUR,0.5,yearly
102,XS0213101073,xs0213101073-petroleos-mexicanos-5-5-05-25,Petróleos Mexicanos,2025-02-24,,EUR,5.5,yearly
103,DE000HLB3W39,de000hlb3w39-landesbank-hessen-thueringen-girozentrale-0-55-19-29,Landesbank Hessen-Thüringen Girozentrale,2029-01-04,,EUR,0.55,yearly
104,US040114HR43,us040114hr43-argentinien-republik-6-875-18-48,"Argentinien, Republik",2048-01-11,,USD,6.875,semiannual
105,FI4000331004,fi4000331004-outokumpu-oyj-4-125-18-24,Outokumpu Oyj,2024-06-18,,EUR,4.125,semiannual
106,XS0028334687,xs0028334687-new-south-wales-treasury-corp-0-000-90-20,New South Wales Treasury Corp.,2020-11-23,,AUD,,no payments
107,DE000A2NBZG9,de000a2nbzg9-dic-asset-ag-3-5-18-23,DIC Asset AG,2023-10-02,,EUR,3.5,yearly
108,DE000A14J587,de000a14j587-thyssenkrupp-ag-2-5-15-25,thyssenkrupp AG,2025-02-25,,EUR,2.5,yearly
109,DE000A2BPDU2,de000a2bpdu2-sixt-se-1-125-16-22,Sixt SE,2022-11-02,,EUR,1.125,yearly
110,XS1591416679,xs1591416679-k-s-aktiengesellschaft-2-625-17-23,K+S Aktiengesellschaft,2023-04-06,,EUR,2.625,yearly
111,DE000A2GSTP1,de000a2gstp1-vedes-ag-5-17-22,VEDES AG,2022-11-17,,EUR,5.0,yearly
112,DE000A19S801,de000a19s801-hylea-group-s-a-7-25-17-22,Hylea Group S.A.,2022-12-01,,EUR,7.25,semiannual
113,DE000A2NBZ21,de000a2nbz21-sowitec-group-gmbh-6-75-18-23,SoWiTec group GmbH,2023-11-08,,EUR,6.75,yearly
114,DE000HLB5FR7,de000hlb5fr7-landesbank-hessen-thueringen-girozentrale-0-35-17-22,Landesbank Hessen-Thüringen Girozentrale,2022-08-30,,EUR,0.35,yearly
115,DE000A19MDV0,de000a19mdv0-metalcorp-group-s-a-7-17-22,Metalcorp Group S.A.,2022-10-02,,EUR,7.0,yearly
116,AT0000A2AX04,at0000a2ax04-ubm-development-ag-2-75-19-25,UBM Development AG,2025-11-13,,EUR,2.75,yearly
117,DE000A1R0RZ5,de000a1r0rz5-ekosem-agrar-ag-8-5-12-22,Ekosem-Agrar AG,2022-12-07,,EUR,8.5,yearly
118,US24422EVD83,us24422evd83-john-deere-capital-corp-2-45-20-30,John Deere Capital Corp.,2030-01-09,,USD,2.45,semiannual
119,US172967JP75,us172967jp75-citigroup-inc-3-3-15-25,Citigroup Inc.,2025-04-27,,USD,3.3,semiannual
120,US345370CA64,us345370ca64-ford-motor-co-7-45-99-31,Ford Motor Co.,2031-07-16,,USD,7.45,semiannual
121,XS1433512891,xs1433512891-otto-gmbh-co-kg-2-5-16-23,Otto [GmbH & Co KG],2023-06-16,,EUR,2.5,yearly
122,DE0003255709,magnum-ag-gen-03-s-2,Magnum AG,,True,EUR,,
123,US00206RDN98,us00206rdn98-at-t-inc-3-2-17-22,AT & T Inc.,2022-03-01,,USD,3.2,semiannual
124,US066716AB78,us066716ab78-banque-centrale-de-tunisie-8-25-97-27,Banque Centrale de Tunisie,2027-09-19,,USD,8.25,semiannual
125,US87264AAS42,us87264aas42-t-mobile-usa-inc-5-125-17-25,T-Mobile USA Inc.,2025-04-15,,USD,5.125,semiannual
126,DE0001135424,de0001135424-deutschland-bundesrepublik-2-5-10-21,"Deutschland, Bundesrepublik",2021-01-04,,EUR,2.5,yearly
127,XS0222524372,xs0222524372-suedzucker-international-finance-b-v-2-697,Südzucker International Finance B.V.,,True,EUR,2.697,quarterly
128,AT0000A1XBU6,at0000a1xbu6-ubm-development-ag-3-25-17-22,UBM Development AG,2022-10-11,,EUR,3.25,yearly
129,AT0000A2HLC4,at0000a2hlc4-oesterreich-republik-0-85-20-20,"Österreich, Republik",2120-06-30,,EUR,0.85,yearly
130,DE000A2LQ3M9,de000a2lq3m9-pne-ag-4-18-23,PNE AG,2023-05-02,,EUR,4.0,yearly
131,DE000A2TSEM3,de000a2tsem3-pcc-se-4-19-24,PCC SE,2024-10-01,,EUR,4.0,quarterly
132,DE000A2NBY22,de000a2nby22-diok-realestate-ag-6-18-23,Diok RealEstate AG,2023-10-01,,EUR,6.0,yearly
133,DE000A1ZZ010,de000a1zz010-bmw-us-capital-llc-0-625-15-22,BMW US Capital LLC,2022-04-20,,EUR,0.625,yearly
134,DE000A0AMCG6,de000a0amcg6-hybrid-raising-gmbh-6-625,Hybrid Raising GmbH,,,EUR,6.625,yearly
135,US48128BAC54,us48128bac54-jpmorgan-chase-co-2-219-16-23,JPMorgan Chase & Co.,2023-01-17,,USD,2.2189,quarterly
136,DE000A2E4QG3,de000a2e4qg3-ikb-deutsche-industriebank-ag-4-5-17-22,IKB Deutsche Industriebank AG,2022-07-23,True,EUR,4.5,yearly
137,US912828WN60,us912828wn60-america-united-states-of-2-14-21,"America, United States of...",2021-05-31,,USD,2.0,semiannual
138,XS0501194756,xs0501194756-argentinien-republik-8-28-09-33,"Argentinien, Republik",2033-12-31,,USD,8.28,semiannual
139,DE0001030559,de0001030559-deutschland-bundesrepublik-0-525-14-30,"Deutschland, Bundesrepublik",2030-04-15,,EUR,0.5251,yearly
140,XS1893631769,xs1893631769-volkswagen-financial-services-ag-2-25-18-26,VOLKSWAGEN FINANCIAL SERVICES AG,2026-10-16,,EUR,2.25,yearly
141,XS1799162588,xs1799162588-grenke-finance-plc-1-18-23,Grenke Finance PLC,2023-04-05,,EUR,1.0,yearly
142,XS1859004878,xs1859004878-dz-bank-ag-deutsche-zentral-genossenschaftsbank-frankfurt-am-main-2-875-18-22,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",2022-08-30,,USD,2.875,yearly
143,DE000A2YB7A7,de000a2yb7a7-schaeffler-ag-1-875-19-24,Schaeffler AG,2024-03-26,,EUR,1.875,yearly
144,DE000HLB2CZ4,de000hlb2cz4-landesbank-hessen-thueringen-girozentrale-0-75-15-22,Landesbank Hessen-Thüringen Girozentrale,2022-01-05,,EUR,0.75,yearly
145,US912828P873,us912828p873-america-united-states-of-1-125-16-21,"America, United States of...",2021-02-28,,USD,1.125,semiannual
146,XS1233299459,xs1233299459-mahle-gmbh-2-375-15-22,MAHLE GmbH,2022-05-20,,EUR,2.375,yearly
147,DE000A2GSCV5,de000a2gscv5-dic-asset-ag-3-25-17-22,DIC Asset AG,2022-07-11,,EUR,3.25,yearly
148,DE000A2YNXQ5,de000a2ynxq5-euroboden-gmbh-5-5-19-24,Euroboden GmbH,2024-10-01,,EUR,5.5,semiannual
149,US29250NAS45,us29250nas45-enbridge-inc-5-5-17-77,Enbridge Inc.,2077-07-15,True,USD,5.5,semiannual
150,DE000A2NBF25,de000a2nbf25-deag-deutsche-entertainment-ag-6-18-23,DEAG Deutsche Entertainment AG,2023-10-31,,EUR,6.0,yearly
151,DE000BLB6Z02,de000blb6z02-bayerische-landesbank-2-19-29,Bayerische Landesbank,2029-01-16,True,EUR,2.0,yearly
152,DE000A2YN1K5,de000a2yn1k5-pcc-se-4-19-25,PCC SE,2025-02-01,,EUR,4.0,quarterly
153,DE000A2YN256,de000a2yn256-schlote-holding-gmbh-6-75-19-24,Schlote Holding GmbH,2024-11-21,,EUR,6.75,semiannual
154,DE000A0G18M4,de000a0g18m4-main-capital-funding-ii-l-p-5-75,Main Capital Funding II L.P.,,True,EUR,5.75,yearly
155,ES00000128H5,es00000128h5-spanien-koenigreich-1-3-16-26,"Spanien, Königreich",2026-10-31,,EUR,1.3,yearly
156,XS1014610254,xs1014610254-volkswagen-leasing-gmbh-2-625-14-24,Volkswagen Leasing GmbH,2024-01-15,,EUR,2.625,yearly
157,XS2178586157,xs2178586157-continental-ag-2-5-20-26,Continental AG,2026-08-27,,EUR,2.5,yearly
158,XS2047479469,xs2047479469-hella-gmbh-co-kgaa-0-5-19-27,HELLA GmbH & Co. KGaA,2027-01-26,,EUR,0.5,yearly
159,DE000A255D05,de000a255d05-erwe-immobilien-ag-7-5-19-23,ERWE Immobilien AG,2023-12-10,,EUR,7.5,semiannual
160,US29379VBR33,us29379vbr33-enterprise-products-operating-llc-5-375-18-78,Enterprise Products Operating LLC,2078-02-15,True,USD,5.375,semiannual
161,DE000A2GSWY7,de000a2gswy7-terragon-ag-6-5-19-24,TERRAGON AG,2024-05-24,,EUR,6.5,yearly
162,DE000A2YNQ58,de000a2ynq58-wirecard-ag-0-5-19-24,Wirecard AG,2024-09-11,,EUR,0.5,yearly
163,XS1557095616,xs1557095616-deutsche-telekom-international-finance-b-v-1-375-17-27,Deutsche Telekom International Finance B.V.,2027-01-30,,EUR,1.375,yearly
164,DE000A2YNR08,de000a2ynr08-ekosem-agrar-ag-7-5-19-24,Ekosem-Agrar AG,2024-08-01,,EUR,7.5,yearly
165,US912828XQ82,us912828xq82-america-united-states-of-2-15-22,"America, United States of...",2022-07-31,,USD,2.0,semiannual
166,US912828V723,us912828v723-america-united-states-of-1-875-17-22,"America, United States of...",2022-01-31,,USD,1.875,semiannual
167,XS1910851242,xs1910851242-grenke-finance-plc-1-5-18-23,Grenke Finance PLC,2023-10-05,,EUR,1.5,yearly
168,DE000DB7XJJ2,de000db7xjj2-deutsche-bank-ag-2-75-15-25,Deutsche Bank AG,2025-02-17,True,EUR,2.75,yearly
169,XS2195096420,xs2195096420-symrise-ag-1-375-20-27,Symrise AG,2027-07-01,,EUR,1.375,yearly
170,DE000A2BPAH5,de000a2bpah5-ikb-deutsche-industriebank-ag-1-25-17-20,IKB Deutsche Industriebank AG,2020-10-19,,EUR,1.25,yearly
171,XS1577427526,xs1577427526-the-goldman-sachs-group-inc-0-277-17-22,The Goldman Sachs Group Inc.,2022-09-09,,EUR,0.27699999999999997,quarterly
172,DE000A2YN1M1,de000a2yn1m1-jung-dms-cie-pool-gmbh-5-5-19-24,"Jung, DMS & Cie. Pool GmbH",2024-12-02,,EUR,5.5,yearly
173,SE0011167972,se0011167972-ferratum-capital-germany-gmbh-5-5-18-22,Ferratum Capital Germany GmbH,2022-05-25,,EUR,5.5,quarterly
174,XS1167667283,xs1167667283-volkswagen-international-finance-n-v-1-625-15-30,Volkswagen International Finance N.V.,2030-01-16,,EUR,1.625,yearly
175,LV0000801363,lv0000801363-mogo-a-s-10-14-21,Mogo A.S.,2021-03-31,,EUR,10.0,monthly
176,US045167DU47,us045167du47-asian-development-bank-adb-2-625-17-27,Asian Development Bank (ADB),2027-01-12,,USD,2.625,semiannual
177,DE000HLB4QB1,de000hlb4qb1-landesbank-hessen-thueringen-girozentrale-0-25-17-22,Landesbank Hessen-Thüringen Girozentrale,2022-11-04,,EUR,0.25,yearly
178,US912810SJ88,us912810sj88-america-united-states-of-2-25-19-49,"America, United States of...",2049-08-15,,USD,2.25,semiannual
179,GR0114029540,gr0114029540-griechenland-republik-4-375-17-22,"Griechenland, Republik",2022-08-01,,EUR,4.375,yearly
180,XS1692347526,xs1692347526-volkswagen-leasing-gmbh-1-125-17-24,Volkswagen Leasing GmbH,2024-04-04,,EUR,1.125,yearly
181,DE000A2E4Q96,de000a2e4q96-ikb-deutsche-industriebank-ag-3-17-22,IKB Deutsche Industriebank AG,2022-11-14,True,EUR,3.0,yearly
182,DE000A0E4657,de000a0e4657-main-capital-funding-l-p-5-5,Main Capital Funding L.P.,,True,EUR,5.5,yearly
183,XS1013955379,xs1013955379-fresenius-se-co-kgaa-3-14-21,Fresenius SE & Co. KGaA,2021-02-01,,EUR,3.0,semiannual
184,US345370CS72,us345370cs72-ford-motor-co-5-291-16-46,Ford Motor Co.,2046-12-08,,USD,5.291,semiannual
185,DE000HLB3Z36,de000hlb3z36-landesbank-hessen-thueringen-girozentrale-0-45-19-26,Landesbank Hessen-Thüringen Girozentrale,2026-04-08,,EUR,0.45,yearly
186,DE000A2AAPF1,de000a2aapf1-thyssenkrupp-ag-2-75-16-21,thyssenkrupp AG,2021-03-08,,EUR,2.75,yearly
187,DE000A2E4XE4,de000a2e4xe4-eterna-mode-holding-gmbh-7-75-17-22,eterna Mode Holding GmbH,2022-03-03,,EUR,7.75,yearly
188,US900123AY60,us900123ay60-tuerkei-republik-6-875-06-36,"Türkei, Republik",2036-03-17,,USD,6.875,semiannual
189,DE000A2G8670,de000a2g8670-pcc-se-4-18-23,PCC SE,2023-04-01,,EUR,4.0,quarterly
190,AT0000383864,at0000383864-oesterreich-republik-6-25-97-27,"Österreich, Republik",2027-07-15,,EUR,6.25,yearly
191,SE0011337054,se0011337054-hertha-bsc-gmbh-co-kgaa-6-5-18-23,Hertha BSC GmbH & Co. KGaA,2023-11-08,,EUR,6.5,quarterly
192,DE000A13SH30,de000a13sh30-pcc-se-6-75-14-21,PCC SE,2021-10-01,,EUR,6.75,quarterly
193,XS1831877755,xs1831877755-mogo-finance-s-a-9-5-18-22,Mogo Finance S.A.,2022-07-10,,EUR,9.5,semiannual
194,US369622SM84,us369622sm84-general-electric-co-5-3-11-21,General Electric Co.,2021-02-11,,USD,5.3,semiannual
195,DE000A2YN2H9,de000a2yn2h9-aves-schienenlogistik-1-gmbh-co-kg-5-25-19-24,Aves Schienenlogistik 1 GmbH & Co. KG,2024-09-15,,EUR,5.25,semiannual
196,US900123AW05,us900123aw05-tuerkei-republik-7-375-05-25,"Türkei, Republik",2025-02-05,,USD,7.375,semiannual
197,AT0000A1Z9C1,at0000a1z9c1-s-immo-ag-2-875-18-30,S IMMO AG,2030-02-06,,EUR,2.875,yearly
