Identifier,Identifier_Status,Name,ISIN,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Borrower,Amount,Floating,Ref_Rate,Margin,Current_Rate
14,Valid,"Domestic bonds: ALROSA, 11 (4-11-40046-N, RU0008541305)",RU0008541305,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"175,000,000 RUB",No,,,
15,Valid,"Domestic bonds: ALROSA, 12 (4-12-40046-N, RU0008541339)",RU0008541339,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
16,Valid,"Domestic bonds: ALROSA, 13 (4-13-40046-N, RU0008541354)",RU0008541354,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
17,Valid,"Domestic bonds: ALROSA, 14 (4-14-40046-N, RU0008541388)",RU0008541388,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
18,Valid,"Domestic bonds: ALROSA, 15 (4-15-40046-N, RU0008541412)",RU0008541412,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
19,Valid,"Domestic bonds: ALROSA, 16 (4-16-40046-N, RU0008541446)",RU0008541446,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
20,Valid,"Domestic bonds: ALROSA, 17 (4-17-40046-N, RU0008541487)",RU0008541487,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
21,Valid,"Domestic bonds: ALROSA, 18 (4-18-40046-N, RU0008541495)",RU0008541495,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,ALROSA,,"125,000,000 RUB",No,,,
22,Valid,"International bonds: ALROSA, 8.13% 6may2008, USD (XS0167967354)",XS0167967354,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Alrosa Finance S.A.,ALROSA,"500,000,000 USD",No,,,8.13%
23,Valid,"Domestic bonds: RN Holding, 01 (4-01-00168-A)",,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RN Holding,,"2,500,000,000 RUB",No,,,
24,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Valid,"Domestic bonds: RN Holding, 03 (4-03-00168-A, RU0007202024)",RU0007202024,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RN Holding,,"4,000,000,000 RUB",No,,,
26,Valid,"Domestic bonds: RN Holding, 2 (4-02-00168-A, RU0007201083)",RU0007201083,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RN Holding,,"2,500,000,000 RUB",No,,,
27,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Valid,"Domestic bonds: RN Holding, 04 (4-04-00168-A, RU0007202032)",RU0007202032,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RN Holding,,"3,000,000,000 RUB",No,,,12%
29,Valid,"Domestic bonds: RN Holding, 05 (4-05-00168-A, RU0008253075)",RU0008253075,cancelled,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RN Holding,,"3,000,000,000 RUB",No,,,15%
30,Valid,"International bonds: RN Holding, 11% 6nov2007, USD (XS0148404279)",XS0148404279,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,,RN Holding,"700,000,000 USD",No,,,11%
31,Valid,"Domestic bonds: Gazprom, 01 (4-01-00028-A, RU0007065850)",RU0007065850,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Gazprom,,"3,000,000,000 RUB",No,,,
32,Valid,"International bonds: Gazprom, 9.13% 25apr2007, USD (XS0146655104)",XS0146655104,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,,Gazprom,"500,000,000 USD",No,,,9.13%
33,Valid,"Domestic bonds: Credit Suisse Securities (Moscow), 01 (redeemed) (4-01-36001-R, RU0007200267)",RU0007200267,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Credit Suisse Securities (Moscow),,"2,000,000,000 RUB",No,,,
34,Valid,"Domestic bonds: Credit Suisse Securities (Moscow), 02 (redeemed) (4-02-36001-R, RU0008290234)",RU0008290234,redeemed,Coupon bonds,1 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Credit Suisse Securities (Moscow),,"2,000,000,000 RUB",No,,,10%
35,Valid,"Domestic bonds: SIBUR, 01 (4-01-00163-F, RU0007200275)",RU0007200275,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,SIBUR,,"2,000,000,000 RUB",No,,,
36,Valid,"Domestic bonds: Slavneft, 01 (4-01-00221-A, RU0007202438)",RU0007202438,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Slavneft,,"1,000,000,000 RUB",No,,,
37,Valid,"Domestic bonds: Slavneft, 02 (4-02-00221-A, RU0008508049)",RU0008508049,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Slavneft,,"2,000,000,000 RUB",No,,,8.89%
38,Valid,"Domestic bonds: MGTS, 01v (4-01-00083-A, RU0007202040)",RU0007202040,redeemed,Coupon bonds,3 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,MGTS,,"600,000,000 RUB",No,,,
39,Valid,"Domestic bonds: MGTS, 02 (4-02-00083-A, RU0007779179)",RU0007779179,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,MGTS,,"1,000,000,000 RUB",No,,,5%
40,Invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Valid,"International bonds: MGTS, 12.50% 28feb2001, USD",,redeemed,Coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,,MGTS,"150,000,000 USD",No,,,
42,Valid,"Domestic bonds: RTC-LEASING, 01 (4-01-01154-H, RU0007201034)",RU0007201034,redeemed,Zero-coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RTC-LEASING,,"500,000,000 RUB",No,,,
43,Valid,"Domestic bonds: RTC-LEASING, 02 (4-02-01154-H, RU0007498564)",RU0007498564,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RTC-LEASING,,"1,000,000,000 RUB",No,,,
44,Valid,"Domestic bonds: NMTK, 01 (4-01-00099-A, RU0007202099)",RU0007202099,redeemed,Coupon bonds,3 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,NMTK,,"350,000,000 RUB",No,,,
45,Valid,"Domestic bonds: RITEK, 02 (4-02-00019-F, RU0007205548)",RU0007205548,redeemed,Coupon bonds,3 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RITEK,,"300,000,000 RUB",No,,,
46,Valid,"Domestic bonds: RITEK, 03 (4-03-00019-F, RU0007779161)",RU0007779161,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,RITEK,,"700,000,000 RUB",No,,,1%
47,Valid,"Domestic bonds: UHM, 01 (4-01-30174-D, RU0007204590)",RU0007204590,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,UHM,,"280,000,000 RUB",No,,,
48,Valid,"Domestic bonds: UHM, 02 (4-02-30174-D, RU0007206413)",RU0007206413,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,UHM,,"390,000,000 RUB",No,,,16.50%
49,Valid,"Domestic bonds: UHM, 03 (4-03-30174-D, RU0007481131)",RU0007481131,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,UHM,,"390,000,000 RUB",No,,,13%
50,Valid,"Domestic bonds: Tatneft, 01 (4-01-00161-A)",,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Tatneft,,"200,000,000 RUB",No,,,3.78%
51,Valid,"Domestic bonds: Tatneft, 02 (4-02-00161-A, RU0008550132)",RU0008550132,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Tatneft,,"100,000,000 RUB",No,,,18.72%
52,Valid,"International bonds: Tatneft, 9% 29oct2002, USD",,redeemed,Coupon bonds,2 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,,Tatneft,"300,000,000 USD",No,,,
53,Valid,"Domestic bonds: Russian product, 01 (4-01-01306-A, RU0007202446)",RU0007202446,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russian product,,"140,000,000 RUB",No,,,
54,Valid,"Domestic bonds: Russian product, 02 (4-02-01306-A, RU0008441332)",RU0008441332,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Russian product,,"300,000,000 RUB",No,,,
55,Valid,"Domestic bonds: Proton-PM, 01 (4-01-00181-K, RU0007205530)",RU0007205530,redeemed,Coupon bonds,4 time(s) per year,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,Proton-PM,,"100,000,000 RUB",No,,,
56,Valid,"Domestic bonds: MMK, 01 (4-01-00078-A)",,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,MMK,,"50,000,000 RUB",No,,,
57,Valid,"Domestic bonds: MMK, 02 (4-02-00078-A)",,redeemed,Zero-coupon bonds,,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,cb_cross cb_right,,MMK,,"50,000,000 RUB",No,,,
