ISIN,NAME
IT0005158099,ALITALIA-SOC.AE.ITA.16-21
XS0555493203,ALROSA FINANCE 10/20 REGS
US00164VAC72,AMC NETWORKS 12/22
US001814AR37,ANR PIPELINE 2021
US00182EBC21,ANZ NZ (ITL)2022 MTN 144A
US00182FBB13,ANZ NZ (ITL) 16/21FLR MTN
US00182FBD78,ANZ NZ(ITL)(LD) 17/22 FLR
US00182EBD04,ANZ NZ(ITL)(LD) 2022 FLR
US00182FAZ99,ANZ NZ(ITL)(LD) 16/21 MTN
US00182EBH18,ANZ NZ(ITL)(LD) 2021 MTN
US00182FBA30,ANZ NZ(ITL)(LD) 16/21 MTN
US00182FBH82,ANZ NZ(ITL)(LD) 18/21 MTN
US00182EAZ25,ANZ NZ(ITL)(LD) 2021 MTN
US00182FBC95,ANZ NZ(ITL)(LD) 17/22 MTN
US00182FBE51,ANZ NZ(ITL)(LD) 17/20 MTN
US00182FAX42,ANZ NZ(ITL)(LD) 15/20 MTN
US00182EAX76,ANZ NZ(ITL)(LD) 2020 MTN
US00182EBE86,ANZ NZ(ITL)(LD) 2020 MTN
US00182EBA64,ANZ NZ(ITL)(LD) 2021 MTN
US037389BD49,AON CORP. 19/22
US00185AAJ34,AON PLC 15/21
US037389AW39,AON 2020
USQ04578AC68,APT PIPELINES 12/22 REGS
US00216NAA72,ASB BANK 18/23 MTN REGS
US00216NAB55,ASB BANK 18/23 FLR MTN
US00206RDB50,AT + T 2022
US00206RFZ01,AT + T 18/21 FLR
US00206RAX08,AT + T 11-21
US00206RBN17,AT + T 12/22
US00206RBD35,AT + T 12/22
US00206RCS94,AT + T 16/23
US00206RDN98,AT + T 17/22
US00206RCR12,AT + T 16/21
US00206RAZ55,AT + T 11/21
US00206RCK68,AT + T 15/20 FLR
US00206RCM25,AT + T 15/22
US00206RCZ38,AT + T 16/21
XS1821408215,AVIC INTL FIN. 18/21
XS1698539753,AAREAL BANK MTN S.260
XS1681811243,AAREAL BANK MTN.HPF.S.217
XS1983343838,AAREAL BANK MTN.HPF.S.227
US00287YAL39,ABBVIE 2022
US00287YAU38,ABBVIE 16/21
US00287YAX76,ABBVIE 16/23
US00287YBE86,ABBVIE 18/21
US00287YAP43,ABBVIE 15/22
USU0029QAP10,ABBVIE 19/22 FLR REGS
USU0029QAM88,ABBVIE 19/21 FLR REGS
USU0029QAL06,ABBVIE 19/21 REGS
USU0029QAN61,ABBVIE 19/22 REGS
USU0029QAT32,ABBVIE 19/21 FLR REGS
US002824BA72,ABBOTT LABS 15/22
XS1403868398,ABIGROVE 16/21 CV
XS1566998297,ABIGROVE 17/22 ZO CV
XS1498408936,ABU DH.COMM.BK.16/21 MTN
XS1789460216,ABU DH.COMM.BK. 18/23 MTN
US00386SAL60,ABU DHABI NAT.E.2023 144A
US00388WAD39,ABU DHABI NAT.E. 2021 MTN
US00386SAJ15,ABU DHABI NAT.E.2021 MTN
XS0863524277,ABU DHABI NAT.E.12/23REGS
XS0717839871,ABU DHABI NAT.E.11/21 MTN
XS1435072548,ABU DHABI NAT.E.16/21 MTN
US00404AAG40,ACADIA HEALTHC. 14/22
US00404AAJ88,ACADIA HEALTHC. 2023
XS1506648887,ACCESS BANK 16/21 MTNREGS
US942683AF00,ALLERGAN 12/22
US00507VAH24,ACTIVISION BLIZZ. 17/21
US00507VAL36,ACTIVISION BLIZZ. 2022
USY00130HS90,ADANI PORTS+SP.17/22 REGS
XS1720985255,ADECCO INTL FINL S. 17/21
US00724PAA75,ADOBE 20/23
US00751YAB20,ADVANCE AUTO PA. 12/22
US007903AX53,ADV.MICRO DEVIC. 2022
USC26215AA88,ADVANZ PHARMA 15/23 REGS
US007634AA64,AEGON FUNDING C. 05/20
US00772BAF85,AERCAP IRE./GL. 15/21
US00774MAD74,AERCAP IRE./GL. 18/23
US00772BAR24,AERCAP IRE./GL. 16/22
US00774MAA36,AERCAP IR.C./GL. 17/22
US008117AP87,AETNA 12/22
US00817YAV02,AETNA 16/23
US008117AN30,AETNA 11/21
US00828EBD04,AFR. DEV. BK 14/21 MTN
US00828ECZ07,AFR. DEV. BK 18/21 MTN
US00828ECW75,AFR. DEV. BK 17/22 MTN
US00828EEA38,AFR.DEV.BK 19/22 MTN
US008281BC08,AFR.DEV.BK 20/23 MTN
US00828EDF34,AFR. DEV. BK 18/21 MTN
US00828EBP34,AFR. DEV. BK 16/21 MTN
US00828EEC93,AFR.DEV.BK 20/22 MTN
XS0043037505,AFR. DEV. BK 93/23
XS1418627821,AFR. EXP.-IMP.BK 16/21MTN
FR0013323755,AGENCE FSE DEV. 18/21 MTN
FR0013282076,AGENCE FSE DEV. 17/20 MTN
FR0013509890,AGENCE FR.DV 20/23 MTN
FR0013397809,AGENCE FR.DV 19/22 MTN
XS1856094724,AGILE GROUP HLDGS 18/21
US00846UAH41,AGILENT TECHS 12/22
USG4109CAA65,AGRICOLA SENIOR 15/20REGS
US008916AL27,AGRIUM 2023
US008916AK44,AGRIUM 2022
XS1763161012,AGUA Y SAN.ARG. 18/23
USC01026BA71,AIR CANADA 14/21 REGS
US00912XAQ79,AIR LEASE 15/22
US00912XAS36,AIR LEASE 16/21
US00912XAW48,AIR LEASE 17/22
US00912XAZ78,AIR LEASE 18/21
US00914AAD46,AIR LEASE 19/23 MTN
US00912XBE31,AIR LEASE 18/22
US00912XAM65,AIR LEASE 14/21
US00912XAX21,AIR LEASE 17/23
USF0183JHN49,AIR LIQUIDE FIN.16/21REGS
US009158AR75,AIR PROD. CHEM. 2021
US009158AJ59,AIR PROD. CHEM. 2021
US009158AT32,AIR PROD. CHEM. 2023
US26824KAA25,AIRBUS GRP FIN. 2023 144A
USN2823BBD21,AIRBUS GRP FIN.13/23 REGS
US00928QAP63,AIRCASTLE 2023
US00928QAM33,AIRCASTLE 2021
US00928QAN16,AIRCASTLE 2022
USN01766AA73,AJECORP B.V. 12/22 REGS
US009705AA23,AJECORP 2022 144A
US00971YAD22,AKBANK T.A.S. 2022 144A
USM0375YAK49,AKBANK T.A.S. 12/22 REGS
US010392FC71,ALABAMA PWR 2020
US010392EB08,ALABAMA PWR 2022
US010392FE38,ALABAMA PWR 2021
US010392FQ67,ALABAMA PWR 17/22
XS1504809499,ALAM SYNERGY PTE. 16/22
US01306GAB95,ALBERTA 2020 MTN 144A
XS1283668736,ALBERTA 15/20 MTN REGS
US015271AD13,ALEXANDRIA REAL ES. 2023
US01538RAB50,ALFA BOND ISS. 2021 144A
XS0620695204,ALFA BOND ISS. 11/21 REGS
USG0229BAH62,ALGECO GL.FIN. 18/23 REGS
US01609WAS17,ALIBABA GR.HLDG 17/23
US01609WAP77,ALIBABA GR.HLDG 15/21
USG01719AA42,ALIBABA GR.HLDG14/21 REGS
USP0161KDN02,ALICORP   13/23 REGS
US017175AC41,ALLEGHANY 12/22
US00507UAR23,ALLERGAN FNDG 15/22
US018490AN28,ALLERGAN  2020
US018490AQ58,ALLERGAN  2023
XS0925043100,ALLIANCE OIL 13/23 REGS
USU01879AA07,ALL.ENE.FIN. 18/23 REGS
US02005NAJ90,ALLY FINANCIAL 11/20
US02005NAY67,ALLY FINANCIAL 15/22
US02005NBC39,ALLY FINANCIAL 15/22
US02005NBK54,ALLY FINANC. 20/23
US02005NBG43,ALLY FINANCIAL 16/21
US020564AA87,ALPEK S.A.B. 2022 144A
USP01703AA82,ALPEK S.A.B. 12/22 REGS
USP1000TAA53,ALPHA HLDG S.A. 17/22REGS
XS1807408486,ALPHA STAR V 18/23
US02079KAA51,ALPHABET 11/21
US02209SAP83,ALTRIA GROUP 13/23
US02209SAN36,ALTRIA GROUP 12/22
US02209SAL79,ALTRIA GROUP 11/21
US02209SBA06,ALTRIA GRP 19/22
US023135BP00,AMAZON.COM 20/23
US023135AT31,AMAZON.COM 2020
US023135AJ58,AMAZON.COM 12/22
US023135AM87,AMAZON.COM 14/21
US023135AW69,AMAZON.COM 2023
USU02320AD80,AMAZON.COM 17/20 REGS
USU02320AE63,AMAZON.COM 17/23 REGS
XS0860855344,AMBER CIRC.FDG 12/22 REGS
US023608AF92,AMEREN 15/20
US02361DAL47,AMEREN ILLINOIS CO. 12/22
US02406PAL40,AMER.AXLE+MFG 2022
US024836AA65,AMER.CAM.CO.OP.P. 13/23
US025537AL53,AMER. EL. PWR 18/21 I
US025537AH42,AMER. EL. PWR 2020 G
US025537AG68,AMER. EL. PWR 2022 F
US025816BQ18,AMER. EXPRESS 2020 FLR
US025816CD95,AMER.EXPRESS 19/22
US025816BZ17,AMER. EXPRESS 18/21 FLR
US025816BD05,AMER. EXPRESS 2022
US025816BP35,AMER. EXPRESS 2020
US025816BV03,AMER. EXPRESS 18/21 FLR
US025816CE78,AMER.EXPRESS 19/22 FLR
US025816BT56,AMER. EXPRESS 2023 FLR
US025816CB30,AMER.EXPR.CO 19/21
US025816BS73,AMER. EXPRESS 2023
US025816BU20,AMER. EXPRESS 18/21
US025816BY42,AMER. EXPRESS 18/21
US0258M0DY27,AMER.EXPR.CR. 2020 FLRMTN
US0258M0DX44,AMER.EXPR.CR. 2020 MTN
US0258M0EB15,AMER.EXPR.CR. 2021 MTN
US02665WBF77,AMER.HONDA F. 2021 MTN
US02665WCX74,AM.HONDA FIN 19/22 FLR
US02665WCC38,AMER.HONDA F.18/21FLR MTN
US02665WCH25,AMER.HONDA F. 18/20 MTN
US02665WAZ41,AMER.HONDA F. 2020 MTN
US02665WDF59,AM.HONDA FIN 19/22 MTN
US02665WDG33,AM.HONDA FI. 20/23 FLRMTN
US02665WCB54,AMER.HONDA F.2022 FLR MTN
US02665WCG42,AMER.HONDA F.18/20FLR MTN
US02665WCP41,AMER.HONDA F. 2021 MTN
US02665WCY57,AM.HONDA FIN 19/22 MTN
US02665WBG50,AMER.HONDA F. 2021 MTN
US02665WCS89,AM.HONDA FIN 19/21 MTN
US02665WDA62,AM.HONDA FI. 19/21 FLR
US02665WDH16,AM.HONDA FIN 20/23 MTN
US026874CU91,AMER. INTL GRP 12/22
US026874CX31,AMER. INTL GRP 13/20
US026874BW66,AMER. INTL GRP 10/20
US026874DG98,AMER. INTL GRP 16/21
USU0275TAB71,AM.MIDS.PA/FI.17/21REGS 2
US03027XAH35,AMERN TWR 16/21
US03027XAB64,AMERN TWR 13/23
US03027XAL47,AMERN TWR 16/22
US03027XAQ34,AMERN TWR 17/23
US03027XAA81,AMERN TWR 2022
US03027XAE04,AMERN TWR NEW 14/21
US03076CAJ53,AMERIP.FIN. 19/22
US03073EAJ47,AMERI.BERGEN 2021
US031162BM10,AMGEN 11/21
US031162BX74,AMGEN 15/22
US031162BN92,AMGEN 12/22
US031162CP32,AMGEN 17/22
US032095AB71,AMPHENOL 2022
US032095AE11,AMPHENOL 2021
US02364WBD65,AMERICA MOVIL 12/22
US032511BM81,ANADARKO PET. 2021
US032523AA09,ANADOLU EFES BI.2022 144A
XS0848940523,ANADOLU EFES BI.12/22REGS
US032654AR68,ANALOG DEVICES 2021
US032654AH86,ANALOG DEVICES 13/23
US032654AL98,ANALOG DEVICES 16/21
US03350WAA71,ANDEAVOR/TESORO 17/22
US88160QAL77,ANDEAVOR/TESORO 16/22
US034863AG56,ANGLO AM. CAP. 2022 144A
US034863AM25,ANGLO AM. CAP. 2021 144A
USG03762CH52,ANGLO AM. CAP. 12/22 REGS
USG0446NAK03,ANGLO AM. CAP. 17/22 REGS
USG0446NAG90,ANGLO AM. CAP. 14/21 REGS
US03512TAC53,ANGLOGLD AS.HLDGS 12/22
US035242AA44,ANHEUSER-BUSCH IN. 13/23
US035242AL09,ANHEUSER-BUSCH IN. 16/23
US035242AK26,ANHEUSER-BUSCH IN. 16/21
US03523TBB35,ANH.-BUSCH INBEV 2021
US03523TBP21,ANH.-BUSCH INBEV 12/22
USU7787RAA96,ANH.-BUS.N.A.H.12/22 REGS
US035287AE12,ANIXTER 14/21
US03674XAF33,ANTERO RES. 16/23
US036752AE32,ANTHEM 17/20
US036752AF07,ANTHEM 17/22
US94973VBA44,ANTHEM 12/23
US94973VAW72,ANTHEM 11/21
US94973VAS60,ANTHEM 2020
US94973VAX55,ANTHEM 12/22
XS1873220658,AOZORA BANK 18/21
US037411BD66,APACHE 12/23
US037411AZ87,APACHE 12/22
US037411AX30,APACHE 2021
USU0378VAB81,APEX T.G./BC MT.F. 18/23
US037735CR68,APPALACHIAN PWR 2021 T
US037833AK68,APPLE 13/23
US037833DJ68,APPLE 17/20
US037833BF64,APPLE 15/22
US037833CN89,APPLE 17/22 FLR
US037833CM07,APPLE 17/22
US037833DE71,APPLE 17/23
US037833DC16,APPLE 17/22
US037833BT68,APPLE 16/21 FLR
US037833DL15,APPLE 19/22
US037833BS85,APPLE 16/21
US037833CC25,APPLE 16/21
US037833AR12,APPLE 14/21
US038222AF21,APPLIED MATERIALS 2021
US038222AH86,APPLIED MATERIALS 15/20
US03834AAA16,APPROACH RES. 13/21
US03938HAA14,ARCELIK 2023 144A
XS0910932788,ARCELIK 13/23 REGS
US039483BP61,ARCHER DAN. MID. 18/22
US039483BB75,ARCHER DAN. MID. 2021
US04010LAR42,ARES CAPITAL 2022
ARARGE3200U1,ARGENTINA 2020
US040114HP86,ARGENTINA 18/23
US040114GA27,ARGENTINA 00/15
US040114AR16,ARGENTINA 97/17
USP04808AB06,ARGENTINA 16/21 REGS A P2
USP04808AA23,ARGENTINA 16/21 REGS A P1
XS0974642273,ARMENIEN 13/20 REGS
XS2114459550,AROUNDTOWN  20/23 CV
US042735BC33,ARROW EL. INC. 13/23
US042735BD16,ARROW EL. INC. 15/22
US04273WAB72,ARROW EL. INC. 2021
US044209AF18,ASHLAND 13/22
US045167DE05,ASIAN DEV. BK 15/20 MTN
US045167DL48,ASIAN DEV. BK 16/21
US045167CX94,ASIAN DEV. BK 15/22
US045167CT82,ASIAN DEV. BK 14/21
US045167DP51,ASIAN DEV. BK 16/21FLRMTN
US045167EA73,ASIAN DEV. BK 17/21 MTN
US045167ED13,ASIAN DEV. BK 17/22 MTN
US045167EK55,ASIAN DEV. BK 18/20
US045167DX85,ASIAN DEV. BK 17/22 MTN
US045167EH27,ASIAN DEV. BK 18/23 MTN
US045167ES81,ASIAN DEV.BK 20/23
US045167EN94,ASIAN DEV.BK  19/22 MTN
US045167DY68,ASIAN DEV. BK 17/21FLRMTN
US04517PAW23,ASIAN DEV.BK 19/21 FLRMTN
US045167EF60,ASIAN DEV. BK 18/21 MTN
US04550KAA97,ASSOCIATED BK 18/21 MTN
US04625HAA77,ASTON MARTIN CAP. 2022
USG05891AA76,ASTON MARTIN CAP. 17/22
US046353AP31,ASTRAZENECA PLC 17/22 FLR
US046353AK44,ASTRAZENECA PLC 15/20
US046353AQ14,ASTRAZENECA PLC 17/22
USL0427PAB24,ATENTO LUXCO 19/22 REGS 2
USC0455LAA82,ATHABASCA OIL 17/22 REGS
US048825BA09,ATL. RICHFLD 2022   01.02
US048825AW38,ATL. RICHFLD 2021   01.04
US04939MAL37,ATLAS PIPEL.PAR.2021
GB00BDFBS041,AUDLEY FDG 17/22 MTN
USQ0697CAC75,AUSGRID FIN. 18/23 REGS
US05252BCL18,A.N.Z. BKG GRP16/21FLRMTN
US05252ACL35,A.N.Z. BKG GRP 2021 FLR
US05252BBK44,A.N.Z. BKG GRP 11/21 REGS
US05252ABK60,A.N.Z. BKG GRP 2021 144A
US05252BCR87,A.N.Z. BKG GRP (NY) 16/21
US05252BDC00,A.N.Z. BKG GRP18/21FLRMTN
US05253JAR23,A.N.Z. BKG GRP (NY) 2020
US05253JAS06,A.N.Z. BKG GRP (NY) 2022
US05253JAM36,A.N.Z. BKG GRP (NY) 16/21
US05253JAQ40,A.N.Z. BKG GRP (NY) 2021
US053332AS14,AUTOZONE INC. 15/21
US053332AL60,AUTOZONE INC. 2020
US053332AN27,AUTOZONE INC. 12/23
US053332AM44,AUTOZONE INC. 12/22
US053015AD56,AUTOM. DATA PROC. 15/20
USP06006AA10,AUTOMO.GILDEMEISTER 11/21
US05329WAL63,AUTONATION 15/21
US05348EAQ26,AVALONBAY COMM. 2022 MTN
US05348EAR09,AVALONBAY COMM. 12/23 MTN
US053611AG44,AVERY DENNISON 13/23
XS1291169867,AVI FUNDING 15/20 REGS
USU0536PAB05,AVIATION CAP.GRP18/23REGS
US053773AV98,AVIS BUDGET CAR.R. 2023
US053807AR45,AVNET 12/22
USG0686BAD13,AVOLON HDG F 19/22 REGS
US054303BA99,AVON PRODUCTS 13/23
US05463CAD48,AXIS BK (DU.BR.)2021 144A
XS1410341389,AXIS BK (DU.BR.)16/21REGS
XS1511025907,AZURE NOVA I.FI.16/21 MTN
XS1264901601,AZURE ORB.II I.F. 15/20
XS1379108456,AZURE OR.III.I.F.16/21
XS0890073991,AZURE ORB.I.F. 13/23 REGS
US05526DAV73,B.A.T. CAP. 2022
US05526DAX30,B.A.T. CAP. 17/22 FLR
USU05526AH81,B.A.T. CAP.17/22 REGS FLR
USU05526AG09,B.A.T. CAP. 17/22 REGS
USU05526AF26,B.A.T. CAP.17/20 REGS FLR
US05530QAF72,B.A.T. INTL FIN.2022 144A
US05530QAL41,B.A.T. INTL FIN.2022 144A
USG08820BX29,B.A.T. INTL FIN.12/22REGS
USG08820CJ26,B.A.T. INTL FIN.15/22REGS
USP1728MAA10,B3 10/20 REGS
USU05632AK79,BAE SYSTEMS HLDGS 15/20
US05523RAB33,BAE SYSTEMS 2021 144A
USG06940AC73,BAE SYSTEMS 11/21 REGS
DE000A2BPEU0,BASF SE OPA.17/23 MO
DE000A2BPEV8,BASF SE OPA.17/23 OO
US20453KAC99,COMPASS BANK 18/21 MTN
US05541VAE65,BG ENERGY CAP. 2021 144A
US05541VAA44,BG ENERGY CAP. 2020 144A
USG1163HAZ94,BG ENERGY CAP. 11/21 REGS
USG1163HAW63,BG ENERGY CAP. 10/20 REGS
US055451AQ16,BHP BILLITON F. 12/22
US055451AL29,BHP BILLITON F. 11/21
XS1790041278,BLOM BK 18/23
USN1453LAD03,BMW FIN. 19/22 FLR REGS
USN1453LAA63,BMW FIN. 19/22 REGS
XS1730911689,BMW FIN. NV 17/21 MTN
US05565EAW57,BMW US CAP. 2023 144A
US05565EAF25,BMW US CAP. 2021 144A
US05565EAU91,BMW US CAP. 2021 144A
US05565EAV74,BMW US CAP. 2021 FLR 144A
USU09513GL78,BMW US CAP. 16/21 REGS
USU09513HB87,BMW US CAP.17/22 FLR REGS
USU09513HQ56,BMW US CAP. 18/21 REGS
USU09513GV50,BMW US CAP. 16/21 REGS
USU09513HN26,BMW US CAP. 18/20 REGS
USU09513HT95,BMW US CAP 19/22 REGS
USU09513HA05,BMW US CAP. 17/22 REGS
USU09513HG74,BMW US CAP.18/21 FLR REGS
USU09513HZ55,BMW US CAP 20/23 REGS
USU09513HP73,BMW US CAP.18/20 FLR REGS
USU09513HR30,BMW US CAP.18/21 FLR REGS
USU09513HH57,BMW US CAP. 18/23 REGS
USU09513HU68,BMW US CAP 19/22 FLR REGS
XS0592582653,BNG BK 11/21 MTN REGS
XS0877608124,BNG BK 13/23 MTN REGS
XS1396380930,BNG BK 16/21 MTN REG
XS1061386642,BNG BK 14/21 MTN REGS
XS1646352010,BNG BK 17/20 FLR MTN REGS
XS1692480798,BNG BK 17/20 MTN REGS
XS1558184096,BNG BK 17/22 MTN REGS
XS1734307280,BNG BK 17/20 MTN REGS
XS1770934914,BNG BK 18/21 MTN REGS
XS1805532311,BNG BK 18/22 FLR MTN REGS
XS1904650048,BNG BK 18/21 MTN REGS
XS1935060621,BNG BANK 19/21 MTN REGS
US05567LT315,BNP PARIBAS 11/21 MTN
US09659X2E17,BNP PARIBAS 18/23MTN REGS
US09659W2E35,BNP PARIBAS 2023 MTN 144A
US05574LFY92,BNP PARIBAS/US 2023 MTN
US05579JAE82,BNZ INTERNAT.FDG 17/22MTN
US05579JAC27,BNZ INTERNAT.FDG 16/21MTN
US05579JAB44,BNZ INTERNAT.FDG 16/21MTN
US09681MAC29,BOC AVIATION 16/21 REGS
US09681MAG33,BOC AVIATION 18/21 FLR
US09681MAD02,BOC AVIATION 17/22
XS0925008533,BOC AVIATION 13/23 MTN
XS1748432363,BOSC INTL (BVI) 18/21
US10373QAG55,BP CAP.MK.AM 18-21
US10373QAL41,BP CAP.MK.AM 18-23
US10373QAF72,BP CAP.MK.AM 18-20
US10373QAJ94,BP CAP.MK.AM 18-22
US10373QAU40,BP CAP.MK.AM 18-21
US10373QBA76,BP CAP.MK.AM 18-22
US10373QBH20,BP CAP.MK.AM 20/23
US05565QCZ90,BP CAP.MKTS 2022
US05565QDT22,BP CAP.MKTS 19/20 FLR
US05565QDD79,BP CAP.MKTS 2021
US05565QBZ00,BP CAP.MKTS 12/22
US05565QBR83,BP CAP.MKTS 11/21
US05565QCB23,BP CAP.MKTS 12/22
US05565QBP28,BP CAP.MKTS 2020
US05565QDQ82,BP CAP.MKTS 2022 FLR
US05565QBU13,BP CAP.MKTS 2021
US05565QDP00,BP CAP.MKTS 17/22
US05565QCD88,BP CAP.MKTS 13/23
US05565QDE52,BP CAP.MKTS 2021 FLR
XS1382378690,BP CAPITAL MKTS 16/21 MTN
XS1821830160,BP CAPITAL MKTS 18/23 MTN
US05578BAA44,BPCE 18/23 MTN REGS
US05578DAW20,BPCE S.A. 2021 MTN
US05578AAA60,BPCE 2023 MTN 144A
US05578DAU63,BPCE S.A. 2021 MTN
US05584KAA60,BPCE S.A. 17/22 MTN REGS
US05584KAB44,BPCE S.A. 17/22 FLR MTN
US05583JAA07,BPCE S.A. 2022 MTN 144A
US05564EBM75,BRE PROPERTIES 2023
US05564EBL92,BRE PROPERTIES 2021
US10552TAA51,BRF 2022 144A
US10552TAE73,BRF 2023 144A
USP1905CAD22,BRF 13/23 REG S
USP1905CAA82,BRF 12/22 REG S
US05674RAB06,BAHRAIN 2022 144A
XS0794901727,BAHRAIN 12/22 REGS
XS1324932273,BAHRAIN 15/21 REGS
US056752AF54,BAIDU 15/20
US056752AH11,BAIDU 17/22
US056752AB41,BAIDU 12/22
US05723KAD28,BAK.HUG./CO-O. 18/22
USU05693AA10,BAK.HUG./CO-O. 17/22 REGS
US058498AR71,BALL 2022
US059165EE64,BALTIMORE GAS EL. 12/22
US059165ED81,BALTIMORE GAS EL. 2021
XS1895776562,BCA IMI 18/20 MTN
USP16260AA28,BANCO BBVA PER.12/22 REGS
USP07785AE11,BCO BMG 10/20 REGS
US05971BAD10,BCO BTG P.(CAY.)17/23REGS
USP07790AD31,BCO BTG P.(CAY.)12/22REGS
US05946KAD37,BBVA SA  15/20
US05946NAJ46,BCO BRADESCO(KY) 2021
US05947KAY64,BCO BRAD.CAY 20/23 144A
US05947LAY48,BCO BRAD.CAY 20/23 REGS
USG0732RAF58,BCO BRADESCO(KY) 10/21
USG0732RAG32,BCO BRADESCO(KY) 12/22
USP0918ZAX44,BCO DAVIVIENDA 12/22 REGS
USP1265VAA00,BCO GNB SUDAM. 12/22 REGS
US05961AAD54,BCO HIPOTEC. 2020 144A
USP1330HBF03,BCO HIPOTEC. 15/20 REGS
USP1400AAA27,BCO ABC BRASIL 10/20 REGS
USP14623AC98,BCO NAC.COSTA RICA 16/21
USP14486AD93,BNDES 10/20 REGS
US05964SAR22,BCO SAFR.CAY 2023 144A
US05967GAA22,BCO SAFRA KY 2021 144A
US05964TAQ22,BCO SAFR.CAY 18/23 REGS
USP1507FAA32,BCO SAFRA KY 11/21 REGS
US05967FAG19,BCO SANT.CHILE 17/20 REGS
US05971WAA18,BCO SANT.CHILE 17/20 REGS
US05967FAB22,BCO SANT.CHILE 12/22 REGS
US05964HAE53,BCO SANTANDER 17/23
US05964HAG02,BCO SANTANDER 18/23
US05964HAA32,BCO SANTANDER 17/22 FLR
US05964HAH84,BCO SANTANDER 18/23 FLR
US05964HAD70,BCO SANTANDER 17/23 FLR
US05964HAC97,BCO SANTANDER 17/22
US05969BAA17,BANCO SANTANDER MEX 2022
USP1507SAC19,BANCO SANTANDER MEX 12/22
US05967CAD56,BCO VOTORANT19/22 MTN144A
XS2055651082,BCO VOTORANT19/22 MTNREGS
US059514AB51,BCO DE BOGOTA 2023 144A
USP09252AC47,BCO DE BOGOTA 13/23 REGS
USP0956JCG87,BCO CRED.D.PERU 13/23REGS
US05954TAF84,BCO CRED.DEL PERU 2020
USP09646AC75,BCO CRED.DEL PERU 10/20
USP32133CG63,BANCO DE CRED.INVER.13/23
US05968AAA43,BCO D.EST.CHILE 12/22 MTN
US05968AAD81,BCO D.EST.CHILE 18/21 MTN
USP1027DEN77,BCO D.EST.CHILE 10/20REGS
US05958AAH14,BCO DO BRASIL SA 2023
US05958AAJ79,BCO DO BRASIL SA 2022
USG07402DN01,BCO DO BRASIL SA 11/22
USP3772WAJ10,BCO DO BRASIL 18/23 REGS
USP3772WAE23,BCO DO BRASIL SA 12/23
USP3772WAB83,BCO DO BRASIL SA 10/21
US05965BAA52,BCO ESTADO R.GR.SUL 2022
USP12445AA33,BCO ESTADO R.GR.SUL 12/22
US05968LAB80,BANCOLOMBIA     10/20
US05968LAH50,BANCOLOMBIA 12/22
USY0606WBS80,BANGKOK BK(HK)10/20 REGS
USY0606WBU37,BANGKOK BK(HK)12/22 REGS
US06034LAA89,BANISTMO 2022 144A
USP15383AC95,BANISTMO 17/22 REGS
US06051GEC96,BK OF AMER.CORP 10/20 MTN
XS1402946328,BANK MUSCAT 16/21 MTN
US06051GGH65,BANK AMERI. 2023 FLR MTN
US06051GHJ13,BANK AMERI. 18/22 FLR
