,ISIN,NAME
48,XS1646352010,BNG Bank N.V. DL-FLR Med.-T.Nts 17(20) Reg.S
49,US064159JY30,"Bank of Nova Scotia, The DL-FLR Notes 2017(20)"
50,XS0873432511,Fresenius SE &amp; Co. KGaA EO-Notes 2013(13/20) Reg.S
51,FR0011535764,Kering S.A. EO-Medium-Term Notes 2013(20)
52,XS1323463056,United Parcel Service Inc. EO-FLR Notes 2015(20)
53,XS0526235535,Kuwait Projects Co. SPC Ltd. DL-Med.-Term Nts 2010(20)
54,US91324PCM23,UnitedHealth Group Inc. DL-Notes 2015(15/20)
55,US58013MEJ99,McDonald&#39;s Corp. DL-Medium-Term Nts 2010(10/20)
56,USP1728MAA10,B3 S.A. DL-Notes 2010(10/20) Reg.S
57,XS0953219416,Santander UK PLC EO-Medium-Term Notes 2013(20)
58,XS1087819634,Scentre Management Ltd. EO-Medium-Term Nts 2014(14/20)
59,XS1856798027,VOLKSW. FINANCIAL SERVICES AG FLR-Med.Term Notes v.18(20)
60,XS0953958641,SPP Infrastructure Fing B.V. EO-Notes 2013(20)
61,XS1641442246,Bright Food SG Hldgs Pte. Ltd. EO-Notes 2017(17/20)
62,XS1644428614,CNAC (HK) Finbridge Co. Ltd. DL-Notes 2017(17/20)
63,XS0526612188,Bque F&#233;d&#233;rative du Cr. Mutuel EO-Medium-Term Notes 2010(20)
64,FR0010922534,Schneider Electric SE EO-Medium-Term Notes 2010(20)
65,USP5880CAB65,IRSA -Inversiones y Repres. SA DL-Notes 2010(20) Reg.S
66,XS0954025267,GE Capital Europ.Fund.Unltd.Co EO-Medium-Term Notes 2013(20)
67,US126650CJ78,CVS Health Corp. DL-Notes 2015(15/20)
68,US06675GAK13,Bque F&#233;d&#233;rative du Cr. Mutuel DL-Med.-Term Nts 2017(20)Reg.S
69,XS0527351653,Qatari Diar Finance QSC DL-Notes 2010(20) Reg.S
70,USL21779AA88,CSN Resources S.A. DL-Bonds 2010(10/20) Reg.S
71,FR0010212852,Bouygues S.A. EO-Obl. 2005(20)
72,XS0954684972,Toyota Motor Credit Corp. EO-Medium-Term Notes 2013(20)
73,XS1089831249,Deutsche Bahn Finance GmbH EO-FLR Med.-Term Nts 2014(20)
74,US63254AAL26,Natl Austr.Bank Ltd. (NY Br.) DL-Medium-Term Notes 2015(20)
75,XS1253824442,Zhaohai Investment (BVI) Ltd. DL-Bonds 2015(20)
76,US71654QBU58,Petr&#243;leos Mexicanos (PEMEX) DL-M.-T. Nts 2015(15/20)
77,DE000DHY4432,Deutsche Hypothekenbank MTN-IHS S.443 v.2015(2020)
78,US6174467P85,Morgan Stanley DL-Notes 2010(10/20)
79,XS0953783239,Ausnet Services Hldgs Pty Ltd. EO-Med.-Term Nts 2013(13/20)
80,XS1250867642,Deutsche Wohnen SE Anleihe v.2015(2015/2020)
81,CH0370943620,FCA Capital Suisse S.A. SF-Anl. 2017(20)
82,XS1439749109,Teva Pharmac.Fin.NL II B.V. EO-Notes 2016(16/20)
83,US05968LAB80,Bancolombia S.A. DL-Notes 2010(20)
84,XS1648248455,Shandong Energy Aust.Pty.Ltd. DL-Bonds 2017(20)
85,XS0954946926,Bank of America Corp. EO-Medium-Term Notes 2013(20)
86,XS1643554469,Oceanwide Hldgs Int. 17 Co.Ltd DL-Notes 2017(20)
87,XS1640820160,Yinchuan Tong.Cap.Inv.O.Co.Ltd DL-Notes 2017(20)
88,DE000MHB9452,M&#252;nchener Hypothekenbank MTN-IHS Serie 1694 v.15(20)
89,US55608RAP55,Macquarie Bank Ltd. DL-Med.-Term Nts 2015(20)Reg.S
90,XS1267602214,COSL Singapore Capital Ltd. DL-Medium-Term Nts 2015(15/20)
91,XS1265180213,Minmetals Bount.Fin.(BVI) Ltd. DL-Notes 2015(15/20)
92,XS1860992574,Svenska Handelsbanken AB EO-FLR Med.-Term Nts 2018(20)
93,FR0012872182,Cais. Ctr. du Crd. Imm. France EO-Medium-Term Notes 2015(20)
94,XS1883563972,Jingrui Holdings Ltd DL-Notes 2019(19/20)
95,IT0005030702,Banca IMI S.p.A. EO-FLR Obbl. 2014(20)
96,US65504LAC19,Noble Holding Intern. Ltd. DL-Notes 2010(20)
97,XS1650054734,CDBL Funding 2 DL-Medium-Term Notes 2017(20)
98,USU2339CCB29,Daimler Finance North Amer.LLC DL-Notes 2015(15/20) Reg.S
99,XS1245197998,China Merchants Finance Co.Ltd DL-Notes 2015(20)
100,XS0811554962,Heineken N.V. EO-Medium-Term Notes 2012(20)
101,XS0957258212,Unilever N.V. EO-Medium-Term Notes 2013(20)
102,XS1272154565,Royal Bank of Canada EO-FLR Med.-Term Nts 2015(20)
103,US40428HPV86,HSBC USA Inc. DL-Notes 2015(20)
104,XS1623981641,Shougang Group Co. Ltd. EO-Notes 2017(20)
105,US37045VAM28,General Motors Co. DL-FLR Notes 2017(20)
106,US88579YAQ44,3M Co. DL-Medium-Term Nts 2015(15/20)
107,XS1594400100,Sunac China Holdings Ltd. DL-Notes 2017(17/20)
108,XS0531922465,Morgan Stanley EO-Medium-Term Notes 2010(20)
109,AU3CB0246171,UBS AG (Australia Branch) AD-Notes 2017(20)
110,AU3FN0037388,UBS AG (Australia Branch) AD-FLR Notes 2017(20)
111,XS1273507100,Volkswagen Leasing GmbH Med.Term Nts.v.15(20)
112,XS1270771006,KA Finanz AG EO-Medium-Term Nts 2015(20)
113,XS1269824964,Oceanwide Hldgs Int. 15 Co.Ltd DL-FLR Notes 2015(15/20)
114,XS1272206209,Greentown China Holdings Ltd. DL-Notes 2015(18/20) Reg.S
115,USN93695BL23,Volkswagen Intl Finance N.V. DL-Notes 2010(10/20) Reg.S
116,XS1274011102,ICICI Bank Ltd. (Dubai Branch) DL-Medium-Term Notes 2015(20)
117,USU09513HN26,BMW US Capital LLC DL-Notes 2018(18/20) Reg.S
118,USU09513HP73,BMW US Capital LLC DL-FLR Notes 2018(20) Reg.S
119,AU3CB0255446,Toyota Finance Australia Ltd. AD-Medium-Term Notes 2018(20)
120,US026874CX31,American International Grp Inc DL-Notes 2013(13/20)
121,US852061AR17,Sprint Communications Inc. DL-Notes 2012(12/20)
122,US44987DAG16,ING Bank N.V. DL-Med.-Term Nts 2015(20)Reg.S
123,XS1275834395,DNB Bank ASA EO-FLR Med.-Term Nts 2015(20)
124,XS1277337678,Swedbank AB EO-FLR Med.-Term Nts 2015(20)
125,US751212AB74,Ralph Lauren Corp. DL-Notes 2015(15/20)
126,AU3FN0028361,Bendigo &amp; Adelaide Bank Ltd. AD-FLR Notes 2015(20)
127,XS0963375232,"Goldman Sachs Group Inc., The EO-Medium-Term Notes 2013(20)"
128,US05253JAR23,Aus.&amp; N.Z.Bkg Gr.Ltd.(NY.Br.) DL-Medium-Term Notes 2017(20)
129,US984121CM35,Xerox Corp. DL-Notes 2015(15/20)
130,US25152R2U64,Deutsche Bank AG DL-Senior Notes v.15(20)
131,US25152R2V48,Deutsche Bank AG FLR-DL-Senior Notes v.15(20)
132,XS1098413823,BNP Paribas S.A. ND-Medium-Term Notes 2014(20)
133,XS1172228709,Co&#246;p. Rabobank (Austr. Branch) AD-Medium-Term Notes 2015(20)
134,US902494BE29,Tyson Foods Inc. DL-FLR Notes 2017(20)
135,US023135AT31,Amazon.com Inc. DL-Notes 2017(17/20)
136,XS1480538807,BMW Finance N.V. AD-Medium-Term Notes 2016(20)
137,XS1590503279,FCE Bank PLC EO-FLR Med.-Term Nts 2017(20)
138,AU3FN0027595,"Goldman Sachs Group Inc., The AD-FLR Notes 2015(20)"
139,US14913Q2U23,Caterpillar Fin.Services Corp. DL-FLR Med.-Term Nts 2019(20)
140,XS0965050197,Svenska Handelsbanken AB EO-Medium-Term Nts 2013(20)
141,CH0238053091,BP Capital Markets PLC SF-Medium-Term Notes 2014(20)
142,DE000NLB0Q38,Norddeutsche Landesbank -GZ- Inh.-Schv. v.2018(2020)
143,DE000NLB0Q46,Norddeutsche Landesbank -GZ- FLR-Inh.-Schv. v.18(20)
144,DE000LB1B1T5,Landesbank Baden-W&#252;rttemberg Inh.-Schuldv. 16(20)
145,XS0537711144,BNG Bank N.V. EO-Medium-Term Notes 2010(20)
146,US478160AW48,Johnson &amp; Johnson DL-Notes 2010(10/20)
147,US984121CK78,Xerox Corp. DL-Notes 2015(15/20)
148,US375558BB81,Gilead Sciences Inc. DL-Notes 2015(15/20)
149,XS1102735179,Total Capital Intl S.A. ND-Medium-Term Notes 2014(20)
150,XS0968433135,Wells Fargo &amp; Co. EO-Medium-Term Notes 2013(20)
151,CH0247902908,Wells Fargo &amp; Co. SF-Medium-Term Notes 2014(20)
152,FR0011560986,Orano S.A. EO-Medium-Term Notes 2013(20)
153,XS0968316256,BMW Finance N.V. EO-Medium-Term Notes 2013(20)
154,XS0968885623,SBAB Bank AB (publ) EO-Medium-Term Notes 2013(20)
155,AU3CB0213098,GE Capit.Austral.Fdg Pty Ltd. AD-Notes 2013(20)
156,XS1105478389,Co&#246;peratieve Rabobank U.A. NK-Medium-Term Notes 2014(20)
157,XS1196449687,Co&#246;peratieve Rabobank U.A. ND-Medium-Term Notes 2015(20)
158,US14913Q2A68,Caterpillar Fin.Services Corp. DL-Med.-Term Nts 2017(17/20)
159,US14913Q2B42,Caterpillar Fin.Services Corp. DL-FLR Med.-T. Nts 17(20)Ser.I
160,XS0825829590,Holcim U.S.Fin.SARL &amp; Cie SCS EO-Medium-Term Notes 2012(20)
161,XS1484148157,&#205;slandsbanki hf. EO-Medium-Term Notes 2016(20)
162,XS1287714502,"Toronto-Dominion Bank, The EO-FLR Med.-Term Nts 2015(20)"
163,XS0969344083,Continental AG Medium Term Notes v.13(20)
164,XS0969574325,Equinor ASA EO-Medium-Term Nts 2013(13/20)
165,XS1245554859,SATO Oyj EO-Medium-T. Notes 2015(15/20)
166,XS1107500057,Co&#246;peratieve Rabobank U.A. RC-Medium-Term Notes 2014(20)
167,US89114QBT40,"Toronto-Dominion Bank, The DL-Medium-Term Notes 2017(20)"
168,XS1681518962,GlaxoSmithKline Cap. PLC EO-Med.-Term Nts 2017(20/20)
169,XS0970695572,EDP Finance B.V. EO-Medium-Term Notes 2013(20)
170,XS1290851184,Bank of America Corp. EO-FLR Med.-Term Nts 2015(20)
171,US0258M0DX44,American Express Credit Corp. DL-Med.-Term Notes 2015(20/20)
172,XS0541498837,Optus Finance Pty Ltd. EO-Medium-Term Notes 2010(20)
173,XS1108346757,National Australia Bank Ltd. ND-Medium-Term Notes 2014(20)
174,XS1291175161,Credit Suisse AG (Ldn Br.) EO-Medium-Term Nts 2015(20)
175,XS1291152624,Skandinaviska Enskilda Banken EO-FLR Med.-Term Nts 2015(20)
176,US38141GVP61,"Goldman Sachs Group Inc., The DL-Notes 2015(20/20)"
177,US35906AAT51,Frontier Communications Corp. DL-Notes 2016(16/20)
178,XS1683495052,John Deere Cash Mgmt S.a.r.L. EO-FLR Med.-Term Nts 2017(20)
179,US018490AN28,Allergan Inc. DL-Notes 2010(20)
180,DE000CZ302M3,Commerzbank AG MTN-IHS S.755 v.10(20)
181,USP09646AC75,Bco de Cred.Peru S.A. (PA Br.) DL-Notes 2010(20) Reg.S
182,XS1110296016,BNG Bank N.V. ND-Medium-Term Notes 2014(20)
183,US83368TAC27,Soci&#233;t&#233; G&#233;n&#233;rale S.A. DL-Med.-Term Nts 2015(20)Reg.S
184,XS1291169867,Avi Funding Co. Ltd. DL-M.T.LPN 15(20) Eximb. Reg.S
185,US36962G4R28,General Electric Co. DL-Medium-Term Nts 2010(20)
186,XS0828235225,Linde Finance B.V. Med.-Term Nts.v.2012(2020)
187,XS0972058175,Otto (GmbH &amp; Co KG) MTN v.2013(2020)
188,US65557DAP69,Nordea Bank Abp DL-Med.-Term Nts 2015(20)Reg.S
189,US25468PDE34,TWDC Enterprises 18 Corp. DL-Medium-Term Nts 2015(15/20)
190,XS1289509405,CSCI Finance (2015) Co. Ltd. DL-Notes 2015(20)
191,US89114QC633,"Toronto-Dominion Bank, The DL-FLR Med.-Term Nts 2018(20)"
192,US89114QC716,"Toronto-Dominion Bank, The DL-Med.-Term Bk Nts 2018(20)"
193,CH0193296990,Philip Morris Internat. Inc. SF-Anl. 2012(20)
194,US2027A1JP31,Commonwealth Bank of Australia DL-Med.-Term Nts 2017(20)Reg.S
195,US2027A1JQ14,Commonwealth Bank of Australia DL-FLR M.-T.Nts 2017(20) Reg.S
196,US44891CAQ69,Hyundai Capital America DL-Med.-T. Nts 17(17/20) Reg.S
197,US89236TFM27,Toyota Motor Credit Corp. DL-FLR Med.-Term Nts 2018(20)
198,CH0237552085,Givaudan SA SF-Anl. 2014(20)
199,XS1683356874,Inventive Global Invest. Ltd. DL-Medium-Term Nts 2017(20)
200,XS0543354236,Kon. KPN N.V. EO-Medium-Term Notes 2010(20)
201,XS0543758246,JPMorgan Chase &amp; Co. EO-Medium-Term Notes 2010(20)
202,XS1383510259,FCA Bank S.p.A. (Irish Branch) EO-Medium-Term Notes 2016(20)
203,XS0831560742,ELM B.V. EO-L.-Part.MTN 12(20)Elsevier
204,XS0834386228,BHP Billiton Finance Ltd. EO-Medium-Term Notes 2012(20)
205,XS0974126186,Gaz Capital S.A. LS-Med.-Term LPN 2013(20)
206,XS1882030510,Sumitomo Mitsui Trust Bk Ltd. EO-FLR Notes 2018(20) Reg.S
207,DE000BLB2H81,Bayerische Landesbank FLR-Inh.Schv. v.13(20)
208,XS1496343986,mFinance France S.A. EO-Medium-Term Notes 2016(20)
209,XS1883354547,Abbott Ireland Financing DAC EO-Notes 2018(20)
210,XS1689666870,De Volksbank N.V. EO-Medium-Term Nts 2017(20)
211,USU65478BG00,Nissan Motor Acceptance Corp. DL-Notes 2017(17/20) Reg.S
212,USU65478BH82,Nissan Motor Acceptance Corp. DL-FLR Notes 2017(20) Reg.S
213,XS1620560695,Barclays Bank PLC TN-Medium-Term Nts 2017(20)
214,XS0834719303,Mondi Finance PLC EO-Medium-Term Notes 2012(20)
215,XS1287777095,Citigroup Inc. RB/YN-Medium-Term Nts 2015(20)
216,XS0118106243,General Electric Co. LS-Medium-Term Notes 2000(20)
217,XS0974877150,Glencore Finance (Europe) Ltd. EO-Medium-Term Notes 2013(20)
218,XS0972165848,Lunar Funding V PLC EO-Med.-T.LPN 2013(20)Swisscom
219,CH0249899110,Bobst Group S.A. SF-Anl. 2014(20)
220,US594918AH79,Microsoft Corp. DL-Notes 2010(20)
221,US05565QBP28,BP Capital Markets PLC DL-Notes 2010(20)
222,XS1253503210,Daimler AG Medium Term Notes v.15(20)
223,US038222AH86,Applied Materials Inc. DL-Notes 2015(15/20)
224,US871829AX53,Sysco Corp. DL-Notes 2015(15/20)
225,US20030NCV10,Comcast Corp. DL-FLR Notes 2018(20)
226,XS1051857156,Volkswagen Fin. Services N.V. LS-Medium-Term Notes 2014(20)
227,XS0975837146,Simon Property Group L.P. EO-Notes 2013(20)
228,DE000HSH4P13,Hamburg Commercial Bank AG HSH Stufenzins V 14(20)
229,CH0190125044,Nordea Bank Abp SF-Medium-Term Nts 2012(20)
230,XS0973209421,CNOOC Curtis Fdg No.1 Pty Ltd. EO-Notes 2013(20)
231,XS1328242406,Grenke Finance PLC EO-Medium-Term Notes 2015(20)
232,XS1692348847,Volkswagen Leasing GmbH Med.Term Nts.v.17(20)
233,XS1692480798,BNG Bank N.V. DL-Med.-Term Nts 2017(20)Reg.S
234,US136069VX63,Canadian Imperial Bk of Comm. DL-Notes 2017(20)
235,XS1501162876,Amadeus Capital Markets S.A.U. EO-Medium-Term Nts 2016(16/20)
236,XS1501561739,RZD Capital PLC DL-Ln Prt.Nts 16(20)Rus.Railw.
237,US00254EMS80,"Svensk Exportkredit, AB DL-Medium-Term Nts 2018(20)"
238,USP1027DEN77,Banco del Estado de Chile DL-Notes 2010(10/20) Reg.S
239,XS0977502110,Transurban Finance Co. Pty Ltd EO-Medium-Term Nts 2013(20/20)
240,CH0255475284,Chocoladef. Lindt &amp; Spr&#252;ngli SF-Anl. 2014(20)
241,US24422EUL19,John Deere Capital Corp. DL-FLR Med.-Term Nts 2018(20)
242,US89236TFW09,Toyota Motor Credit Corp. DL-FLR Med.-Term Nts 2019(20)
243,XS1692890343,Ind.&amp; Com.Bk of China(Lux.Br.) DL-FLR Med.-Term Nts 2017(20)
244,XS1691909334,Ind.&amp; Com.Bk of China(Lux.Br.) EO-FLR Med.-Term Nts 2017(20)
245,XS1697551080,Aktia Bank PLC EO-FLR Med.-Term Nts 2017(20)
246,XS1697916358,FCA Bank S.p.A. (Irish Branch) EO-Medium-Term Notes 2017(20)
247,XS1979288328,ABB Finance B.V. EO-FLR Med.-T. Notes 2019(20)
248,XS1232146412,Caterpillar Intl Finance Ltd. EO-Medium-Term Notes 2015(20)
249,USF2893TAN66,Electricit&#233; de France (E.D.F.) DL-Notes 2015(15/20) Reg.S
250,XS0548633659,VTB Capital S.A. DL-Med.-Term LPN 2010(20) VTB
251,XS1695268695,SNCF R&#233;seau DL-Medium-Term-Notes 2017(20)
252,FR0011592096,bioMerieux EO-Obl. 2013(13/20)
253,US713448DC92,PepsiCo Inc. DL-Notes 2015(15/20)
254,US571903AL78,Marriott International Inc. DL-Notes 2013(13/20) Ser.M
255,XS0981442931,CRH Finland Services Oyj EO-Medium-Term Nts 2013(13/20)
256,US084664BZ33,Berkshire Hathaway Fin. Corp. DL-Notes 2013(13/20)
257,CH0194405335,Co&#246;peratieve Rabobank U.A. SF-Medium-Term Notes 2012(20)
258,USU31434AD25,Fresenius Med.C.US Fin.II Inc. DL-Notes 2014(14/20) Reg.S
259,US06675GAF28,Bque F&#233;d&#233;rative du Cr. Mutuel DL-Med.-Term Nts 2015(20)Reg.S
260,US278642AC77,eBay Inc. DL-Notes 2010(10/20)
261,US666807BL56,Northrop Grumman Corp. DL-Notes 2017(17/20)
262,US91324PDC32,UnitedHealth Group Inc. DL-Notes 2017(17/20)
263,US42824CAG42,Hewlett Packard Enterprise Co. DL-Notes 2016(16/20)
264,IT0005042194,Banca IMI S.p.A. EO-Zero Med.-T.Nts 2014(20)
265,US143658BA91,Carnival Corp. DL-Notes 2013(13/20)
266,XS0982774399,REN Finance B.V. EO-Med.-Term Nts 2013(20)Ser.1
267,US80281LAC90,Santander UK Group Hldgs PLC DL-Med.-Term Nts 2015(20)
268,XS1893632221,VOLKSW. FINANCIAL SERVICES AG Med.Term Notes v.18(20)
269,XS0982303785,Sinopec Grp Over.Dev.2013 Ltd. EO-Bonds 2013(20) Reg.S
270,XS1505554698,Telefonica Emisiones S.A.U. EO-Medium-Term Notes 2016(20)
271,XS1803070520,Kunzhi Ltd. DL-Notes 2018(20)
272,XS0232778083,&#214;BB-Infrastruktur AG EO-Medium-Term Notes 2005(20)
273,USU75888AA26,Reliance Holding USA Inc. DL-Notes 2010(10/20) Reg.S
274,US06051GFT13,Bank of America Corp. DL-Notes 2015(20)
275,XS1701435742,BMW Finance N.V. YC-Medium-Term Notes 2017(20)
276,XS1808497264,Scania CV AB EO-FLR Med.-Term Nts 2018(20)
277,US05946KAD37,Banco Bilbao Vizcaya Argent. DL-Notes 2015(15/20)
278,XS0551313686,Dubai Electr. &amp; Water Auth. DL-Med.-T. Nts 2010(20) Reg.S
279,XS0985874543,HeidelbergCement Fin.Lux. S.A. EO-Medium-Term Nts 2013(13/20)
280,US61747WAA71,Morgan Stanley RB/DL-Notes 2010(20)
281,XS0551935769,Eurogrid GmbH MTN v.2010(2020)
282,XS0920705737,Origin Energy Finance Ltd. EO-Medium-Term Notes 2013(20)
283,CH0222418300,Telefonica Emisiones S.A.U. SF-Medium-Term Notes 2013(20)
284,US742718FA29,"Procter &amp; Gamble Co., The DL-Notes 2017(17/20)"
285,XS1809984625,Central China Real Estate Ltd. DL-Notes 2018(18/20)
286,FR0013374881,JCDecaux S.A. EO-FLR Bonds 2018(20)
287,US931142CZ44,Walmart Inc. DL-Notes 2010(20)
288,US172967KB60,Citigroup Inc. DL-Notes 2015(20)
289,XS1706939227,Commonwealth Bank of Australia YC-Medium-Term Notes 2017(20)
290,US78013GKP99,Royal Bank of Canada DL-FLR Med.-Term Nts 2017(20)
291,US172967KC44,Citigroup Inc. DL-FLR Notes 2015(20)
292,US191216BT60,"Coca-Cola Co., The DL-Notes 2015(15/20)"
293,USP7807HAV70,Petr&#243;leos de Venezuela S.A. DL-Notes 2016(16/17-20) Reg.S
294,USY70750AN78,POSCO DL-Notes 2010(20) Reg.S
295,XS0982861287,MMC Finance DAC DL-LPN 13(20)Reg.S MMC Norilsk
296,XS0986610425,SKF AB EO-Notes 2013(20)
297,US46625HNX43,JPMorgan Chase &amp; Co. DL-Notes 2015(20/20)
298,US78012KJA60,Royal Bank of Canada DL-Medium-Term Notes 2015(20)
299,FR0011612381,Edenred S.A. EO-Bonds 2013(20)
300,US025816BP35,American Express Co. DL-Notes 2017(20/20)
301,US14040HBR57,Capital One Financial Corp. DL-Notes 2017(20/20)
302,US025816BQ18,American Express Co. DL-FLR Notes 2017(20/20)
303,US17401QAN16,Citizens Bank N.A. DL-Med.-Term Notes 2017(20/20)
304,US713448BR89,PepsiCo Inc. DL-Notes 2010(10/20)
305,XS0988014212,TenneT Holding B.V. EO-Medium-Term Notes 2013(20)
306,US191216BG40,"Coca-Cola Co., The DL-Notes 2013(13/20)"
307,XS1308332508,BAIC Inalfa HK Invest.Co.Ltd. EO-Bonds 2015(20)
308,DE000DHY4739,Deutsche Hypothekenbank MTN-IHS S.473 v.2016(2020)
309,US345397YS67,Ford Motor Credit Co. LLC DL-Notes 2017(20)
310,US345397YR84,Ford Motor Credit Co. LLC DL-FLR Notes 2017(20)
311,XS1130303305,Nestl&#233; Holdings Inc. AD-Medium-Term Notes 2014(20)
312,XS1315077476,BNG Bank N.V. EO-Medium-Term Notes 2015(20)
313,US594918BG87,Microsoft Corp. DL-Notes 2015(15/20)
314,FR0013216892,Danone S.A. EO-Med.-Term Notes 2016(16/20)
315,XS0555493203,ALROSA Finance S.A. DL-Notes 2010(20) Reg.S
316,XS0699330097,EWE AG Anleihe v.11(20)
317,USP3143NAM67,Corp.Nacion.del Cobre de Chile DL-Notes 2010(20) Reg.S
318,XS1480241469,JPMorgan Chase &amp; Co. NK-Medium-Term Notes 2016(20)
319,XS1604200904,LeasePlan Corporation N.V. EO-FLR Med.-Term Nts 2017(20)
320,XS0554819465,Unibail-Rodamco-Westfield SE EO-Medium-Term Notes 2010(20)
321,AU3FN0029401,National Australia Bank Ltd. AD-FLR Notes 2015(20)
322,XS0988384904,Deutsche Bahn Finance GmbH EO-Med.-Term Notes 2013(20)
323,XS0991090175,Intl Business Machines Corp. EO-Notes 2013(13/20)
324,CH0243017081,JPMorgan Chase &amp; Co. SF-Medium-Term Notes 2014(20)
325,FR0011615699,Eramet S.A. EO-Obl. 2013(13/20)
326,XS1216623022,Reliance Communications Ltd. DL-Notes 2015(20)
327,US12592BAE48,CNH Industrial Capital LLC DL-Notes 2015(15/20)
328,US37045XCB01,General Motors Financial Co. DL-Notes 2017(17/20)
329,US37045XCC83,General Motors Financial Co. DL-FLR Notes 2017(20)
330,IT0005057424,Intesa Sanpaolo S.p.A. EO-Obbl. 2014(20)
331,US85771PAP71,Equinor ASA DL-Notes 2013(13/20)
332,XS1317725726,FCE Bank PLC EO-Medium-Term Notes 2015(20)
333,XS0554659671,Lukoil Internat. Finance B.V. DL-Notes 2010(20) Reg.S
334,XS0061222484,Westn Power Distrib.(S.W.) PLC LS-Bonds 1995(95/20)
335,XS1715295223,SpareBank 1 SMN EO-FLR Med.-Term Nts 2017(20)
336,US8672ENAH57,Suncorp-Metway Ltd. DL-Med.-Term Nts 2017(20)Reg.S
337,US822582BP60,Shell International Finance BV DL-Notes 2015(15/20)
338,USY3R559AF96,ICBCIL Finance Company Ltd. DL-Notes 2015(20) Reg.S
339,DE000A188WV3,BASF Finance Europe N.V. EO-Med.-Term Nts 2016(16/20)
340,US478160CH52,Johnson &amp; Johnson DL-Notes 2017(17/20)
