ISIN,NAME
AT0000A272M2,Erste Group Bank AG EO-Med.-Term Notes 2019(25) 12
AT0000A27LQ1,voestalpine AG EO-Medium-Term Notes 2019(26)
AT0000A28KX7,"Österreich, Republik EO-Medium-Term Notes 2019(24)"
AT0000A2A6W3,Erste Group Bank AG EO-M.-T. Hyp.Pfandb.2019(29)
AT0000A2AX04,UBM Development AG EO-Anleihe 2019(25)
AT0000A2AYL3,HYPO TIROL BANK AG EO-Med.-T.Hyp.Pf.-Br. 2019(26)
AT0000A2CDT6,Erste Group Bank AG EO-M.-T. Hyp.Pfandb.2020(30)
AT0000A2CFT1,Raiffeisenlandesbk.Oberösterr. EO-Med.-Term Nts 20(35)
AT0000A2CN04,Oberbank AG EO-Medium-Term Notes 2020(30)
AT0000A2CQD2,"Österreich, Republik EO-Medium-Term Notes 2020(30)"
AT0000A2EJ08,"Österreich, Republik EO-Medium-Term Notes 2020(51)"
AT0000A2EJZ6,"Österreich, Republik EO-Medium-Term Notes 2020(23)"
AT0000A2GH08,Erste Group Bank AG EO-Pref. Med.-T.Nts 2020(27)
AT0000A2GKQ8,Erste Group Bank AG EO-Pref. Med.-T.Nts 20(25/31)
AT0000A2GLA0,Wienerberger AG EO-Schuldv. 2020(20/25)
AT000B048988,UniCredit Bank Austria AG EO-Öff.Med.-Term Pfdbr. 11(21)
AT000B049408,UniCredit Bank Austria AG EO-Öff. M.-T. Pfandbr.2013(20)
AT000B049465,UniCredit Bank Austria AG EO-Med.-T.Hyp.Pf.-Br. 2014(24)
AT000B049507,UniCredit Bank Austria AG EO-Öff. M.-T. Pfandbr.2014(21)
AT000B049572,UniCredit Bank Austria AG EO-Med.-T.Hyp.Pf.-Br. 2015(25)
AT000B049598,UniCredit Bank Austria AG EO-Med.-T.Hyp.Pf.-Br. 2015(22)
AT000B049796,UniCredit Bank Austria AG EO-Med.-T.Hyp.Pf.-Br. 2020(30)
AT000B121967,Volksbank Wien AG EO-FLR Notes 2017(22/27)
AU0000013740,"Australia, Commonwealth of... AD-Treasury Bonds 2018(30)"
AU0000018442,"Australia, Commonwealth of... AD-Treasury Bonds 2018(41)"
AU0000047003,"Australia, Commonwealth of... AD-Treasury Bonds 2018(31)"
AU0000075624,Treasury Corp. of Victoria AD-Loan 2020(23)
AU0000075681,"Australia, Commonwealth of... AD-Loans 2020(32)"
AU0000079402,Queensland Treasury Corp. AD-Notes 2020(34)
AU0000083768,"Australia, Commonwealth of... AD-Treasury Bonds 2020(24)"
AU0000087454,"Australia, Commonwealth of... AD-Treasury Bonds 2020(30)"
AU0000ATBHI7,Asian Development Bank AD-Bonds 2012(22)
AU0000IFXHD4,International Finance Corp. AD-Notes 2010(20)
AU0000KFWHO9,Kreditanst.f.Wiederaufbau AD-Med.Term Nts. v.10(20)
AU0000KFWHR2,Kreditanst.f.Wiederaufbau AD-MTN v.11(21) Kangaroo
AU0000KFWHU6,Kreditanst.f.Wiederaufbau AD-MTN v.12(22) Kangaroo
AU0000KFWHX0,Kreditanst.f.Wiederaufbau AD-Med.Term Nts. v.13(24)
AU0000NIBHF9,Nordic Investment Bank AD-Notes 2012(22)
AU0000XCLWM5,"Australia, Commonwealth of... AD-Loan 2007(21) Ser. 124"
AU0000XQLQI5,Queensland Treasury Corp. AD-Loan 2008(33) Ser.33
AU0000XQLQT2,Queensland Treasury Corp. AD-Loans 2011(22)
AU0000XQLQU0,Queensland Treasury Corp. AD-Loans 2011(24)
AU0000XQLQV8,Queensland Treasury Corp. AD-Notes 2011(21)
AU0000XQLQX4,Queensland Treasury Corp. AD-Loan 2012(23)
AU0000XVGHI4,Treasury Corp. of Victoria AD-Loan 2015(28)
AU0000XVGZJ4,Treasury Corp. of Victoria AD-Loan 2011(26)
AU000KFWHAA3,Kreditanst.f.Wiederaufbau AD-MTN v.14(25)
AU000KFWHAC9,Kreditanst.f.Wiederaufbau AD-Med.Term Nts. v.15(20)
AU000KFWHAD7,Kreditanst.f.Wiederaufbau AD-MTN v.2016 (2021)
AU000KFWHAE5,Kreditanst.f.Wiederaufbau AD-MTN v.2016 (2026)
AU000KFWHAF2,Kreditanst.f.Wiederaufbau AD-MTN v.2016 (2022)
AU000KFWHAG0,Kreditanst.f.Wiederaufbau AD-MTN v.2017 (2028)
AU000XCLWAG2,"Australia, Commonwealth of... AD-Loans 2013(33) Ser.140"
AU000XCLWAI8,"Australia, Commonwealth of... AD-Loans 2014(26)"
AU000XCLWAM0,"Australia, Commonwealth of... AD-Loans 2015(35) Ser.145"
AU000XCLWAN8,"Australia, Commonwealth of... AD-Treasury Bonds 2015(20)"
AU000XCLWAP3,"Australia, Commonwealth of... AD-Treasury Bonds 2015(39)"
AU000XCLWAQ1,"Australia, Commonwealth of... AD-Treasury Bonds 2016(27)"
AU000XCLWAR9,"Australia, Commonwealth of... AD-Treasury Bonds 2016(28) 149"
AU000XCLWAS7,"Australia, Commonwealth of... AD-Treasury Bonds 2016(47)"
AU000XCLWAT5,"Australia, Commonwealth of... AD-Treasury Bonds 2017(21)"
AU000XCLWAU3,"Australia, Commonwealth of... AD-Treasury Bonds 2017(28) 152"
AU000XCLWAW9,"Australia, Commonwealth of... AD-Treasury Bonds 2017(22)"
AU300WT60390,Western Austral. Treas. Corp. AD-Bond 2005(23)
AU3CB0018430,Inter-American Dev. Bank AD-Medium-Term Notes 2007(21)
AU3CB0022002,EUROFIMA AD-Medium-Term Notes 2007(22)
AU3CB0038172,New South Wales Treasury Corp. AD-Loan 2007(23)
AU3CB0152940,Telstra Corp. Ltd. AD-Medium-Term Notes 2010(20)
AU3CB0155620,European Investment Bank AD-Bonds 2010(20)
AU3CB0160547,International Bank Rec. Dev. AD-Notes 2010(20)
AU3CB0161123,Council of Europe Developm.Bk AD-Notes 2010(20)
AU3CB0176675,European Investment Bank AD-Bonds 2011(21)
AU3CB0190908,International Bank Rec. Dev. AD-Medium-Term Notes 2012(22)
AU3CB0192276,Landwirtschaftliche Rentenbank AD-MTN S.14 v.12(22)
AU3CB0196707,Kommunalbanken AS AD-Notes 2012(22)
AU3CB0196921,Inter-American Dev. Bank AD-Medium-Term Notes 2012(22)
AU3CB0198034,European Investment Bank AD-Medium-Term Notes 2012(22)
AU3CB0204543,Landwirtschaftliche Rentenbank AD-MTN S.15 v.13(23)
AU3CB0206027,BNG Bank N.V. AD-Bonds 2013(23)
AU3CB0207645,Kommunalbanken AS AD-Medium-Term Notes 2013(23)
AU3CB0208627,Inter-American Dev. Bank AD-Medium-Term Notes 2013(23)
AU3CB0211415,Perth Airport Pty Ltd. AD-Notes 2013(20)
AU3CB0212942,Nordic Investment Bank AD-Notes 2013(24)
AU3CB0213098,GE Capit.Austral.Fdg Pty Ltd. AD-Notes 2013(20)
AU3CB0213205,African Development Bank AD-Notes 2013(24)
AU3CB0215788,Australian Postal Corp. AD-Medium-Term Nts 2013(20)
AU3CB0216141,BNG Bank N.V. AD-Bonds 2013(24)
AU3CB0218444,European Investment Bank AD-Bonds 2014(24)
AU3CB0219681,Perth Airport Pty Ltd. AD-Notes 2014(21)
AU3CB0220598,Landwirtschaftliche Rentenbank AD-MTN S.18 v.14(26)
AU3CB0221232,"British Columbia, Provinz AD-Medium-Term Notes 2014(24)"
AU3CB0222040,International Bank Rec. Dev. AD-Medium-Term Notes 2014(25)
AU3CB0222362,Landwirtschaftliche Rentenbank AD-MTN S.19 v.14(25)
AU3CB0222370,African Development Bank AD-Notes 2014(25)
AU3CB0223097,L-Bank Bad.-Württ.-Förderbank AD-MTN S.5530 v.2014 (2025)
AU3CB0223519,Wells Fargo & Co. AD-Medium-Term Notes 2014(24)
AU3CB0223741,"Goldman Sachs Group Inc., The AD-Notes 2014(21)"
AU3CB0225662,Total Capital Intl S.A. AD-Medium-Term Notes 2014(21)
AU3CB0227411,Emirates NBD PJSC AD-Notes 2015(22)
AU3CB0227841,Landwirtschaftliche Rentenbank AD-MTN S.21 v.15(22)
AU3CB0228716,Landwirtschaftliche Rentenbank AD-MTN S.22 v.15(21)
AU3CB0228823,European Investment Bank AD-Bonds 2015(25)
AU3CB0229227,Inter-American Dev. Bank AD-Bonds 2015(25)
AU3CB0232296,Apple Inc. AD-Notes 2015(22)
AU3CB0234409,Intel Corp. AD-Notes 2015(22)
AU3CB0234961,International Bank Rec. Dev. AD-Medium-Term Notes 2016(21)
AU3CB0234987,European Investment Bank AD-Medium-Term Notes 2016(21)
AU3CB0235612,European Investment Bank AD-Medium-Term Notes 2016(26)
AU3CB0237337,National Australia Bank Ltd. AD-Medium-Term Notes 2016(21)
AU3CB0237725,Hyundai Capital Services Inc. AD-Medium-Term Notes 2016(21)
AU3CB0237881,Apple Inc. AD-Notes 2016(26)
AU3CB0237899,Apple Inc. AD-Notes 2016(24)
AU3CB0237907,"Coca-Cola Co., The AD-Notes 2016(24)"
AU3CB0238731,Toyota Motor Credit Corp. AD-Medium-Term Notes 2016(21)
AU3CB0239168,Australia & N. Z. Bkg Grp Ltd. AD-Medium-Term Notes 2016(21)
AU3CB0240059,Qantas Airways Ltd. AD-Notes 2016(23)
AU3CB0240109,Qantas Airways Ltd. AD-Notes 2016(26)
AU3CB0241784,International Bank Rec. Dev. AD-Medium-Term Notes 2017(22)
AU3CB0242519,International Finance Corp. AD-Medium-Term Notes 2017(22)
AU3CB0243558,Hyundai Capital Services Inc. AD-Medium-Term Notes 2017(22)
AU3CB0243764,Telstra Corp. Ltd. AD-Medium-Term Notes 2017(27)
AU3CB0244960,Holcim Finance (Aust.)Pty Ltd. AD-Medium-Term Notes 2017(22)
AU3CB0245801,John Deere Financial Ltd. AD-Notes 2017(22)
AU3CB0245884,European Investment Bank AD-Medium-Term Notes 2017(28)
AU3CB0246171,UBS AG (Australia Branch) AD-Notes 2017(20)
AU3CB0246213,Verizon Communications Inc. AD-Med.-Term Nts 2017(23)
AU3CB0246221,Verizon Communications Inc. AD-Med.-Term Nts 2017(25)
AU3CB0246239,Verizon Communications Inc. AD-Med.-Term Nts 2017(27)
AU3CB0246924,"Bank of Nova Scotia, The AD-Medium-Term Notes 2017(22)"
AU3CB0247047,VW Finan. Serv. Austr.Pty.Ltd. AD-Medium-Term Notes 2017(22)
AU3CB0247245,International Bank Rec. Dev. AD-Medium-Term Notes 2017(22)
AU3CB0247690,Bank of Montreal AD-Notes 2017(22)
AU3CB0247740,Emirates NBD PJSC AD-Notes 2017(27)
AU3CB0248060,Spark Finance Ltd. AD-Notes 2017(27)
AU3CB0248169,ADCB Finance (Cayman) Ltd. AD-Medium-Term Notes 2017(27)
AU3CB0248862,Lloyds Banking Group PLC AD-Medium-Term Notes 2017(27)
AU3CB0249183,Toyota Finance Australia Ltd. AD-Medium-Term Notes 2017(20)
AU3CB0249365,Vodafone Group PLC AD-Medium-Term Notes 2017(22)
AU3CB0249373,Vodafone Group PLC AD-Medium-Term Notes 2017(27)
AU3CB0250355,QNB Finance Ltd. AD-Medium-Term Notes 2018(23)
AU3CB0250363,QNB Finance Ltd. AD-Medium-Term Notes 2018(28)
AU3CB0250512,Emirates NBD PJSC AD-Medium-Term Notes 2018(28)
AU3CB0251197,UBS AG (Australia Branch) AD-Notes 2018(23)
AU3CB0252328,VW Finan. Serv. Austr.Pty.Ltd. AD-Medium-Term Notes 2018(21)
AU3CB0252922,Australia & N. Z. Bkg Grp Ltd. AD-Med.-Term Nts 2018(23)
AU3CB0256915,AT & T Inc. AD-Medium-Term Nts 2018(28)
AU3CB0260990,National Australia Bank Ltd. AD-Notes 2019(24)
AU3CB0261006,General Motors Financial Co. AD-Notes 2019(23)
AU3CB0261212,International Bank Rec. Dev. AD-Medium-Term Notes 2019(24)
AU3CB0261378,McDonald's Corp. AD-Medium-Term Nts 2019(24)
AU3CB0261394,McDonald's Corp. AD-Medium-Term Nts 2019(26)
AU3CB0261402,McDonald's Corp. AD-Medium-Term Nts 2019(28/29)
AU3CB0262533,Woolworths Group Ltd. AD-Notes 2019(24)
AU3CB0264141,PACCAR Financial Pty Ltd. AD-Notes 2019(23)
AU3CB0264265,National Australia Bank Ltd. AD-Notes 2019(24)
AU3CB0264778,"Toronto-Dominion Bank, The AD-Notes 2019(24)"
AU3CB0265163,European Investment Bank AD-Medium-Term Notes 2019(24)
AU3CB0266013,VW Finan. Serv. Austr.Pty.Ltd. AD-Medium-Term Notes 2019(24)
AU3CB0267052,John Deere Financial Ltd. AD-Notes 2019(24)
AU3CB0267847,Origin Energy Finance Ltd. AD-Medium-Term Notes 2019(27)
AU3CB0269710,Australia & N. Z. Bkg Grp Ltd. AD-Med.-Term Nts 2020(25)
AU3CB0270494,Toyota Finance Australia Ltd. AD-Medium-Term Notes 2020(23)
AU3CB0272219,Woolworths Group Ltd. AD-Medium-Term Notes 2020(25)
AU3CB0272227,Woolworths Group Ltd. AD-Medium-Term Notes 2020(30)
AU3FN0029575,Australia & N. Z. Bkg Grp Ltd. AD-FLR Med.-T. Nts 2015(21/26)
AU3FN0032181,Australia & N. Z. Bkg Grp Ltd. AD-FLR Med.-Term Nts 2016(21)
AU3FN0032470,National Australia Bank Ltd. AD-FLR Med.-T. Nts 2016(21/26)
AU3FN0037388,UBS AG (Australia Branch) AD-FLR Notes 2017(20)
AU3FN0037495,Verizon Communications Inc. AD-FLR Med.-Term Nts 2017(23)
AU3FN0039251,National Australia Bank Ltd. AD-FLR Notes 2017(23)
AU3FN0041026,UBS AG (Australia Branch) AD-FLR Med.-Term Nts 2018(21)
AU3FN0046827,McDonald's Corp. AD-FLR Med.Term Nts 2019(24)
AU3SG0000284,New South Wales Treasury Corp. AD-Loan 2011(22)
AU3SG0000326,South Austr. Govnmt Fin. Auth. AD-Bonds 2011(21)
AU3SG0000417,New South Wales Treasury Corp. AD-Loan 2012(24)
AU3SG0001159,New South Wales Treasury Corp. AD-Loan 2013(23)
AU3SG0001175,Treasury Corp. of Victoria AD-Loan 2013(32)
AU3SG0001258,New South Wales Treasury Corp. AD-Loan 2013(21)
AU3SG0001464,Tasmanian Public Finance Corp. AD-Bonds 2015(26)
AU3SG0001563,Western Austral. Treas. Corp. AD-Loan 2016(27)
AU3SG0001571,New South Wales Treasury Corp. AD-Loan 2016(30)
AU3SG0001605,Queensland Treasury Corp. AD-Notes 2016(27) Ser.27
AU3SG0001704,Western Austral. Treas. Corp. AD-Bonds 2017(26)
AU3TB0000051,"Australia, Commonwealth of... AD-Loans 2010(22) Ser. 128"
AU3TB0000101,"Australia, Commonwealth of... AD-Loans 2011(23) Ser. 133"
AU3TB0000135,"Australia, Commonwealth of... AD-Loans 2011(27) Ser.136"
AU3TB0000143,"Australia, Commonwealth of... AD-Loans 2012(24) Ser.137"
AU3TB0000150,"Australia, Commonwealth of... AD-Loans 2012(29) Ser.138"
AU3TB0000168,"Australia, Commonwealth of... AD-Loans 2013(25) Ser.139"
AU3TB0000192,"Australia, Commonwealth of... AD-Loans 2014(37) Ser.144"
BE0000291972,"Belgien, Königreich EO-Obl. Lin. 1998(28) Ser. 31"
BE0000304130,"Belgien, Königreich EO-Obl. Lin. 2004(35) Ser.44"
BE0000308172,"Belgien, Königreich EO-Obl. Lin. 2006(22) Ser. 48"
BE0000318270,"Belgien, Königreich EO-Obl. Lin. 2010(20) Ser. 58"
BE0000320292,"Belgien, Königreich EO-Obl. Lin. 2010(41) Ser. 60"
BE0000321308,"Belgien, Königreich EO-Obl. Lin. 2011(21) Ser. 61"
BE0000324336,"Belgien, Königreich EO-Obl. Lin. 2011(26) Ser. 64"
BE0000325341,"Belgien, Königreich EO-Obl. Lin. 2012(22) Ser. 65"
BE0000326356,"Belgien, Königreich EO-Obl. Lin. 2012(32) Ser.66"
BE0000328378,"Belgien, Königreich EO-Obl. Lin. 2013(23) Ser.68"
BE0000331406,"Belgien, Königreich EO-Obl. Lin. 2013(45) Ser. 71"
BE0000332412,"Belgien, Königreich EO-Obl. Lin. 2014(24) Ser. 72"
BE0000333428,"Belgien, Königreich EO-Obl. Lin. 2014(34) Ser. 73"
BE0000334434,"Belgien, Königreich EO-Obl. Lin. 2015(25) Ser. 74"
BE0000337460,"Belgien, Königreich EO-Obl. Lin. 2016(26) Ser. 77"
BE0000338476,"Belgien, Königreich EO-Obl. Lin. 2016(47) Ser. 78"
BE0000339482,"Belgien, Königreich EO-Obl. Lin. 2016(23) Ser. 79"
BE0000340498,"Belgien, Königreich EO-Obl. Lin. 2016(66) Ser. 80"
BE0000341504,"Belgien, Königreich EO-Obl. Lin. 2017(27) Ser. 81"
BE0000342510,"Belgien, Königreich EO-Obl. Lin. 2017(24) Ser. 82"
BE0000343526,"Belgien, Königreich EO-Obl. Lin. 2017(57) Ser. 83"
BE0000344532,"Belgien, Königreich EO-Obl. Lin. 2017(37) Ser. 84"
BE0000345547,"Belgien, Königreich EO-Obl. Lin. 2018(28) Ser. 85"
BE0000346552,"Belgien, Königreich EO-Obl. Lin. 2018(33) Ser. 86"
BE0000347568,"Belgien, Königreich EO-Obl. Lin. 2019(29)"
BE0000350596,"Belgien, Königreich EO-Obl. Lin. 2020(40)"
BE0000351602,"Belgien, Königreich EO-Bons d'Etat 2020(27)"
BE0001764183,Flämische Gemeinschaft EO-Medium-Term Notes 2016(26)
BE0001765198,Flämische Gemeinschaft EO-Medium-Term Notes 2016(36)
BE0002218841,FLUXYS Belgium S.A. EO-Notes 2014(29/29)
BE0002260298,Belfius Bank S.A. EO-M.-T. Publ.Pandbr. 2016(26)
BE0002266352,KBC Groep N.V. EO-Medium-Term Notes 2016(23)
BE0002272418,KBC Groep N.V. EO-Medium-Term Notes 2017(22)
BE0002273424,Proximus S.A. EO-Med.-T. Notes 2017(17/22)
BE0002274430,BNP Paribas Fortis S.A. EO-Med.-T.Mortg.Cov.Bds 17(24)
BE0002280494,Grpe Bruxelles Lambert SA(GBL) EO-Bonds 2017(17/24)
BE0002281500,KBC Groep N.V. EO-FLR Med.-T.Nts 2017(22)
BE0002290592,KBC Groep N.V. EO-FLR Med.-T.Nts 2017(24/29)
BE0002420926,Fluvius System Operator CVBA EO-Medium-Term Notes 2012(22)
BE0002424969,Belfius Bank S.A. EO-Cov.Med.-Term Nts 2013(23)
BE0002425974,KBC Bank N.V. EO-Med.-T.Mortg.Cov.Bds 13(23)
BE0002432079,Elia Transm. Belgium S.A./N.V. EO-Bonds 2013(28)
BE0002442177,UCB S.A. EO-Notes 2013(21)
BE0002443183,Fluvius System Operator CVBA EO-Medium-Term Notes 2013(23)
BE0002466416,Elia Transm. Belgium S.A./N.V. EO-Bonds 2014(29)
BE0002470459,Fluvius System Operator CVBA EO-Medium-Term Notes 2014(29)
BE0002477520,Belfius Bank S.A. EO-M.-T. Publ.Pandbr. 2014(21)
BE0002478536,Fluvius System Operator CVBA EO-Medium-Term Notes 2014(29)
BE0002481563,Fluvius System Operator CVBA EO-Medium-Term Notes 2014(26)
BE0002489640,KBC Bank N.V. EO-Med.-T.Mortg.Cov.Bds 15(21)
BE0002491661,ING Belgium SA/NV EO-Med.-T.Mortg.Cov.Bds 15(21)
BE0002498732,KBC Bank N.V. EO-Med.-T.Mortg.Cov.Bds 16(22)
BE0002500750,KBC Bank N.V. EO-Med.-T.Mortg.Cov.Bds 17(27)
BE0002576545,Kinepolis Group S.A. EO-Notes 2017(25)
BE0002601798,bpost S.A. EO-Notes 2018(18/26)
BE0002614924,BNP Paribas Fortis S.A. EO-Med.-T.Mortg.Cov.Bds 18(25)
BE0002629104,Elia Transm. Belgium S.A./N.V. EO-Medium-Term Nts 2019(19/26)
BE0002660414,Kinepolis Group S.A. EO-Notes 2019(26)
BE0002669506,Belfius Bank S.A. EO-M.-T. Publ.Pandbr 2019(29)
BE0002681626,KBC Groep N.V. EO-Medium-Term Notes 2020(30)
BE0002707884,KBC Bank N.V. EO-Med.-T.Mortg.Cov.Bds 20(25)
BE0974365976,KBC Groep N.V. EO-FLR Med.-T.Nts 2020(26/27)
BE6221503202,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2011(21)
BE6242927075,Apetra N.V. EO-Notes 2012(20)
BE6243179650,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2012(12/24)
BE6254681248,Brussels Airport Company SA/NV EO-Medium-Term Nts 2013(20)
BE6257983286,Apetra N.V. EO-Notes 2013(23)
BE6265141083,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2014(14/21)
BE6265142099,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2014(14/26)
BE6265262327,Proximus S.A. EO-Medium-Term Notes 2014(24)
BE6271706747,"Belgien, Königreich DL-Medium-Term Notes 2014(24)"
BE6276039425,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2015(15/23)
BE6276040431,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2015(15/30)
BE6277215545,AG Insurance S.A. EO-FLR Notes 2015(27/47)
BE6279619330,Ethias Vie EO-Bonds 2015(26)
BE6282030194,Argenta Spaarbank N.V. EO-FLR Bonds 2016(21/26)
BE6282459609,Solvay S.A. EO-Notes 2015(16/22)
BE6282460615,Solvay S.A. EO-Notes 2015(16/27)
BE6285452460,Anheuser-Busch InBev N.V./S.A. EO-Medium-Term Nts 2016(16/22)
BE6285454482,Anheuser-Busch InBev N.V./S.A. EO-Medium-Term Nts 2016(16/25)
BE6285455497,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2016(16/28)
BE6285457519,Anheuser-Busch InBev N.V./S.A. EO-Medium-Term Nts 2016(16/36)
BE6286238561,KBC Groep N.V. EO-Medium-Term Notes 2016(21)
BE6286963051,Barry Callebaut Services N.V. EO-Notes 2016(24)
BE6295391914,Anheuser-Busch InBev S.A./N.V. LS-Medium-Term Nts 2017(17/25)
BE6295393936,Anheuser-Busch InBev S.A./N.V. LS-Medium-Term Nts 2017(17/29)
BE6295395956,Anheuser-Busch InBev S.A./N.V. LS-Medium-Term Nts 2017(17/37)
BE6298043272,Belfius Bank S.A. EO-Non-Preferred MTN 2017(22)
BE6300371273,Telenet Fin.Luxemb.Notes Sarl EO-Notes 2017(17/28) Reg.S
BE6301509012,Anheuser-Busch InBev S.A./N.V. EO-FLR Med.-Term Nts 2018(24)
BE6301510028,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2018(18/27)
BE6301511034,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2018(18/35)
BE6305977074,Euroclear Bank S.A./N.V. EO-Medium-Term Notes 2018(23)
BE6312821612,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2019(19/27)
BE6312822628,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2019(19/31)
BE6317283610,Belfius Bank S.A. EO-Non-Preferred MTN 2019(26)
BE6318634548,Sarens Finance Company N.V. EO-Notes 2020(20/27)
BE6318702253,Argenta Spaarbank N.V. EO-Non-Preferred MTN 2020(27)
BE6320934266,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2020(20/27)
BE6320935271,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2020(20/32)
BE6320936287,Anheuser-Busch InBev S.A./N.V. EO-Medium-Term Nts 2020(20/40)
BE6321076711,Lonza Finance International NV EO-Notes 2020(20/27)
BE6321529396,Elia Transm. Belgium N.V. EO-Medium-Term Nts 2020(20/30)
CA037833CY47,Apple Inc. CD-Notes 2017(17/24)
CA110709GB20,"British Columbia, Provinz CD-Notes 2012(22)"
CA110709GF34,"British Columbia, Provinz CD-Notes 2013(23)"
CA135087A610,Canada CD-Bonds 2012(23)
CA135087B451,Canada CD-Bonds 2013(24)
CA135087C939,Canada CD-Bonds 2014(64)
CA135087D358,Canada CD-Bonds 2014(48)
CA135087D507,Canada CD-Bonds 2014(25)
CA135087E596,Canada CD-Bonds 2015(20)
CA135087E679,Canada CD-Bonds 2015(26)
CA135087F254,Canada CD-Bonds 2015(21)
CA135087F585,Canada CD-Bonds 2016(21)
CA135087F825,Canada CD-Bonds 2016(27)
CA135087G328,Canada CD-Bonds 2016(22)
CA135087G732,Canada CD-Bonds 2017(22)
CA135087H722,Canada CD-Bonds 2017(51)
CA135087H987,Canada CD-Bonds 2018(23)
