Identifier,Identifier_Status,Name,ISIN,Ticker,Country,Bond_Status,Bond_Type,Coupon_Freq,Subordinated,Sinkable,Perpetual,Convertible,Conversion_Terms,Structured,Restructuring,Securitization,Mortgage,Trace,Covered,Foreign,CDO,Sukuk,Retail,Supranational,Green,Non-Marketable,Issuer,Issuer_ID,SPV_Issuer,SPV_Issuer_ID,Borrower,Borrower_ID,Amount,Floating,Ref_Rate,Margin,Current_Rate,Listing,Integral_Multiple,Nominal,Nominal_Intl_Bonds,Min_Settlement_Amt,Outstanding_Principal_Amt,Amt,Amt_Outstanding,Oustanding_Face_Val_Amt
1006,Valid,"International bonds: Argentina, 10% 7jan2005, EUR (XS0105694789)",XS0105694789,ARGENT 10 01/07/05 EMTN,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"650,000,000 EUR",No,,,10%,Luxembourg S.E.,"1,000 EUR",,"1,000 EUR","1,000 EUR","1,000 EUR","650,000,000 EUR",,
1007,Valid,"International bonds: Argentina, 10% 22feb2007, EUR (XS0124528703)",XS0124528703,ARGENT 10 02/22/07 EMTN,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"500,000,000 EUR",No,,,10%,,"1,000 EUR",,"1,000 EUR","1,000 EUR",,"500,000,000 EUR",,
1014,Valid,"International bonds: Argentina, 11.75% 7apr2009, USD (US040114BE93, 040114BE9)",US040114BE93,ARGENT 11.75 04/07/09,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,500,000,000 USD",No,,,11.75%,,"1,000 USD",,"1,000 USD","1,000 USD","1,000 USD","1,500,000,000 USD","142,130,000 USD",
1021,Valid,"International bonds: Argentina, 11% 26feb2008, EUR (DE0001974608)",DE0001974608,ARGENT 8 02/26/08 FEB,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"766,937,822 EUR",No,,,8%,,0.1 EUR,,0.1 EUR,511.29 EUR,511.29 EUR,"766,937,822 EUR",,
1023,Valid,"International bonds: Argentina, 11% 4dec2005, USD (US040114BA71, 040114BA7)",US040114BA71,ARGENT 11 12/04/05 ++WW,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,000,000,000 USD",No,,,11%,,"1,000 USD",,"1,000 USD","1,000 USD","1,000 USD","1,000,000,000 USD","300,830,000 USD",
1024,Valid,"International bonds: Argentina, 11% 9oct2006, USD (US040114AN02, 040114AN0)",US040114AN02,ARGENT 11 10/09/06 BGL4,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,300,000,000 USD",No,,,11%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","1,000 USD","1,000 USD","1,300,000,000 USD","141,510,000 USD",
1030,Valid,"International bonds: Argentina, 12% 1feb2020, USD (GF20, US040114FB19, 040114FB1)",US040114FB19,ARGENT 12 02/01/20,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,250,000,000 USD",No,,,12%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","1,000 USD",,"1,250,000,000 USD","65,830,000 USD",
1032,Valid,"International bonds: Argentina, 15% 26feb2008, EUR (DE0002923851)",DE0002923851,ARGENT 8 02/26/08 *,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"350,000,000 EUR",No,,,8%,Luxembourg S.E.,"1,000 EUR",,"1,000 EUR","1,000 EUR","1,000 EUR","350,000,000 EUR","31,330,000 EUR",
1042,Valid,"International bonds: Argentina, 7% 18mar2004, DEM (DE0001904308)",DE0001904308,ARGENT 7 03/18/04,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,500,000,000 DEM",No,,,7%,,"1,000 DEM",,"1,000 DEM","1,000 DEM","1,000 DEM","1,500,000,000 DEM",,
1043,Valid,"International bonds: Argentina, 7% 19dec2008, USD (US040114GF14, 040114GF1)",US040114GF14,ARGENT 15.5 12/19/08 2008,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"3,164,935,330 USD",No,,,15.50%,Luxembourg S.E.,1 USD,,1 USD,1 USD,1 USD,"3,164,935,330 USD","130,830,000 USD",
1050,Valid,"International bonds: Argentina, 8.125% 4oct2004, EUR (XS0109203298)",XS0109203298,ARGENT 8.125 10/04/04 EMTN,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"500,000,000 EUR",No,,,8.13%,Luxembourg S.E.,"1,000 EUR",,"1,000 EUR","1,000 EUR","1,000 EUR","500,000,000 EUR",,
1051,Valid,"International bonds: Argentina, 8.125% 21apr2008, EUR (XS0086333472)",XS0086333472,ARGENT 8.125 04/21/08,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"750,000,000 EUR",No,,,8.13%,,"1,000 EUR",,"1,000 EUR","50,000 EUR",,"750,000,000 EUR",,
1052,Valid,"International bonds: Argentina, 8.375% 20dec2003, USD (US040114AH34, 040114AH3)",US040114AH34,ARGENT 8.375 12/20/03 BGLO,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"2,050,000,000 USD",No,,,8.38%,BCBA (trades settled in ARS in Argentina),"1,000 USD",,"1,000 USD","1,000 USD","1,000 USD","2,050,000,000 USD","1,784,431,000 USD",
1054,Valid,"International bonds: Argentina, 8% 30oct2009, DEM (DE0001954907)",DE0001954907,ARGENT 8 10/30/09 EMTN,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,000,000,000 DEM",No,,,8%,,"1,000 DEM",,"1,000 DEM","1,000 DEM","1,000 DEM","1,000,000,000 DEM",,
1056,Valid,"International bonds: Argentina, 9.25% 20jul2004, EUR (XS0113833510)",XS0113833510,ARGENT 9.25 07/20/04 EMTN,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,000,000,000 EUR",No,,,9.25%,Luxembourg S.E.,"1,000 EUR",,"1,000 EUR","1,000 EUR","1,000 EUR","1,000,000,000 EUR",,
1064,Valid,"International bonds: Argentina, 9% 24may2005, EUR (USP8055KFQ33, P8055KFQ3)",USP8055KFQ33,ARGENT 9 05/24/05 REGS,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"750,000,000 EUR",No,,,9%,Luxembourg S.E.,"1,000 EUR",,"1,000 EUR","50,000 EUR",,"750,000,000 EUR",,
1065,Valid,"International bonds: Argentina, 9.00% 26may2009, EUR (DE0003045357)",DE0003045357,ARGENT 9 05/26/09,Argentina,redemption default,Coupon bonds,1 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"650,000,000 EUR",No,,,9%,,"1,000 EUR",,"1,000 EUR","1,000 EUR","1,000 EUR","650,000,000 EUR",,
1071,Valid,"International bonds: Argentina, FRN 10apr2005, USD (US040114AX83, 040114AX8)",US040114AX83,ARGENT 0 04/10/05,Argentina,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,Argentina,418,"1,000,000,000 USD",Yes,,,,,"1,000 USD",,"1,000 USD","1,000 USD","1,000 USD","1,000,000,000 USD","455,500,000 USD",
1242,Valid,"International bonds: Ecuador, FRN 28feb2025, USD (XS0055571789)",XS0055571789,ECUA 0 02/28/25 DISC,Ecuador,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Ecuador,456,"1,433,612,000 USD",Yes,6M LIBOR USD,0.81,,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD","100,000 USD","1,433,612,000 USD",,"1,433,612,000 USD"
1245,Valid,"International bonds: Ecuador, 5% 28feb2025, USD (XS0055572084)",XS0055572084,ECUA 5 02/28/25 PAR,Ecuador,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Ecuador,456,"1,912,586,000 USD",No,,,5%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD","100,000 USD","1,912,586,000 USD",,"1,912,586,000 USD"
1246,Valid,"International bonds: Ecuador, 12.0% 15nov2012, USD (XS0115748401, 27927WAE2)",XS0115748401,ECUA 12 11/15/12 REGS,Ecuador,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Ecuador,456,"1,250,000,000 USD",No,,,12%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",,"1,250,000,000 USD",,
1247,Valid,"International bonds: Ecuador, 10% 15aug2030, USD (XS0115743519, 27927WAD4)",XS0115743519,ECUA 10 08/15/30 REGS,Ecuador,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Ecuador,456,"2,700,000,000 USD",No,,,10%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD","100,000 USD","2,700,000,000 USD","149,634,000 USD","149,634,000 USD"
1572,Valid,"International bonds: Venezuela, FRN 31mar2020, USD (VEP97497BB94)",VEP97497BB94,VENZ F 03/31/20 +X-B,Venezuela,early redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Venezuela,422,"211,139,000 USD",Yes,6M LIBOR USD,0.81,,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",0 USD,"211,139,000 USD","133,000,000 USD",
1606,Valid,"International bonds: Venezuela, 13.625% 15aug2018, USD (US922646AT10, 922646AT1)",US922646AT10,VENZ 13.625 08/15/18,Venezuela,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Venezuela,422,"752,811,000 USD",No,,,13.63%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD","100,000 USD","752,811,000 USD",,
1616,Valid,"International bonds: Venezuela, 9.25% 15sep2027, USD (US922646AS37, 922646AS3)",US922646AS37,VENZ 9.25 09/15/27,Venezuela,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Venezuela,422,"4,000,000,000 USD",No,,,9.25%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","1,000,000 USD","1,000,000 USD","4,000,000,000 USD",,"4,000,000,000 USD"
1640,Valid,"International bonds: Venezuela, 7% 1dec2018, USD (USP97475AD26, P97475AD2)",USP97475AD26,VENZ 7 12/01/18,Venezuela,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Venezuela,422,"1,000,000,000 USD",No,,,7%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",,"1,000,000,000 USD",,
1645,Valid,"International bonds: Venezuela, 9.375% 13jan2034, USD (US922646BL74, 922646BL7)",US922646BL74,VENZ 9.375 01/13/34,Venezuela,outstanding,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,Venezuela,422,"1,500,000,000 USD",No,,,9.38%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD","100,000 USD","1,500,000,000 USD",,"1,500,000,000 USD"
1693,Valid,"International bonds: BTA bank, 8% 24mar2014, USD (USN89065AF89, N89065AF8)",USN89065AF89,BTAS 8 03/24/14 REGS,Kazakhstan,early redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,TuranAlem Finance B.V.,527,BTA bank,332,"400,000,000 USD",No,,,8%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",0 USD,"400,000,000 USD",0 USD,
1989,Valid,"Domestic bonds: Agroprodukt, 1-A",,,Ukraine,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Agroprodukt,672,,,,,"15,000,000 UAH",No,,,17.50%,,,"1,000 UAH",,,,"15,000,000 UAH",,
2326,Valid,"Domestic bonds: MiG Finance, 01 (4-01-36055-R, RU000A0BDJD1)",RU000A0BDJD1,MIGFIN V7.85 06/03/09 01,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,MiG Finance,791,,,,,"1,000,000,000 RUB",No,,,7.85%,"Moscow Exchange, RU000A0BDJD1",,"1,000 RUB",,,,"1,000,000,000 RUB",,
2335,Valid,"Domestic bonds: Stroimetresurs, 02 (4-02-12675-H, RU000A0BD2B7)",RU000A0BD2B7,STROYM V17 06/21/07 02,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Stroimetresurs,156,,,,,"750,000,000 RUB",No,,,,"Moscow Exchange, RU000A0BD2B7",,"1,000 RUB",,,,"750,000,000 RUB","525,498,000 RUB",
2392,Valid,"Domestic bonds: Marta Finance, 01 (4-01-43901-H, RU000A0E5FH7)",RU000A0E5FH7,MARTAF 14.84 05/22/08 1,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Marta Finance,773,,,,,"700,000,000 RUB",No,,,14.84%,"Moscow Exchange, RU000A0E5FH7 (B)",,"1,000 RUB",,,0 RUB,"700,000,000 RUB",0 RUB,
2716,Valid,"International bonds: Naftogaz, 8.125% 30sep2009, USD (XS0202078688)",XS0202078688,NAFTO 8.125 09/30/09,Ukraine,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,Standard Bank,820,Naftogaz,1596,"500,000,000 USD",No,,,8.13%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",,"500,000,000 USD",,
2938,Valid,"Domestic bonds: Alliance Russian Textile, 02 (4-02-05331-A, RU000A0DZZT2)",RU000A0DZZT2,ALRUTX 12.75 03/05/09 ++02,Russia,redemption default,Coupon bonds,2 time(s) per year,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Alliance Russian Textile,294,,,,,"1,000,000,000 RUB",No,,,12.75%,"Moscow Exchange, RU000A0DZZT2 (B)",,"1,000 RUB",,,,"1,000,000,000 RUB",,
2961,Valid,"International bonds: BTA bank, 8.5% 10feb2015, USD (XS0211873053)",XS0211873053,BTAS 8.5 02/10/15 REGS,Kazakhstan,early redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,TuranAlem Finance B.V.,527,BTA bank,332,"350,000,000 USD",No,,,8.50%,Luxembourg S.E.,"1,000 USD",,"1,000 USD","100,000 USD",0 USD,"350,000,000 USD",0 USD,
3014,Valid,"Domestic bonds: Zhiliyo kievlyanam, 1-C",,,Ukraine,redemption default,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Zhiliyo kievlyanam,2048,,,,,"11,331,203 UAH",No,,,,,,"37,897 UAH",,,,"11,331,203 UAH",0 UAH,
3015,Valid,"Domestic bonds: Zhiliyo kievlyanam, 1-B",,,Ukraine,redemption default,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Zhiliyo kievlyanam,2048,,,,,"117,452,000 UAH",No,,,,,,349 UAH,,,,"117,452,000 UAH",0 UAH,
3056,Valid,"Domestic bonds: Shkolyarik, 1-A (UA190187AA02)",UA190187AA02,,Ukraine,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Shkolyarik,2159,,,,,"5,000,000 UAH",No,,,17%,,,"1,000 UAH",,,0 UAH,"5,000,000 UAH",0 UAH,
3064,Valid,"Domestic bonds: VITA, FRN 21apr2010, KZT (04) (KZ2CKY05B539)",,,Kazakhstan,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,VITA,390,,,,,"5,000,000,000 KZT",Yes,Kazakhstan CPI,1.75,7.95%,"KASE, VITAb4 (A)",,1 KZT,,,1 KZT,"5,000,000,000 KZT",,
3095,Valid,"Domestic bonds: Kazakhstan Kagazy, 6.1% 18feb2010, KZT (01) (KZ2CKY05B448)",,,Kazakhstan,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Kazakhstan Kagazy,2231,,,,,"4,000,000,000 KZT",Yes,Kazakhstan CPI,,10.10%,"KASE, KKAGb1 (A)",,1 KZT,,,1 KZT,"4,000,000,000 KZT",,
3108,Valid,"Domestic bonds: Agroprodukt, 1-B",,,Ukraine,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Agroprodukt,672,,,,,"35,000,000 UAH",No,,,17.50%,,,"1,000 UAH",,,,"35,000,000 UAH",,
3127,Valid,"Domestic bonds: TuranAlem Finance, 01 (4-01-36084-R, RU000A0GGT60)",RU000A0GGT60,BTAS 7.75 10/06/09 +++1,Russia,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,TuranAlem Finance,1977,,,,,"3,000,000,000 RUB",No,,,7.75%,"Moscow Exchange, RU000A0GGT60",,"1,000 RUB",,,,"3,000,000,000 RUB",,
3134,Valid,"Domestic bonds: Astana-finance, 9.90% 18may2011, KZT (2011-4) (KZ2CKY07B162)",,,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Astana-finance,362,,,,,"2,000,000,000 KZT",Yes,Kazakhstan CPI,2.5,,"KASE, ASFIb4 (Delisted securities)",,100 KZT,,,0 KZT,"2,000,000,000 KZT","1,995,370,000 KZT",
3138,Valid,"Domestic bonds: Nutrinvestholding, 01 (4-01-15111-H, RU000A0E5690)",RU000A0E5690,NUTRIN 11 06/09/09 1,Russia,redemption default,Coupon bonds,4 time(s) per year,No,No,No,No,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Nutrinvestholding,2306,,,,,"1,200,000,000 RUB",No,,,11%,"Moscow Exchange, RU000A0E5690",,"1,000 RUB",,,,"1,200,000,000 RUB",,
4431,Valid,"Domestic bonds: Astana-finance, 12.50% 21jan2010, KZT (2010-5) (KZPC1Y05D501)",,,Kazakhstan,redemption default,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Astana-finance,362,,,,,"5,000,000,000 KZT",Yes,Kazakhstan CPI,,,"KASE, ASFIb5 (A)",,100 KZT,,,,"5,000,000,000 KZT","4,746,810,000 KZT",
4520,Valid,"Domestic bonds: Astana-finance, 8.00% 22jun2012, KZT (2012-6) (KZPC2Y07B505)",,,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Astana-finance,362,,,,,"2,000,000,000 KZT",Yes,Kazakhstan CPI,2,,"KASE, ASFIb6 (Delisted securities)",,100 KZT,,,0 KZT,"2,000,000,000 KZT","887,520,000 KZT",
4553,Valid,"Domestic bonds: Astana-finance, FRN 30jun2015, KZT (07) (KZPC1Y10B634)",,,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Astana-finance,362,,,,,"8,000,000,000 KZT",Yes,Kazakhstan CPI,2,,"KASE, ASFIb7 (Delisted securities)",,100 KZT,,,0 KZT,"8,000,000,000 KZT","311,116,700 KZT",
4554,Valid,"Domestic bonds: INPROM, 02 (4-02-55534-P, RU000A0E7FG5)",RU000A0E7FG5,INPROM 13 07/15/10 +++2,Russia,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,INPROM,290,,,,,"1,000,000,000 RUB",No,,,13%,"Moscow Exchange, RU000A0E7FG5",,"1,000 RUB",,,0 RUB,"1,000,000,000 RUB",0 RUB,
4596,Valid,"Domestic bonds: ForteBank, 8.00% 07jul2025, KZT (KZP01Y20B553, KZ2C00000024)",KZ2C00000024,ALLIBK 8 07/07/25 b4,Kazakhstan,outstanding,Coupon bonds,2 time(s) per year,Yes,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,ForteBank,361,,,,,"5,000,000,000 KZT",No,,,8%,"KASE, TEBNb4 (Main board, Bonds)",,0.01 KZT,,,0.01 KZT,"5,000,000,000 KZT","637,350,000 KZT","637,350,000 KZT"
4642,Valid,"Domestic bonds: Kazneftehim, 10.0% 18feb2010, KZT (2010-2) (KZ2CKY05B273)",,,Kazakhstan,redeemed,Coupon bonds,2 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Kazneftehim,406,,,,,"4,000,000,000 KZT",No,,,,"KASE, KZNHb2 (A)",,1 KZT,,,0 KZT,"4,000,000,000 KZT",0 KZT,
4680,Valid,"Domestic bonds: Megainveststroy, 1-B (338/2/07)",,,Ukraine,redeemed,Zero-coupon bonds,,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Megainveststroy,2480,,,,,"39,436,544 UAH",No,,,,,,16.52 UAH,,,0 UAH,"39,436,544 UAH",0 UAH,
4695,Valid,"Domestic bonds: Cherkasskaya Ptizefabrika, 1-A (UA230402AA05)",UA230402AA05,CHEPTA V15.5 08/21/08 1-A,Ukraine,redeemed,Coupon bonds,4 time(s) per year,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,Cherkasskaya Ptizefabrika,2486,,,,,"15,000,000 UAH",No,,,15.50%,,,"1,000 UAH",,,0 UAH,"15,000,000 UAH",0 UAH,
