Identifier,ISIN,Issuer,Coupon,Maturity,Subordinated,Currency,Next Interest Date
114816,DE0001340917,"Argentinien, Republik","12,000 %",19.09.2016,Nein,Deutsche Mark,19.09.2016
37375943,XS0522407351,B.A.T. International Finance PLC,"4,000 %",07.07.2020,Nein,Euro,07.07.2020
37982966,US931142CU56,Walmart Inc.,"3,625 %",08.07.2020,Nein,US Dollar,08.07.2020
183608564,FR0013241379,RCI Banque S.A.,"0,132 %",08.07.2020,Nein,Euro,08.07.2020
37933593,XS0524610812,VEB Finance PLC,"6,902 %",09.07.2020,Nein,US Dollar,09.07.2020
84250958,XS0951395317,Total Capital Canada Ltd.,"1,875 %",09.07.2020,Nein,Euro,09.07.2020
84362654,XS0951381523,Nederlandse Waterschapsbank N.V.,"1,750 %",09.07.2020,Nein,Euro,09.07.2020
106421520,XS1086785182,OTE PLC,"3,500 %",09.07.2020,Nein,Euro,09.07.2020
236765279,IT0004940679,Credito Emiliano S.P.A.,"3,250 %",09.07.2020,Nein,Euro,09.07.2020
167960357,DE000A161W54,"Niedersachsen, Region","0,400 %",10.07.2020,Nein,Euro,10.07.2020
189784470,DE000HSH4JE7,HSH Nordbank AG,"2,013 %",10.07.2020,Nein,Euro,10.07.2020
220094405,DE000LB1P8S6,Landesbank Baden-W&#252;rttemberg,"2,600 %",10.07.2020,Nein,US Dollar,10.07.2020
222960368,BE6305976068,Euroclear Bank SA,"0,000 %",10.07.2020,Nein,Euro,10.07.2020
231435193,IT0005025512,Intesa Sanpaolo S.p.A.,"1,250 %",10.07.2020,Nein,Euro,10.07.2020
192523767,XS1632814577,Hengjian International Investment Ltd.,"2,750 %",11.07.2020,Nein,US Dollar,11.07.2020
77348101,USP14486AD93,Banco Nacional de Desenvolvimento Economico e Social,"5,500 %",12.07.2020,Nein,US Dollar,12.07.2020
37452885,XS0524597613,Council of Europe Development Bank (CEB),"3,000 %",13.07.2020,Nein,Euro,13.07.2020
37452892,XS0525146907,National Australia Bank Ltd.,"4,000 %",13.07.2020,Nein,Euro,13.07.2020
82687636,DE000LB0SYM0,Landesbank Baden-W&#252;rttemberg,"1,700 %",13.07.2020,Nein,Euro,13.07.2020
137055203,XS1258431821,Credit Agricole Corporate and Investment Bank,"0,750 %",13.07.2020,Nein,Euro,13.07.2020
137064063,DE000LB01Y70,Landesbank Baden-W&#252;rttemberg,"0,650 %",13.07.2020,Nein,Euro,13.07.2020
177363623,US37045XAY22,General Motors Financial Co. Inc.,"3,200 %",13.07.2020,Nein,US Dollar,13.07.2020
192092356,XS1640882194,European Investment Bank (EIB),"6,000 %",13.07.2020,Nein,Russischer Rubel,13.07.2020
192720972,DE000LB1DW40,Landesbank Baden-W&#252;rttemberg,"0,215 %",13.07.2020,Nein,Euro,13.07.2020
193041814,USU65478BC95,Nissan Motor Acceptance Corp.,"2,150 %",13.07.2020,Nein,US Dollar,13.07.2020
193057529,US251525AT85,Deutsche Bank AG,"2,700 %",13.07.2020,Nein,US Dollar,13.07.2020
193057530,US251525AV32,Deutsche Bank AG,"2,281 %",13.07.2020,Nein,US Dollar,13.07.2020
193247689,USU65478BD78,Nissan Motor Acceptance Corp.,"1,701 %",13.07.2020,Nein,US Dollar,13.07.2020
200826066,XS1645498012,International Finance Corp.,"4,250 %",13.07.2020,Nein,Peruanischer Sol,13.07.2020
223161839,FR0013344447,Safran S.A.,"0,000 %",13.07.2020,Nein,Euro,13.07.2020
223266366,XS1856309270,The Toronto-Dominion Bank,"0,246 %",13.07.2020,Nein,Euro,13.07.2020
223628668,US06367T7H77,Bank of Montreal,"3,100 %",13.07.2020,Nein,US Dollar,13.07.2020
37469130,XS0525827845,"Kroatien, Staat","6,625 %",14.07.2020,Nein,US Dollar,30.06.2020
165440089,DE000LB1B0P5,Landesbank Baden-W&#252;rttemberg,"0,150 %",14.07.2020,Nein,Euro,14.07.2020
192811826,XS1637096519,Shanghai Pudong Development Bank Co. Ltd.  Hongkong Branch,"2,698 %",14.07.2020,Nein,US Dollar,14.07.2020
193247671,US064159JX56,The Bank of Nova Scotia,"2,150 %",14.07.2020,Nein,US Dollar,14.07.2020
193248838,XS1646352010,BNG Bank N.V.,"1,411 %",14.07.2020,Nein,US Dollar,14.07.2020
207138825,US064159JY30,The Bank of Nova Scotia,"1,701 %",14.07.2020,Nein,US Dollar,14.07.2020
11037000,AT0000386115,"&#214;sterreich, Staat","3,900 %",15.07.2020,Nein,Euro,15.07.2020
33618195,NL0009348242,"Niederlande, Staat","3,500 %",15.07.2020,Nein,Euro,15.07.2020
75541701,XS0873432511,Fresenius SE &amp; Co. KGaA,"2,875 %",15.07.2020,Nein,Euro,02.07.2020
78335727,XS0903345220,European Investment Bank (EIB),"1,500 %",15.07.2020,Nein,Euro,15.07.2020
83809141,DE000A1X2301,Bund-L&#228;nder-Anleihe,"1,500 %",15.07.2020,Nein,Euro,15.07.2020
84524832,FR0011535764,Kering S.A.,"2,500 %",15.07.2020,Nein,Euro,15.07.2020
106579418,XS1086879167,"Island, Staat","2,500 %",15.07.2020,Nein,Euro,15.07.2020
123127587,US4581X0CA40,Inter-American Development Bank,"1,375 %",15.07.2020,Nein,US Dollar,15.07.2020
137444799,US65562QAY17,Nordic Investment Bank,"1,375 %",15.07.2020,Nein,Norwegische Krone,01.07.2020
138291389,DE000A14KQW5,"Berlin, Region","0,250 %",15.07.2020,Nein,Euro,15.07.2020
147581588,XS1323463056,United Parcel Service Inc.,"0,210 %",15.07.2020,Nein,Euro,15.07.2020
182287023,XS0526235535,Kuwait Projects Co. SPC Ltd.,"9,375 %",15.07.2020,Nein,US Dollar,15.07.2020
183608576,US45818WBE57,Inter-American Development Bank,"1,229 %",15.07.2020,Nein,US Dollar,15.07.2020
194750154,US9128282J89,"USA, Staat","1,500 %",15.07.2020,Nein,US Dollar,15.07.2020
204157269,US91324PCM23,UnitedHealth Group Inc.,"2,700 %",15.07.2020,Nein,US Dollar,15.07.2020
220236992,US500769HV97,Kreditanstalt f&#252;r Wiederaufbau,"2,750 %",15.07.2020,Nein,US Dollar,15.07.2020
232270632,US58013MEJ99,McDonald&#39;s Corp.,"3,500 %",15.07.2020,Nein,US Dollar,15.07.2020
76091641,XS0875263724,Landwirtschaftliche Rentenbank,"0,000 %",16.07.2020,Nein,Euro,16.07.2020
77732517,USP1728MAA10,BM&amp;F Bovespa SA,"5,500 %",16.07.2020,Nein,US Dollar,16.07.2020
84666937,XS0953219416,Santander UK PLC,"2,625 %",16.07.2020,Nein,Euro,16.07.2020
84911953,FR0011536093,Caisse Francaise de Financement Local,"1,750 %",16.07.2020,Nein,Euro,16.07.2020
104775967,DE000LB0XZ51,Landesbank Baden-W&#252;rttemberg,"2,100 %",16.07.2020,Nein,US Dollar,16.07.2020
106626258,XS1087819634,Scentre Management Ltd.,"1,500 %",16.07.2020,Nein,Euro,16.07.2020
153504821,USP1400AAA27,Banco Mercantil do Brasil S.A.,"9,625 %",16.07.2020,Ja,US Dollar,16.07.2020
174454087,US45950KCG31,International Finance Corp.,"1,625 %",16.07.2020,Nein,US Dollar,16.07.2020
180054606,XS0521073428,The Bank of East Asia Ltd.,"6,125 %",16.07.2020,Nein,US Dollar,16.07.2020
223383110,XS1856798027,Volkswagen Financial Services AG,"0,102 %",16.07.2020,Nein,Euro,16.07.2020
84808008,EU000A1G0BG1,European Financial Stability Facility EFSF,"1,625 %",17.07.2020,Nein,Euro,17.07.2020
67213744,AT0000A0VLL0,Erste Group Bank AG,"2,000 %",18.07.2020,Nein,Euro,18.07.2020
84808019,XS0953958641,SPP Infrastructure Financing B.V.,"3,750 %",18.07.2020,Nein,Euro,18.07.2020
192916876,XS1641442246,Bright Food Singapore Holdings Pte. Ltd.,"1,125 %",18.07.2020,Nein,Euro,18.07.2020
193346318,US219868BY14,Corporacion Andina de Fomento,"2,200 %",18.07.2020,Nein,US Dollar,18.07.2020
193247692,XS1644428614,CNAC HK Finbridge Co. Ltd.,"3,000 %",19.07.2020,Nein,US Dollar,19.07.2020
37593951,XS0526612188,Banque Federative du Credit Mutuel - BFCM,"4,125 %",20.07.2020,Nein,Euro,20.07.2020
37593953,FR0010922534,Schneider Electric SE,"3,625 %",20.07.2020,Nein,Euro,20.07.2020
77820104,USP5880CAB65,IRSA Inversiones y Representaciones S.A.,"11,500 %",20.07.2020,Nein,US Dollar,20.07.2020
84740877,XS0954025267,GE Capital European Funding,"2,250 %",20.07.2020,Nein,Euro,20.07.2020
138545017,US126650CJ78,CVS Health Corp.,"2,800 %",20.07.2020,Nein,US Dollar,20.07.2020
192916502,DE000HSH6KQ4,HSH Nordbank AG,"0,100 %",20.07.2020,Nein,Euro,20.07.2020
193057549,XS1648241872,Bank of Montreal,"0,862 %",20.07.2020,Nein,Britisches Pfund,20.07.2020
193247673,US06675GAK13,Banque Federative du Credit Mutuel - BFCM,"2,200 %",20.07.2020,Nein,US Dollar,20.07.2020
223749696,DE000A14JY88,"Baden-W&#252;rttemberg, Region","0,370 %",20.07.2020,Nein,Euro,20.07.2020
68378764,XS0527351653,Qatari Diar Finance Q.S.C.,"5,000 %",21.07.2020,Nein,US Dollar,18.07.2020
77732519,USL21779AA88,CSN Resources S.A.,"6,500 %",21.07.2020,Nein,US Dollar,21.07.2020
137707208,DE000LB01ZE7,Landesbank Baden-W&#252;rttemberg,"0,250 %",21.07.2020,Nein,Euro,21.07.2020
183608574,US30216BFR87,Export Development Canada,"1,750 %",21.07.2020,Nein,US Dollar,21.07.2020
37675478,XS0527239221,Nationwide Building Society,"6,750 %",22.07.2020,Ja,Euro,22.07.2020
48599379,FR0010212852,Bouygues S.A.,"4,250 %",22.07.2020,Nein,Euro,22.07.2020
137392290,XS1263854801,Lloyds Bank PLC,"0,500 %",22.07.2020,Nein,Euro,22.07.2020
137764460,DE000A14JYY7,"Baden-W&#252;rttemberg, Region","0,000 %",22.07.2020,Nein,Euro,22.07.2020
153504785,GB00BN65R198,"Gro&#223;britannien und Nord-Irland, Staat","2,000 %",22.07.2020,Nein,Britisches Pfund,14.07.2020
236765284,IT0005120198,Banca Popolare dell&#39;Emilia Romagna S.C.a.R.L.,"0,500 %",22.07.2020,Nein,Euro,22.07.2020
258209450,DE000HVB3KU4,UniCredit Bank AG,"2,000 %",22.07.2020,Nein,US Dollar,22.07.2020
274656909,XS1260668212,Inter-American Development Bank,"4,250 %",22.07.2020,Nein,Mexikanischer  Peso,22.07.2018
37864094,DE000LB0CAB7,Landesbank Baden-W&#252;rttemberg,"3,750 %",23.07.2020,Nein,Euro,23.07.2020
84852531,XS0954684972,Toyota Motor Credit Corporation,"1,800 %",23.07.2020,Nein,Euro,23.07.2020
107126975,XS1089831249,Deutsche Bahn Finance GmbH,"0,067 %",23.07.2020,Nein,Euro,23.07.2020
136768106,DE000DB2GXQ4,Deutsche Bank AG,"1,000 %",23.07.2020,Nein,Euro,23.07.2020
137758077,DE000CZ40KX5,Commerzbank AG,"0,250 %",23.07.2020,Nein,Euro,23.07.2020
137764425,XS1264790939,The Bank of Nova Scotia,"0,500 %",23.07.2020,Nein,Euro,23.07.2020
137936829,US63254AAL26,National Australia Bank Ltd. New York Branch,"2,625 %",23.07.2020,Nein,US Dollar,23.07.2020
156518400,XS1253824442,Zhaohai Investment BVI  Ltd.,"4,000 %",23.07.2020,Nein,US Dollar,23.07.2020
160250334,US71654QBU58,Petroleos Mexicanos,"3,500 %",23.07.2020,Nein,US Dollar,23.07.2020
171790699,DE000DHY4432,Deutsche Hypothekenbank A.-G.,"0,625 %",23.07.2020,Nein,Euro,23.07.2020
37986770,US6174467P85,Morgan Stanley Inc.,"5,500 %",24.07.2020,Nein,US Dollar,24.07.2020
85710532,XS0953783239,Ausnet Services Holdings PTY Ltd.,"2,375 %",24.07.2020,Nein,Euro,24.07.2020
137444805,XS1250867642,Deutsche Wohnen SE,"1,375 %",24.07.2020,Nein,Euro,24.07.2020
196126898,CH0370943620,FCA Capital Suisse S.A.,"0,200 %",24.07.2020,Nein,Schweizer Franken,24.07.2020
76040782,FR0010050559,"Frankreich, Staat","2,876 %",25.07.2020,Nein,Euro,25.07.2020
166458829,XS1439749109,Teva Pharmaceutical Finance Netherlands II B.V.,"0,375 %",25.07.2020,Nein,Euro,25.07.2020
68378766,US05968LAB80,Bancolombia S.A.,"6,125 %",26.07.2020,Ja,US Dollar,26.07.2020
195555277,XS1648248455,Shandong Energy Australia Pty. Ltd.,"4,550 %",26.07.2020,Nein,US Dollar,26.07.2020
85327165,XS0954946926,Bank of America Corporation,"2,500 %",27.07.2020,Nein,Euro,27.07.2020
137764421,XS1265810686,AIB Mortgage Bank,"0,625 %",27.07.2020,Nein,Euro,27.07.2020
180361710,XS1555155388,European Investment Bank (EIB),"7,000 %",27.07.2020,Nein,Mexikanischer  Peso,27.07.2020
193146031,DE000LB1DXM2,Landesbank Baden-W&#252;rttemberg,"2,150 %",27.07.2020,Nein,US Dollar,27.07.2020
193965525,XS1643554469,Oceanwide Holdings International 2017 Co. Ltd.,"7,750 %",27.07.2020,Nein,US Dollar,27.07.2020
195154518,XS1640820160,Yinchuan Tonglian Capital Investment Operation Co. Ltd.,"3,500 %",27.07.2020,Nein,US Dollar,27.07.2020
37938925,DE000LB0CAJ0,Landesbank Baden-W&#252;rttemberg,"3,000 %",28.07.2020,Nein,Euro,28.07.2020
102972429,AU0000IFXHD4,International Finance Corp.,"5,750 %",28.07.2020,Nein,Australischer Dollar,21.07.2020
137936826,FR0012870061,BPCE SFH,"0,375 %",28.07.2020,Nein,Euro,28.07.2020
137936862,XS1266786810,Caisse d&#39;Amortissement de la Dette Sociale,"1,875 %",28.07.2020,Nein,US Dollar,28.07.2020
293343713,XS2168086069,Landeskreditbank Baden-W&#252;rttemberg - F&#246;rderbank,-,28.07.2020,Nein,US Dollar,-
137951733,DE000MHB9452,M&#252;nchener Hypothekenbank eG,"0,625 %",29.07.2020,Nein,Euro,29.07.2020
138202169,US55608RAP55,Macquarie Bank Ltd.,"2,850 %",29.07.2020,Nein,US Dollar,29.07.2020
91577408,AT0000A12804,Erste Group Bank AG,"2,600 %",30.07.2020,Nein,Euro,30.07.2020
105511134,DE000BLB2T87,Bayerische Landesbank,"0,950 %",30.07.2020,Nein,Euro,30.07.2020
113018421,XS1089985557,European Investment Bank (EIB),"4,625 %",30.07.2020,Nein,Neuseel&#228;ndischer Dollar,30.07.2020
137831880,ES00000127H7,"Spanien, Staat","1,150 %",30.07.2020,Nein,Euro,30.07.2020
137936872,DE000A13SV81,Deutsche Pfandbriefbank AG,"0,250 %",30.07.2020,Nein,Euro,30.07.2020
138108235,XS1268460885,Nationwide Building Society,"0,375 %",30.07.2020,Nein,Euro,30.07.2020
156518401,XS1267602214,COSL Singapore Capital Ltd.,"3,500 %",30.07.2020,Nein,US Dollar,30.07.2020
175361360,XS1265180213,Minmetals Bounteous Finance  BVI  Ltd.,"3,500 %",30.07.2020,Nein,US Dollar,30.07.2020
185220685,XS1590041478,Instituto de Credito Oficial,"0,050 %",30.07.2020,Nein,Euro,30.07.2020
224755014,XS1860992574,Svenska Handelsbanken AB,"0,268 %",30.07.2020,Nein,Euro,30.07.2020
58764400,DE000LB0KW34,Landesbank Baden-W&#252;rttemberg,"3,000 %",31.07.2020,Nein,Euro,31.07.2020
137936863,FR0012872182,Caisse Centrale du Credit Immobilier de France,"0,375 %",31.07.2020,Nein,Euro,31.07.2020
167960337,US912828XM78,"USA, Staat","1,625 %",31.07.2020,Nein,US Dollar,31.07.2020
178563497,US912828VP28,"USA, Staat","2,000 %",31.07.2020,Nein,US Dollar,31.07.2020
195154519,XS1662406625,International Bank for Reconstruction and Development,"1,500 %",31.07.2020,Nein,Polnischer Zloty New,31.07.2020
224614397,US912828Y461,"USA, Staat","2,625 %",31.07.2020,Nein,US Dollar,31.07.2020
244675246,XS1883563972,Jingrui Holdings Ltd.,"13,000 %",31.07.2020,Nein,US Dollar,30.07.2020
251067656,IT0005030702,Banca IMI S.p.A.,"0,550 %",31.07.2020,Nein,Euro,31.07.2019
77337890,USP3699PAA59,"Costa Rica, Staat","9,995 %",01.08.2020,Nein,US Dollar,31.07.2020
151300162,US65504LAC19,Noble Holding International Ltd.,"4,900 %",01.08.2020,Nein,US Dollar,31.07.2020
194097550,XS1650054734,CDBL Funding 2,"2,625 %",01.08.2020,Nein,US Dollar,31.07.2020
138510044,USU2339CCB29,Daimler Finance North America LLC,"2,700 %",03.08.2020,Nein,US Dollar,03.08.2020
174454104,XS1245197998,China Merchants Finance Co. Ltd.,"3,500 %",03.08.2020,Nein,US Dollar,03.08.2020
192016825,DE000LB1DWN2,Landesbank Baden-W&#252;rttemberg,"2,000 %",03.08.2020,Nein,US Dollar,03.08.2020
222158764,DE000LB1P9Z9,Landesbank Baden-W&#252;rttemberg,"2,600 %",03.08.2020,Nein,US Dollar,03.08.2020
67828259,XS0811554962,Heineken N.V.,"2,125 %",04.08.2020,Nein,Euro,04.08.2020
85897349,XS0956580244,Royal Bank of Canada,"1,625 %",04.08.2020,Nein,Euro,04.08.2020
38016175,US168863AV04,"Chile, Staat","3,875 %",05.08.2020,Nein,US Dollar,05.08.2020
85639487,XS0957258212,Unilever N.V.,"1,750 %",05.08.2020,Nein,Euro,05.08.2020
86026650,AT0000A11434,Erste Group Bank AG,"0,412 %",05.08.2020,Nein,Euro,05.08.2020
124351995,USP07785AE11,Banco BMG S.A.,"8,875 %",05.08.2020,Ja,US Dollar,05.08.2020
138446370,XS1270460691,Bank of Montreal,"0,375 %",05.08.2020,Nein,Euro,05.08.2020
91783286,AU3CB0155620,European Investment Bank (EIB),"6,000 %",06.08.2020,Nein,Australischer Dollar,30.07.2020
137738902,DE000DB2GYB4,Deutsche Bank AG,"1,050 %",06.08.2020,Nein,Euro,06.08.2020
138762183,XS1272154565,Royal Bank of Canada,"0,144 %",06.08.2020,Nein,Euro,06.08.2020
189625982,DE000HSH40K2,HSH Nordbank AG,"1,500 %",06.08.2020,Nein,Euro,06.08.2020
213681372,DE000HSH3552,HSH Nordbank AG,"2,500 %",06.08.2020,Nein,Euro,06.08.2020
87056193,DE000A1TNKM3,Sparkasse Pforzheim Calw,"1,625 %",07.08.2020,Nein,Euro,07.08.2020
139362560,US40428HPV86,HSBC USA Inc.,"2,750 %",07.08.2020,Nein,US Dollar,07.08.2020
194520310,XS1623981641,Shougang Corp.,"1,350 %",07.08.2020,Nein,Euro,07.08.2020
194750941,US37045VAM28,General Motors Co.,"1,274 %",07.08.2020,Nein,US Dollar,07.08.2020
204157268,US88579YAQ44,3M Co.,"2,000 %",07.08.2020,Nein,US Dollar,07.08.2020
194750930,XS1594400100,Sunac China Holdings Ltd.,"6,875 %",08.08.2020,Nein,US Dollar,08.08.2020
38034518,XS0531922465,Morgan Stanley Inc.,"5,375 %",10.08.2020,Nein,Euro,10.08.2020
38444041,DE000A1EWHK6,Stadtsparkasse D&#252;sseldorf,"3,125 %",10.08.2020,Nein,Euro,10.08.2020
168244042,US459058FM08,International Bank for Reconstruction and Development,"1,125 %",10.08.2020,Nein,US Dollar,10.08.2020
168249704,DE000LB1B1P3,Landesbank Baden-W&#252;rttemberg,"0,125 %",10.08.2020,Nein,Euro,10.08.2020
195038336,AU3CB0246171,UBS AG Australia Branch,"2,700 %",10.08.2020,Nein,Australischer Dollar,04.08.2020
195038339,AU3FN0037388,UBS AG Australia Branch,"1,610 %",10.08.2020,Nein,Australischer Dollar,03.08.2020
204872191,US45950VGQ32,International Finance Corp.,"6,450 %",10.08.2020,Nein,Indische Rupie,10.08.2020
138762072,XS1273507100,Volkswagen Leasing GmbH,"0,750 %",11.08.2020,Nein,Euro,11.08.2020
138879495,XS1270771006,KA Finanz AG,"0,375 %",11.08.2020,Nein,Euro,11.08.2020
156372670,XS1269824964,Oceanwide Holdings International 2015 Co. Ltd.,"9,625 %",11.08.2020,Nein,US Dollar,11.08.2020
156518403,XS1272206209,Greentown China Holdings Ltd.,"5,875 %",11.08.2020,Nein,US Dollar,11.08.2020
33708781,CH0107134717,Kreditanstalt f&#252;r Wiederaufbau,"2,250 %",12.08.2020,Nein,Schweizer Franken,12.08.2020
92354249,USN93695BL23,Volkswagen International Finance N.V.,"4,000 %",12.08.2020,Nein,US Dollar,12.08.2020
136515176,DE000BLB3N41,Bayerische Landesbank,"0,700 %",12.08.2020,Nein,Euro,12.08.2020
180202959,XS1274011102,ICICI Bank Ltd. (Dubai Branch),"3,125 %",12.08.2020,Nein,US Dollar,12.08.2020
92306537,AT0000A133W5,Erste Group Bank AG,"2,200 %",13.08.2020,Nein,Euro,13.08.2020
138221353,DE000LB01Y62,Landesbank Baden-W&#252;rttemberg,"2,000 %",14.08.2020,Nein,US Dollar,14.08.2020
225847413,XS1865248618,European Bank for Reconstruction and Development,"4,500 %",14.08.2020,Nein,Philippinischer Peso,14.08.2020
226086460,USU09513HN26,BMW US Capital LLC,"3,250 %",14.08.2020,Nein,US Dollar,14.08.2020
226086462,USU09513HP73,BMW US Capital LLC,"0,794 %",14.08.2020,Nein,US Dollar,14.08.2020
226350129,AU3CB0255446,Toyota Finance Australia Ltd.,"2,700 %",14.08.2020,Nein,Australischer Dollar,07.08.2020
232084845,US298785HL33,European Investment Bank (EIB),"1,625 %",14.08.2020,Nein,US Dollar,14.08.2020
84614585,US912828NT32,"USA, Staat","2,625 %",15.08.2020,Nein,US Dollar,15.08.2020
86323765,US026874CX31,American International Group Inc.,"3,375 %",15.08.2020,Nein,US Dollar,15.08.2020
175692315,US852061AR17,Sprint Communications Inc.,"7,000 %",15.08.2020,Nein,US Dollar,15.08.2020
178563475,US912810EG95,"USA, Staat","8,750 %",15.08.2020,Nein,US Dollar,15.08.2020
195639694,US9128282Q23,"USA, Staat","1,500 %",15.08.2020,Nein,US Dollar,15.08.2020
139362569,US44987DAG16,ING Bank N.V.,"2,700 %",17.08.2020,Nein,US Dollar,17.08.2020
155784588,DE000A1REW10,"Th&#252;ringen, Region","1,625 %",17.08.2020,Nein,Euro,17.08.2020
195427875,XS1663601455,NRW.BANK,"1,750 %",17.08.2020,Nein,US Dollar,17.08.2020
224396776,DE000HSH3F99,HSH Nordbank AG,"4,125 %",17.08.2020,Nein,Euro,17.08.2020
232438164,XS1275834395,DNB Bank ASA,"0,088 %",17.08.2020,Nein,Euro,17.08.2020
125378852,XS1190529989,Landwirtschaftliche Rentenbank,"1,625 %",18.08.2020,Nein,US Dollar,18.08.2020
139499401,XS1277337678,Swedbank AB,"0,238 %",18.08.2020,Nein,Euro,18.08.2020
139499406,US751212AB74,Ralph Lauren Corp.,"2,625 %",18.08.2020,Nein,US Dollar,18.08.2020
169003963,AU3FN0028361,Bendigo &amp; Adelaide Bank Ltd.,"2,000 %",18.08.2020,Nein,Australischer Dollar,18.08.2020
87250303,XS0963375232,The Goldman Sachs Group Inc.,"2,625 %",19.08.2020,Nein,Euro,19.08.2020
169621322,DE000A2BN6X4,Kreissparkasse Heilbronn,"0,000 %",19.08.2020,Nein,Euro,19.08.2020
188891812,US05253JAR23,Australia and New Zealand Banking Group Ltd. New York Branch,"2,125 %",19.08.2020,Nein,US Dollar,19.08.2020
105148999,AU0000KFWHO9,Kreditanstalt f&#252;r Wiederaufbau,"6,000 %",20.08.2020,Nein,Australischer Dollar,09.08.2020
109643824,XS1100379459,Kreditanstalt f&#252;r Wiederaufbau,"4,500 %",20.08.2020,Nein,Neuseel&#228;ndischer Dollar,20.08.2020
138678477,DE000DB2GYU4,Deutsche Bank AG,"1,000 %",20.08.2020,Nein,Euro,20.08.2020
139796581,US984121CM35,Xerox Holdings Corp.,"3,500 %",20.08.2020,Nein,US Dollar,20.08.2020
139832596,US25152R2U64,Deutsche Bank AG,"2,950 %",20.08.2020,Nein,US Dollar,20.08.2020
139832597,US25152R2V48,Deutsche Bank AG,"1,687 %",20.08.2020,Nein,US Dollar,20.08.2020
86871491,AT0000A10WA8,Erste Group Bank AG,"1,700 %",21.08.2020,Nein,Euro,21.08.2020
86871493,DE000LB0TUN4,Landesbank Baden-W&#252;rttemberg,"1,750 %",21.08.2020,Nein,Euro,21.08.2020
