Issuer,Currency,Due_Date,Coupon,ISIN
Vienna Insurance Group AG Wiener Versicherung Gruppe,EUR,13.04.2047,"3,750%",AT0000A1VGA1
"Österreich, Republik",EUR,20.04.2027,"0,500%",AT0000A1VGK0
Wiener Städtische Versicherung AG Vienna Insurance Group,EUR,11.05.2027,"3,500%",AT0000A1VKJ4
UBM Development AG,EUR,11.10.2022,"3,250%",AT0000A1XBU6
"Österreich, Republik",EUR,20.09.2022,"0,000%",AT0000A1XM92
"Österreich, Republik",EUR,20.09.2117,"2,100%",AT0000A1XML2
voestalpine AG,EUR,27.09.2024,"1,375%",AT0000A1Y3P7
S IMMO AG,EUR,06.02.2030,"2,875%",AT0000A1Z9C1
S IMMO AG,EUR,06.02.2024,"1,750%",AT0000A1Z9D9
"Österreich, Republik",EUR,20.02.2028,"0,750%",AT0000A1ZGE4
Wienerberger AG,EUR,02.05.2024,"2,000%",AT0000A20F93
UBM Development AG,EUR,16.11.2023,"3,125%",AT0000A23ST9
Erste Group Bank AG,EUR,03.04.2025,"0,480%",AT0000A272M2
voestalpine AG,EUR,10.04.2026,"1,750%",AT0000A27LQ1
"Österreich, Republik",EUR,15.07.2024,"0,000%",AT0000A28KX7
Erste Group Bank AG,EUR,11.09.2029,"0,010%",AT0000A2A6W3
UBM Development AG,EUR,13.11.2025,"2,750%",AT0000A2AX04
HYPO TIROL BANK AG,EUR,19.10.2026,"0,010%",AT0000A2AYL3
Erste Group Bank AG,EUR,15.01.2030,"0,100%",AT0000A2CDT6
Raiffeisenlandesbank Oberösterreich AG,EUR,22.01.2035,"0,500%",AT0000A2CFT1
Oberbank AG,EUR,28.01.2030,"0,125%",AT0000A2CN04
"Österreich, Republik",EUR,20.02.2030,"0,000%",AT0000A2CQD2
"Österreich, Republik",EUR,20.03.2051,"0,750%",AT0000A2EJ08
"Österreich, Republik",EUR,20.04.2023,"0,000%",AT0000A2EJZ6
Erste Group Bank AG,EUR,13.05.2027,"0,875%",AT0000A2GH08
Erste Group Bank AG,EUR,26.05.2031,"0,860%",AT0000A2GKQ8
Wienerberger AG,EUR,04.06.2025,"2,750%",AT0000A2GLA0
UniCredit Bank Austria AG,EUR,24.02.2021,"4,125%",AT000B048988
UniCredit Bank Austria AG,EUR,29.10.2020,"1,875%",AT000B049408
UniCredit Bank Austria AG,EUR,22.01.2024,"2,375%",AT000B049465
UniCredit Bank Austria AG,EUR,26.05.2021,"1,375%",AT000B049507
UniCredit Bank Austria AG,EUR,25.02.2025,"0,750%",AT000B049572
UniCredit Bank Austria AG,EUR,08.09.2022,"0,750%",AT000B049598
UniCredit Bank Austria AG,EUR,21.06.2030,"0,250%",AT000B049796
Volksbank Wien AG,EUR,06.10.2027,"2,750%",AT000B121967
"Australia, Commonwealth of...",AUD,21.05.2030,"2,500%",AU0000013740
"Australia, Commonwealth of...",AUD,21.05.2041,"2,750%",AU0000018442
"Australia, Commonwealth of...",AUD,21.06.2031,"1,500%",AU0000047003
Treasury Corp. of Victoria,AUD,20.11.2023,"1,000%",AU0000075624
"Australia, Commonwealth of...",AUD,21.05.2032,"1,250%",AU0000075681
Queensland Treasury Corp.,AUD,20.07.2034,"1,750%",AU0000079402
"Australia, Commonwealth of...",AUD,21.11.2024,"0,250%",AU0000083768
"Australia, Commonwealth of...",AUD,21.12.2030,"1,000%",AU0000087454
Asian Development Bank (ADB),AUD,09.03.2022,"5,000%",AU0000ATBHI7
International Finance Corp.,AUD,28.07.2020,"5,750%",AU0000IFXHD4
Kreditanstalt für Wiederaufbau,AUD,20.08.2020,"6,000%",AU0000KFWHO9
Kreditanstalt für Wiederaufbau,AUD,19.05.2021,"6,250%",AU0000KFWHR2
Kreditanstalt für Wiederaufbau,AUD,09.02.2022,"5,500%",AU0000KFWHU6
Kreditanstalt für Wiederaufbau,AUD,19.03.2024,"5,000%",AU0000KFWHX0
Nordic Investment Bank,AUD,19.04.2022,"5,000%",AU0000NIBHF9
"Australia, Commonwealth of...",AUD,15.05.2021,"5,750%",AU0000XCLWM5
Queensland Treasury Corp.,AUD,14.03.2033,"6,500%",AU0000XQLQI5
Queensland Treasury Corp.,AUD,21.07.2022,"6,000%",AU0000XQLQT2
Queensland Treasury Corp.,AUD,22.07.2024,"5,750%",AU0000XQLQU0
Queensland Treasury Corp.,AUD,21.06.2021,"5,500%",AU0000XQLQV8
Queensland Treasury Corp.,AUD,21.07.2023,"4,250%",AU0000XQLQX4
Treasury Corp. of Victoria,AUD,20.10.2028,"3,000%",AU0000XVGHI4
Treasury Corp. of Victoria,AUD,17.11.2026,"5,500%",AU0000XVGZJ4
Kreditanstalt für Wiederaufbau,AUD,27.02.2025,"4,000%",AU000KFWHAA3
Kreditanstalt für Wiederaufbau,AUD,17.02.2021,"2,800%",AU000KFWHAD7
Kreditanstalt für Wiederaufbau,AUD,11.09.2026,"3,200%",AU000KFWHAE5
Kreditanstalt für Wiederaufbau,AUD,06.06.2022,"2,900%",AU000KFWHAF2
Kreditanstalt für Wiederaufbau,AUD,15.03.2028,"3,200%",AU000KFWHAG0
"Australia, Commonwealth of...",AUD,21.04.2033,"4,500%",AU000XCLWAG2
"Australia, Commonwealth of...",AUD,21.04.2026,"4,250%",AU000XCLWAI8
"Australia, Commonwealth of...",AUD,21.06.2035,"2,750%",AU000XCLWAM0
"Australia, Commonwealth of...",AUD,21.11.2020,"1,750%",AU000XCLWAN8
"Australia, Commonwealth of...",AUD,21.06.2039,"3,250%",AU000XCLWAP3
"Australia, Commonwealth of...",AUD,21.11.2027,"2,750%",AU000XCLWAQ1
"Australia, Commonwealth of...",AUD,21.05.2028,"2,250%",AU000XCLWAR9
"Australia, Commonwealth of...",AUD,21.03.2047,"3,000%",AU000XCLWAS7
"Australia, Commonwealth of...",AUD,21.12.2021,"2,000%",AU000XCLWAT5
"Australia, Commonwealth of...",AUD,21.11.2028,"2,750%",AU000XCLWAU3
"Australia, Commonwealth of...",AUD,21.11.2022,"2,250%",AU000XCLWAW9
Western Australian Treasury Corp.,AUD,16.10.2023,"6,000%",AU300WT60390
Inter-American Development Bank,AUD,26.02.2021,"6,000%",AU3CB0018430
EUROFIMA Europäische Gesellschaft für die Finanzierung von Eisen,AUD,30.03.2022,"6,000%",AU3CB0022002
New South Wales Treasury Corp.,AUD,01.05.2023,"6,000%",AU3CB0038172
Telstra Corp. Ltd.,AUD,15.07.2020,"7,750%",AU3CB0152940
European Investment Bank (EIB),AUD,06.08.2020,"6,000%",AU3CB0155620
International Bank for Reconstruction and Development,AUD,01.10.2020,"5,750%",AU3CB0160547
Council of Europe Development Bank (CEB),AUD,08.10.2020,"6,000%",AU3CB0161123
European Investment Bank (EIB),AUD,08.06.2021,"6,250%",AU3CB0176675
International Bank for Reconstruction and Development,AUD,07.03.2022,"5,000%",AU3CB0190908
Landwirtschaftliche Rentenbank,AUD,29.03.2022,"5,500%",AU3CB0192276
Kommunalbanken AS,AUD,18.07.2022,"4,500%",AU3CB0196707
Inter-American Development Bank,AUD,25.07.2022,"3,750%",AU3CB0196921
European Investment Bank (EIB),AUD,22.08.2022,"5,000%",AU3CB0198034
Landwirtschaftliche Rentenbank,AUD,24.01.2023,"4,250%",AU3CB0204543
BNG Bank N.V.,AUD,06.03.2023,"4,750%",AU3CB0206027
Kommunalbanken AS,AUD,17.04.2023,"4,500%",AU3CB0207645
Inter-American Development Bank,AUD,22.05.2023,"4,000%",AU3CB0208627
Perth Airport Pty Ltd.,AUD,23.07.2020,"6,000%",AU3CB0211415
Nordic Investment Bank,AUD,28.02.2024,"4,750%",AU3CB0212942
GE Capital Australia Funding Property Ltd.,AUD,04.09.2020,"5,250%",AU3CB0213098
African Development Bank,AUD,06.03.2024,"4,750%",AU3CB0213205
Australian Postal Corp.,AUD,13.11.2020,"5,000%",AU3CB0215788
BNG Bank N.V.,AUD,20.05.2024,"5,250%",AU3CB0216141
European Investment Bank (EIB),AUD,07.08.2024,"4,750%",AU3CB0218444
Perth Airport Pty Ltd.,AUD,25.03.2021,"5,500%",AU3CB0219681
Landwirtschaftliche Rentenbank,AUD,06.05.2026,"4,750%",AU3CB0220598
"British Columbia, Provinz",AUD,27.11.2024,"4,250%",AU3CB0221232
International Bank for Reconstruction and Development,AUD,24.06.2025,"4,250%",AU3CB0222040
Landwirtschaftliche Rentenbank,AUD,09.01.2025,"4,250%",AU3CB0222362
African Development Bank,AUD,10.01.2025,"4,000%",AU3CB0222370
Landeskreditbank Baden-Württemberg - Förderbank,AUD,07.08.2025,"4,250%",AU3CB0223097
Wells Fargo & Co.,AUD,27.08.2024,"4,750%",AU3CB0223519
The Goldman Sachs Group Inc.,AUD,08.09.2021,"4,700%",AU3CB0223741
Total Capital International S.A.,AUD,26.11.2021,"4,250%",AU3CB0225662
Emirates NBD PJSC,AUD,18.02.2022,"4,750%",AU3CB0227411
Landwirtschaftliche Rentenbank,AUD,05.09.2022,"2,700%",AU3CB0227841
Landwirtschaftliche Rentenbank,AUD,13.04.2021,"2,500%",AU3CB0228716
European Investment Bank (EIB),AUD,17.10.2025,"2,900%",AU3CB0228823
Inter-American Development Bank,AUD,30.10.2025,"2,750%",AU3CB0229227
Apple Inc.,AUD,28.08.2022,"3,700%",AU3CB0232296
Intel Corp.,AUD,01.12.2022,"4,000%",AU3CB0234409
International Bank for Reconstruction and Development,AUD,13.01.2021,"2,800%",AU3CB0234961
European Investment Bank (EIB),AUD,15.01.2021,"2,800%",AU3CB0234987
European Investment Bank (EIB),AUD,17.08.2026,"3,100%",AU3CB0235612
National Australia Bank Ltd.,AUD,12.05.2021,"3,000%",AU3CB0237337
Hyundai Capital Services Inc.,AUD,03.06.2021,"3,500%",AU3CB0237725
Apple Inc.,AUD,10.06.2026,"3,600%",AU3CB0237881
Apple Inc.,AUD,10.01.2024,"3,350%",AU3CB0237899
The Coca-Cola Co.,AUD,11.06.2024,"3,250%",AU3CB0237907
Toyota Motor Credit Corp.,AUD,26.07.2021,"2,750%",AU3CB0238731
Australia and New Zealand Banking Group Ltd.,AUD,16.08.2021,"2,800%",AU3CB0239168
Qantas Airways Ltd.,AUD,10.10.2023,"4,400%",AU3CB0240059
Qantas Airways Ltd.,AUD,12.10.2026,"4,750%",AU3CB0240109
International Bank for Reconstruction and Development,AUD,12.01.2022,"2,800%",AU3CB0241784
International Finance Corp.,AUD,15.08.2022,"2,800%",AU3CB0242519
Hyundai Capital Services Inc.,AUD,30.03.2022,"3,500%",AU3CB0243558
Telstra Corp. Ltd.,AUD,19.04.2027,"4,000%",AU3CB0243764
Holcim Finance [Australia] Pty Ltd.,AUD,16.06.2022,"3,500%",AU3CB0244960
John Deere Financial Ltd.,AUD,15.07.2022,"3,250%",AU3CB0245801
European Investment Bank (EIB),AUD,03.02.2028,"3,300%",AU3CB0245884
UBS AG [Australia Branch],AUD,10.08.2020,"2,700%",AU3CB0246171
Verizon Communications Inc.,AUD,17.02.2023,"3,500%",AU3CB0246213
Verizon Communications Inc.,AUD,17.02.2025,"4,050%",AU3CB0246221
Verizon Communications Inc.,AUD,17.08.2027,"4,500%",AU3CB0246239
The Bank of Nova Scotia,AUD,08.09.2022,"3,200%",AU3CB0246924
Volkswagen Financial Services Australia Pty Ltd.,AUD,14.09.2022,"3,500%",AU3CB0247047
International Bank for Reconstruction and Development,AUD,20.09.2022,"2,600%",AU3CB0247245
Bank of Montreal,AUD,06.10.2022,"3,250%",AU3CB0247690
Emirates NBD PJSC,AUD,12.10.2027,"4,850%",AU3CB0247740
Spark Finance Ltd.,AUD,20.10.2027,"4,000%",AU3CB0248060
ADCB Finance [Cayman] Ltd.,AUD,25.10.2027,"4,500%",AU3CB0248169
Lloyds Banking Group PLC,AUD,22.11.2027,"4,250%",AU3CB0248862
Toyota Finance Australia Ltd.,AUD,07.12.2020,"2,500%",AU3CB0249183
Vodafone Group PLC,AUD,13.12.2022,"3,250%",AU3CB0249365
Vodafone Group PLC,AUD,13.12.2027,"4,200%",AU3CB0249373
QNB Finance Ltd.,AUD,01.02.2023,"4,150%",AU3CB0250355
QNB Finance Ltd.,AUD,01.02.2028,"4,900%",AU3CB0250363
Emirates NBD PJSC,AUD,09.02.2028,"4,750%",AU3CB0250512
UBS AG [Australia Branch],AUD,08.03.2023,"3,250%",AU3CB0251197
Volkswagen Financial Services Australia Pty Ltd.,AUD,13.04.2021,"3,250%",AU3CB0252328
Australia and New Zealand Banking Group Ltd.,AUD,09.05.2023,"3,350%",AU3CB0252922
AT & T Inc.,AUD,19.09.2028,"4,600%",AU3CB0256915
National Australia Bank Ltd.,AUD,26.02.2024,"2,900%",AU3CB0260990
General Motors Financial Co. Inc.,AUD,21.02.2023,"3,850%",AU3CB0261006
International Bank for Reconstruction and Development,AUD,27.02.2024,"2,200%",AU3CB0261212
McDonald's Corp.,AUD,08.03.2024,"3,000%",AU3CB0261378
McDonald's Corp.,AUD,08.09.2026,"3,450%",AU3CB0261394
McDonald's Corp.,AUD,08.03.2029,"3,800%",AU3CB0261402
Woolworths Group Ltd.,AUD,23.04.2024,"2,850%",AU3CB0262533
PACCAR Financial Pty Ltd.,AUD,13.06.2023,"2,100%",AU3CB0264141
National Australia Bank Ltd.,AUD,19.06.2024,"2,150%",AU3CB0264265
The Toronto-Dominion Bank,AUD,10.07.2024,"2,050%",AU3CB0264778
European Investment Bank (EIB),AUD,25.01.2024,"1,450%",AU3CB0265163
Volkswagen Financial Services Australia Pty Ltd.,AUD,28.08.2024,"2,400%",AU3CB0266013
John Deere Financial Ltd.,AUD,04.10.2024,"1,750%",AU3CB0267052
Origin Energy Finance Ltd.,AUD,11.11.2027,"2,650%",AU3CB0267847
Australia and New Zealand Banking Group Ltd.,AUD,16.01.2025,"1,650%",AU3CB0269710
Toyota Finance Australia Ltd.,AUD,17.02.2023,"1,300%",AU3CB0270494
Woolworths Group Ltd.,AUD,20.05.2025,"1,850%",AU3CB0272219
Woolworths Group Ltd.,AUD,20.05.2030,"2,800%",AU3CB0272227
Australia and New Zealand Banking Group Ltd.,AUD,18.05.2026,"2,797%",AU3FN0029575
Australia and New Zealand Banking Group Ltd.,AUD,16.08.2021,"1,227%",AU3FN0032181
National Australia Bank Ltd.,AUD,21.09.2026,"2,504%",AU3FN0032470
UBS AG [Australia Branch],AUD,10.08.2020,"0,796%",AU3FN0037388
Verizon Communications Inc.,AUD,17.02.2023,"1,317%",AU3FN0037495
National Australia Bank Ltd.,AUD,10.02.2023,"0,896%",AU3FN0039251
UBS AG [Australia Branch],AUD,08.03.2021,"0,800%",AU3FN0041026
McDonald's Corp.,AUD,08.03.2024,"1,230%",AU3FN0046827
New South Wales Treasury Corp.,AUD,01.03.2022,"6,000%",AU3SG0000284
South Australian Government Financing Authority,AUD,20.05.2021,"5,000%",AU3SG0000326
New South Wales Treasury Corp.,AUD,20.08.2024,"5,000%",AU3SG0000417
New South Wales Treasury Corp.,AUD,20.04.2023,"4,000%",AU3SG0001159
Treasury Corp. of Victoria,AUD,20.12.2032,"4,250%",AU3SG0001175
New South Wales Treasury Corp.,AUD,08.04.2021,"4,000%",AU3SG0001258
Tasmanian Public Finance Corp.,AUD,19.02.2026,"3,250%",AU3SG0001464
Western Australian Treasury Corp.,AUD,21.10.2027,"3,000%",AU3SG0001563
New South Wales Treasury Corp.,AUD,20.02.2030,"3,000%",AU3SG0001571
Queensland Treasury Corp.,AUD,20.08.2027,"2,750%",AU3SG0001605
Western Australian Treasury Corp.,AUD,21.10.2026,"3,000%",AU3SG0001704
"Australia, Commonwealth of...",AUD,15.07.2022,"5,750%",AU3TB0000051
"Australia, Commonwealth of...",AUD,21.04.2023,"5,500%",AU3TB0000101
"Australia, Commonwealth of...",AUD,21.04.2027,"4,750%",AU3TB0000135
"Australia, Commonwealth of...",AUD,21.04.2024,"2,750%",AU3TB0000143
"Australia, Commonwealth of...",AUD,21.04.2029,"3,250%",AU3TB0000150
"Australia, Commonwealth of...",AUD,21.04.2025,"3,250%",AU3TB0000168
"Australia, Commonwealth of...",AUD,21.04.2037,"3,750%",AU3TB0000192
"Belgien, Königreich",EUR,28.03.2028,"5,500%",BE0000291972
"Belgien, Königreich",EUR,28.03.2035,"5,000%",BE0000304130
"Belgien, Königreich",EUR,28.03.2022,"4,000%",BE0000308172
"Belgien, Königreich",EUR,28.09.2020,"3,750%",BE0000318270
"Belgien, Königreich",EUR,28.03.2041,"4,250%",BE0000320292
"Belgien, Königreich",EUR,28.09.2021,"4,250%",BE0000321308
"Belgien, Königreich",EUR,28.03.2026,"4,500%",BE0000324336
"Belgien, Königreich",EUR,28.09.2022,"4,250%",BE0000325341
"Belgien, Königreich",EUR,28.03.2032,"4,000%",BE0000326356
"Belgien, Königreich",EUR,22.06.2023,"2,250%",BE0000328378
"Belgien, Königreich",EUR,22.06.2045,"3,750%",BE0000331406
"Belgien, Königreich",EUR,22.06.2024,"2,600%",BE0000332412
"Belgien, Königreich",EUR,22.06.2034,"3,000%",BE0000333428
"Belgien, Königreich",EUR,22.06.2025,"0,800%",BE0000334434
"Belgien, Königreich",EUR,22.06.2026,"1,000%",BE0000337460
"Belgien, Königreich",EUR,22.06.2047,"1,600%",BE0000338476
"Belgien, Königreich",EUR,22.10.2023,"0,200%",BE0000339482
"Belgien, Königreich",EUR,22.06.2066,"2,150%",BE0000340498
"Belgien, Königreich",EUR,22.06.2027,"0,800%",BE0000341504
"Belgien, Königreich",EUR,22.10.2024,"0,500%",BE0000342510
"Belgien, Königreich",EUR,22.06.2057,"2,250%",BE0000343526
"Belgien, Königreich",EUR,22.06.2037,"1,450%",BE0000344532
"Belgien, Königreich",EUR,22.06.2028,"0,800%",BE0000345547
"Belgien, Königreich",EUR,22.04.2033,"1,250%",BE0000346552
"Belgien, Königreich",EUR,22.06.2029,"0,900%",BE0000347568
"Belgien, Königreich",EUR,22.06.2040,"0,400%",BE0000350596
"Belgien, Königreich",EUR,22.10.2027,"0,000%",BE0000351602
Flämische Gemeinschaft,EUR,13.10.2026,"0,375%",BE0001764183
Flämische Gemeinschaft,EUR,13.10.2036,"1,000%",BE0001765198
FLUXYS Belgium S.A.,EUR,27.11.2029,"2,750%",BE0002218841
Belfius Bank S.A.,EUR,14.09.2026,"0,125%",BE0002260298
KBC Groep N.V.,EUR,18.10.2023,"0,750%",BE0002266352
KBC Groep N.V.,EUR,01.03.2022,"0,750%",BE0002272418
Proximus S.A.,EUR,22.03.2022,"0,500%",BE0002273424
BNP Paribas Fortis S.A.,EUR,23.09.2024,"0,500%",BE0002274430
Groupe Bruxelles Lambert S.A. [GBL],EUR,23.05.2024,"1,375%",BE0002280494
KBC Groep N.V.,EUR,24.11.2022,"0,268%",BE0002281500
KBC Groep N.V.,EUR,18.09.2029,"1,625%",BE0002290592
Fluvius System Operator CVBA,EUR,30.11.2022,"2,750%",BE0002420926
Belfius Bank S.A.,EUR,30.01.2023,"2,125%",BE0002424969
KBC Bank N.V.,EUR,31.01.2023,"2,000%",BE0002425974
Elia Transmission Belgium N.V.,EUR,04.04.2028,"3,250%",BE0002432079
UCB S.A.,EUR,04.01.2021,"4,125%",BE0002442177
Fluvius System Operator CVBA,EUR,09.10.2023,"2,875%",BE0002443183
Elia Transmission Belgium N.V.,EUR,07.04.2029,"3,000%",BE0002466416
Fluvius System Operator CVBA,EUR,07.05.2029,"2,875%",BE0002470459
Belfius Bank S.A.,EUR,14.10.2021,"0,625%",BE0002477520
Fluvius System Operator CVBA,EUR,29.10.2029,"2,625%",BE0002478536
Fluvius System Operator CVBA,EUR,04.12.2026,"1,750%",BE0002481563
KBC Bank N.V.,EUR,28.04.2021,"0,125%",BE0002489640
ING Belgium S.A./N.V.,EUR,01.10.2021,"0,500%",BE0002491661
KBC Bank N.V.,EUR,01.09.2022,"0,375%",BE0002498732
KBC Bank N.V.,EUR,24.10.2027,"0,750%",BE0002500750
Kinepolis Group S.A.,EUR,15.12.2025,"2,400%",BE0002576545
bpost S.A.,EUR,11.07.2026,"1,250%",BE0002601798
BNP Paribas Fortis S.A.,EUR,04.10.2025,"0,625%",BE0002614924
Elia Transmission Belgium N.V.,EUR,14.01.2026,"1,375%",BE0002629104
Kinepolis Group S.A.,EUR,18.12.2026,"2,750%",BE0002660414
Belfius Bank S.A.,EUR,01.10.2029,"0,010%",BE0002669506
KBC Groep N.V.,EUR,24.01.2030,"0,750%",BE0002681626
KBC Bank N.V.,EUR,03.12.2025,"0,000%",BE0002707884
KBC Groep N.V.,EUR,16.06.2027,"0,375%",BE0974365976
Anheuser-Busch InBev S.A./N.V.,EUR,02.06.2021,"4,000%",BE6221503202
Apetra N.V.,EUR,17.12.2020,"2,125%",BE6242927075
Anheuser-Busch InBev S.A./N.V.,EUR,25.09.2024,"2,875%",BE6243179650
Apetra N.V.,EUR,25.09.2023,"3,125%",BE6257983286
Anheuser-Busch InBev S.A./N.V.,EUR,30.09.2021,"1,950%",BE6265141083
Anheuser-Busch InBev S.A./N.V.,EUR,31.03.2026,"2,700%",BE6265142099
Proximus S.A.,EUR,04.04.2024,"2,375%",BE6265262327
"Belgien, Königreich",USD,18.09.2024,"2,875%",BE6271706747
Anheuser-Busch InBev S.A./N.V.,EUR,20.04.2023,"0,800%",BE6276039425
Anheuser-Busch InBev S.A./N.V.,EUR,18.04.2030,"1,500%",BE6276040431
AG Insurance S.A.,EUR,30.06.2047,"3,500%",BE6277215545
Ethias Vie,EUR,14.01.2026,"5,000%",BE6279619330
Argenta Spaarbank N.V.,EUR,24.05.2026,"3,875%",BE6282030194
Solvay S.A.,EUR,02.12.2022,"1,625%",BE6282459609
Solvay S.A.,EUR,02.12.2027,"2,750%",BE6282460615
Anheuser-Busch InBev S.A./N.V.,EUR,17.03.2022,"0,875%",BE6285452460
Anheuser-Busch InBev S.A./N.V.,EUR,17.03.2025,"1,500%",BE6285454482
Anheuser-Busch InBev S.A./N.V.,EUR,17.03.2028,"2,000%",BE6285455497
Anheuser-Busch InBev S.A./N.V.,EUR,17.03.2036,"2,750%",BE6285457519
KBC Groep N.V.,EUR,26.04.2021,"1,000%",BE6286238561
Barry Callebaut Services N.V.,EUR,24.05.2024,"2,375%",BE6286963051
Anheuser-Busch InBev S.A./N.V.,GBP,07.03.2025,"1,750%",BE6295391914
Anheuser-Busch InBev S.A./N.V.,GBP,24.05.2029,"2,250%",BE6295393936
Anheuser-Busch InBev S.A./N.V.,GBP,25.05.2037,"2,850%",BE6295395956
Belfius Bank S.A.,EUR,12.09.2022,"0,750%",BE6298043272
Telenet Finance Luxembourg Notes S.a.r.l.,EUR,01.03.2028,"3,500%",BE6300371273
Anheuser-Busch InBev S.A./N.V.,EUR,15.04.2024,"0,080%",BE6301509012
Anheuser-Busch InBev S.A./N.V.,EUR,22.01.2027,"1,150%",BE6301510028
Anheuser-Busch InBev S.A./N.V.,EUR,23.01.2035,"2,000%",BE6301511034
Euroclear Bank S.A./N.V.,EUR,10.07.2023,"0,500%",BE6305977074
Anheuser-Busch InBev S.A./N.V.,EUR,01.07.2027,"1,125%",BE6312821612
Anheuser-Busch InBev S.A./N.V.,EUR,28.03.2031,"1,650%",BE6312822628
Belfius Bank S.A.,EUR,13.02.2026,"0,375%",BE6317283610
Sarens Finance Company N.V.,EUR,21.02.2027,"5,750%",BE6318634548
Argenta Spaarbank N.V.,EUR,29.01.2027,"1,000%",BE6318702253
Anheuser-Busch InBev S.A./N.V.,EUR,02.12.2027,"2,125%",BE6320934266
Anheuser-Busch InBev S.A./N.V.,EUR,02.04.2032,"2,875%",BE6320935271
Anheuser-Busch InBev S.A./N.V.,EUR,02.04.2040,"3,700%",BE6320936287
Lonza Finance International N.V.,EUR,21.04.2027,"1,625%",BE6321076711
Elia Transmission Belgium N.V.,EUR,28.04.2030,"0,875%",BE6321529396
Apple Inc.,CAD,19.08.2024,"2,513%",CA037833CY47
"British Columbia, Provinz",CAD,18.12.2022,"2,700%",CA110709GB20
"British Columbia, Provinz",CAD,18.12.2023,"3,300%",CA110709GF34
"Canada, Government of...",CAD,01.06.2023,"1,500%",CA135087A610
"Canada, Government of...",CAD,01.06.2024,"2,500%",CA135087B451
"Canada, Government of...",CAD,01.12.2064,"2,750%",CA135087C939
"Canada, Government of...",CAD,01.12.2048,"2,750%",CA135087D358
"Canada, Government of...",CAD,01.06.2025,"2,250%",CA135087D507
"Canada, Government of...",CAD,01.09.2020,"0,750%",CA135087E596
"Canada, Government of...",CAD,01.06.2026,"1,500%",CA135087E679
"Canada, Government of...",CAD,01.03.2021,"0,750%",CA135087F254
"Canada, Government of...",CAD,01.09.2021,"0,750%",CA135087F585
"Canada, Government of...",CAD,01.06.2027,"1,000%",CA135087F825
"Canada, Government of...",CAD,01.03.2022,"0,500%",CA135087G328
"Canada, Government of...",CAD,01.09.2022,"1,000%",CA135087G732
"Canada, Government of...",CAD,01.12.2051,"2,000%",CA135087H722
"Canada, Government of...",CAD,01.09.2023,"2,000%",CA135087H987
"Canada, Government of...",CAD,01.06.2029,"2,250%",CA135087J397
"Canada, Government of...",CAD,01.03.2024,"2,250%",CA135087J546
"Canada, Government of...",CAD,01.02.2021,"2,250%",CA135087J629
