Unnamed: 0,Identifier,ISIN,Frequency,Seniority,Issuer,Maturity,Currency,Ins_type,Coupon,Spread
46.0,XS1870205819,XS1870205819,Semi Annually,Senior Unsecured,Logan Property Holdings Co Ltd,27-Aug-21,USD,USD,7.5,-
47.0,US853254AC43,US853254AC43,Semi Annually,Preference Share,Standard Chartered PLC,Perpetual,USD,USD,7.013999999999999,"Fixed (7.014%) to Float (3M LIBOR + 1.46%) on July 30, 2037<br>Payable Quarterly"
48.0,MYBMX1800049,MYBMX1800049,Semi Annually,Senior Unsecured,Malaysia Government Bond,8-Jun-38,MYR,MYR,4.893,-
49.0,USH3698DCP71,USH3698DCP71,Semi Annually,Junior Subordinated,Credit Suisse Group AG,Perpetual,USD,USD,6.375,Reset Date:  21 August 2026 and every 5 years thereafter<br> Reset Rate: Prevailing 5Y UST + Reset Margin (4.828%)
50.0,XS1206541366,XS1206541366,Annually,Junior Subordinated,Volkswagen International Finance NV,Perpetual,EUR,EUR,3.5,Reset Date: 20 March 2030<br> Reset Rate: EUR 15Y SWAP + 3.060%<br> Reset Date: 20 March 2050<br> Reset Rate: EUR 15Y SWAP + 3.810%
51.0,XS1413590610,XS1413590610,Semi Annually,Subordinated,Societe Generale SA,19-May-26,SGD,SGD,4.3,Reset Rate: 5Y SGD SOR + Initial Margin (2.335%)<br> Reset Date: 19May2021
52.0,XS1706612147,XS1706612147,Semi Annually,Senior Unsecured,AVIC International Leasing Co Ltd,16-Nov-20,USD,USD,3.0,-
53.0,US37045XCP96,US37045XCP96,Semi Annually,Senior Unsecured,General Motors Financial Co Inc,6-Nov-21,USD,USD,4.2,-
54.0,USG6501MAA39,USG6501MAA39,Semi Annually,Senior Unsecured,Nexteer Automotive Group Ltd,15-Nov-21,USD,USD,5.875,-
55.0,MYBVS1501044,MYBVS1501044,Semi Annually,Senior Unsecured,Jambatan Kedua Sdn Bhd,28-May-30,MYR,MYR,4.52,-
56.0,AP8864781,SG7JE3000003,Semi Annually,Senior Unsecured,OUE Treasury Pte Ltd,10-May-23,SGD,SGD,3.55,-
57.0,US37045XCS36,US37045XCS36,Semi Annually,Senior Unsecured,General Motors Financial Co Inc,17-Jan-29,USD,USD,5.65,-
58.0,AU1447765,SGXF76850027,Semi Annually,Senior Unsecured,Perennial Real Estate Holdings Ltd,28-Aug-20,SGD,SGD,5.95,-
59.0,XS1627598094,XS1627598094,Semi Annually,Secured,Kaisa Group Holdings Ltd,30-Jun-24,USD,USD,9.375,-
60.0,AX2375126,XS1948752826,Semi Annually,Senior Unsecured,China Cinda Finance 2017 I Ltd,21-Feb-29,USD,USD,4.75,-
61.0,XS2132986741,XS2132986741,Semi Annually,Senior Unsecured,NWD Finance (BVI) Limited,Perpetual,USD,USD,5.25,Reset Date: 22 June 2026 and every 5 years thereafter <br> Reset Rate: Prevailing 5 year UST plus the Initial Spread (1.889%) plus a Step-Up Margin of 300bps
62.0,USU52932AJ63,USU52932AJ63,Semi Annually,Junior Subordinated,Liberty Mutual Group Inc,15-Mar-37,USD,USD,7.8,Fixed (7.8%) to Float (Libor + 2.905%) on 15Mar2037
63.0,XS1981089284,XS1981089284,Semi Annually,Secured,Sunac China Holdings Ltd,11-Oct-23,USD,USD,7.95,-
64.0,MYBUI1800068,MYBUI1800068,Semi Annually,First Lien,Segi Astana Sdn Bhd,6-Jan-23,MYR,MYR,5.2,-
65.0,US06738EBG98,US06738EBG98,Quarterly,Junior Subordinated,Barclays PLC,Perpetual,USD,USD,8.0,Reset Date: 15 Jun 2024 and every quarter thereafter <br> Reset Rate: 5Y UST + Initial Spread (5.672%)
66.0,SG6T03978952,SG6T03978952,Semi Annually,Senior Unsecured,Keppel Corp Ltd,14-Feb-22,SGD,SGD,3.145,-
67.0,AS3869557,SG7PD7000008,Semi Annually,Senior Unsecured,GSH Corp Ltd,3-May-21,SGD,SGD,5.15,-
68.0,XS1972092248,XS1972092248,Semi Annually,Senior Unsecured,CFLD Cayman Investment Ltd,8-Apr-24,USD,USD,8.6,-
69.0,XS0971723233,XS0971723233,Annually,Senior Unsecured,GE Capital UK Funding Unlimited Co,13-Sep-23,GBP,GBP,4.125,-
70.0,USY3815NAZ43,USY3815NAZ43,Semi Annually,Senior Unsecured,Hyundai Capital Services Inc,29-Aug-27,USD,USD,3.625,-
71.0,XS1914379265,XS1914379265,Annually,Subordinated,Noble Group Holdings Limited/Hamilton,Perpetual,USD,USD,2.5,-
72.0,AT5222126,SGXF56232261,Semi Annually,Senior Unsecured,Suntec REIT MTN Pte Ltd,16-Jul-21,SGD,SGD,3.0,-
73.0,XS1314766558,XS1314766558,Semi Annually,Senior Unsecured,Lembaga Pembiayaan Ekspor Indonesia,3-Nov-20,SGD,SGD,4.135,-
74.0,XS1117296035,XS1117296035,Annually,Senior Unsecured,Three Gorges Finance II Cayman Islands Ltd,10-Jun-22,EUR,EUR,1.7,-
75.0,AU3CB0252922,AU3CB0252922,Semi Annually,Senior Unsecured,Australia &amp; New Zealand Banking Group Ltd,9-May-23,AUD,AUD,3.35,-
76.0,XS1555076162,XS1555076162,Semi Annually,Senior Unsecured,Huarong Finance 2017 Co Ltd,Perpetual,USD,USD,4.5,Reset Date = 5th Anniversary and every 5 years thereafter<br> Reset Rate = 5-Year US Treasury Benchmark Rate + Initial Spread (2.773%) + 5% Step-up
77.0,SG6PC3000006,SG6PC3000006,Semi Annually,Senior Unsecured,City Developments Ltd,21-Mar-24,SGD,SGD,3.9,-
78.0,UV8462821,SG6ZB8000002,Semi Annually,Senior Unsecured,Land Transport Authority of Singapore,18-Sep-20,SGD,SGD,2.73,-
79.0,SG79H7000008,SG79H7000008,Semi Annually,Senior Unsecured,Mapletree Industrial Trust Treasury Co Pte Ltd,28-Mar-24,SGD,SGD,3.16,-
80.0,US88032XAM65,US88032XAM65,Semi Annually,Senior Unsecured,Tencent Holdings Ltd,11-Apr-26,USD,USD,3.575,-
81.0,HK0000123213,HK0000123213,Quarterly,Senior Unsecured,Airport Authority,5-Sep-22,HKD,HKD,2.25,-
82.0,XS1756727290,XS1756727290,Semi Annually,First Lien,China South City Holdings Ltd,25-Jan-21,USD,USD,7.25,-
83.0,LW8764232,HK0000301348,Quarterly,Senior Unsecured,Swire Pacific MTN Financing Ltd,21-Jul-28,HKD,HKD,2.6,-
84.0,XS1807198145,XS1807198145,Semi Annually,Senior Unsecured,Westwood Group Holdings Ltd,19-Apr-21,USD,USD,4.875,-
85.0,XS2098034452,XS2098034452,Semi Annually,Senior Unsecured,Sino-Ocean Land Treasure IV Ltd,14-Jan-30,USD,USD,4.75,-
86.0,XS1719264324,XS1719264324,Semi Annually,Senior Unsecured,Anton Oilfield Services Group,5-Dec-20,USD,USD,9.75,-
87.0,AO8494020,SG7FH7000000,Semi Annually,Senior Unsecured,Mapletree Treasury Services Ltd,29-Aug-25,SGD,SGD,2.85,-
88.0,XS2115155033,XS2115155033,Semi Annually,First Lien,Central China Real Estate Ltd,12-Feb-21,USD,USD,6.875,-
89.0,XS2078247983,XS2078247983,Semi Annually,Secured,Kaisa Group Holdings Ltd,12-Nov-23,USD,USD,11.95,-
90.0,XS1625981045,XS1625981045,Semi Annually,Senior Unsecured,New Metro Global Ltd,8-Aug-22,USD,USD,5.0,-
91.0,US6174468C63,US6174468C63,Semi Annually,Senior Unsecured,Morgan Stanley,23-Jul-25,USD,USD,4.0,-
92.0,XS1932872390,XS1932872390,Semi Annually,Senior Unsecured,Guotai Junan International Holdings Ltd,14-Jan-22,USD,USD,4.25,-
93.0,MYBMX1100044,MYBMX1100044,Semi Annually,Senior Unsecured,Malaysia Government Bond,30-Jun-31,MYR,MYR,4.232,-
94.0,XS1347736008,XS1347736008,Semi Annually,Senior Unsecured,Danga Capital Bhd,1-Mar-21,USD,USD,3.035,-
95.0,XS1627597955,XS1627597955,Semi Annually,Secured,Kaisa Group Holdings Ltd,30-Jun-22,USD,USD,8.5,-
96.0,XS1274156097,XS1274156097,Quarterly,Junior Subordinated,Barclays PLC,Perpetual,GBP,GBP,7.875,Reset Date: 15 September 2022 and every 5 years thereafterReset Rate: 5Yr LIBOR + 6.099%
97.0,QZ3177123,SG74D2000003,Semi Annually,Senior Unsecured,National University of Singapore,1-Sep-21,SGD,SGD,1.81,-
98.0,XS2027359756,XS2027359756,Semi Annually,Senior Unsecured,Vietnam Prosperity JSC Bank,17-Jul-22,USD,USD,6.25,-
99.0,XS1323910254,XS1323910254,Semi Annually,Senior Unsecured,SP PowerAssets Ltd,24-Nov-25,USD,USD,3.25,-
100.0,XS1716793978,XS1716793978,Semi Annually,Senior Unsecured,Eastern Air Overseas Hong Kong Co Ltd,16-Nov-20,SGD,SGD,2.8,-
101.0,XS1805368682,XS1805368682,Semi Annually,Senior Unsecured,Vanke Real Estate Hong Kong Co Ltd,18-Apr-23,USD,USD,4.15,-
102.0,XS2122877330,XS2122877330,Semi Annually,Senior Unsecured,Zhenro Properties Group Ltd,28-Feb-21,USD,USD,5.6,-
103.0,XS1823153033,XS1823153033,Semi Annually,Senior Unsecured,New Metro Global Ltd,23-May-21,USD,USD,7.125,-
104.0,SG7Z83968247,SG7Z83968247,Semi Annually,Senior Unsecured,Housing &amp; Development Board,18-Mar-21,SGD,SGD,3.14,-
105.0,AP7075561,SG7IC4000008,Semi Annually,Senior Unsecured,Housing &amp; Development Board,30-Oct-29,SGD,SGD,2.5980000000000003,-
106.0,BG1369258,SGXF78360827,Semi Annually,Senior Unsecured,Housing &amp; Development Board,24-Feb-27,SGD,SGD,1.76,-
107.0,US594918BR43,US594918BR43,Semi Annually,Senior Unsecured,Microsoft Corp,8-Aug-26,USD,USD,2.4,-
108.0,XS1453462076,XS1453462076,Semi Annually,Senior Unsecured,Link Finance Cayman 2009 Ltd,21-Jul-26,USD,USD,2.875,-
109.0,AX1631511,XS1951935847,Semi Annually,Senior Unsecured,Zhenro Properties Group Ltd,20-Aug-21,USD,USD,9.8,-
110.0,XS1751178499,XS1751178499,Semi Annually,First Lien,Country Garden Holdings Co Ltd,17-Jan-23,USD,USD,4.75,-
111.0,XS1876052025,XS1876052025,Semi Annually,First Lien,China Aoyuan Group Ltd,7-Sep-21,USD,USD,7.95,-
112.0,AP1551658,SG7HD2000000,Semi Annually,Junior Subordinated,Frasers Property Treasury Pte Ltd,Perpetual,SGD,SGD,3.95,Reset Date = 05 Oct 2022 &amp; every 5 years thereafter <br> Reset Rate = Prevailing SGD 5Y SOR plus the Initial Spread (2.245%) + Step Up Margin (100bps in Yr 10)
113.0,XS1937203740,XS1937203740,Semi Annually,Senior Unsecured,Greenland Global Investment Ltd,24-Oct-20,USD,USD,7.875,-
114.0,NY14100E,SG3263998209,Semi Annually,Senior Unsecured,Singapore Government,1-Jul-29,SGD,SGD,2.875,-
115.0,XS2193950354,XS2193950354,Semi Annually,Senior Unsecured,CLP Power Hong Kong Financing Limited,30-Jun-30,USD,USD,2.125,-
116.0,USG6382MAA74,USG6382MAA74,Semi Annually,Senior Unsecured,NagaCorp Ltd,21-May-21,USD,USD,9.375,-
117.0,XS0193333613,XS0193333613,Annually,Subordinated,Volkswagen Bank GmbH,7-Jun-24,EUR,EUR,5.5,-
118.0,XS1442177561,XS1442177561,Semi Annually,Senior Unsecured,Chongqing Nan'an Urban Construction &amp; Development Group Co Ltd,19-Jul-21,USD,USD,3.625,-
119.0,USQ78063AJ59,USQ78063AJ59,Semi Annually,Junior Subordinated,QBE Insurance Group Ltd,Perpetual,USD,USD,5.875,-
120.0,XS2013525253,XS2013525253,Semi Annually,Junior Subordinated,Standard Chartered PLC,Perpetual,SGD,SGD,5.375,Reset Date: 03 Oct 2024 and every 5 years thereafter <br> Reset Rate: Prevailing SGD 5Y SOR +  Initial Margin (3.683%)
121.0,AU3CB0237683,AU3CB0237683,Semi Annually,Senior Unsecured,Westpac Banking Corp,3-Jun-21,AUD,AUD,3.1,-
122.0,LW1353553,SG72D0000009,Semi Annually,Junior Subordinated,Mapletree Logistics Trust,Perpetual,SGD,SGD,4.18,Reset Rate=5Yr SGD SOR + Initial Spread (230bps)<br>Reset Date=25Nov2021 &amp; every 5y thereafter
123.0,XS2057865979,XS2057865979,Semi Annually,Senior Unsecured,Emirate of Abu Dhabi,30-Sep-29,USD,USD,2.5,-
124.0,XS1322361780,XS1322361780,Semi Annually,Senior Unsecured,Goldman Sachs Group Inc,27-Nov-35,SGD,SGD,4.3,-
125.0,MYBGJ1600028,MYBGJ1600028,Semi Annually,Senior Unsecured,Malaysia Government Investment Issue,26-Aug-21,MYR,MYR,3.7430000000000003,-
126.0,XS1920256564,XS1920256564,Semi Annually,Senior Unsecured,Logan Property Holdings Co Ltd,12-Dec-20,USD,USD,8.75,-
127.0,XS2163022739,XS2163022739,Semi Annually,Senior Unsecured,ST Engineering RHQ Ltd,29-Apr-25,USD,USD,1.5,-
128.0,XS2109192109,XS2109192109,Semi Annually,Senior Unsecured,Scenery Journey Ltd,24-Oct-23,USD,USD,12.0,-
129.0,XS0702140756,XS0702140756,Semi Annually,Senior Unsecured,Skysea International Capital Management Ltd,7-Dec-21,USD,USD,4.875,-
130.0,XS1839763973,XS1839763973,Semi Annually,Senior Unsecured,Hongkong Baorong Development Ltd,4-Dec-21,USD,USD,6.25,-
131.0,JK6066613,SG71H4000008,Semi Annually,Senior Unsecured,Ascendas Real Estate Investment Trust,7-Apr-21,SGD,SGD,2.655,-
132.0,NX15100Z,SG31A0000001,Semi Annually,Senior Unsecured,Singapore Government,1-Jun-25,SGD,SGD,2.375,-
133.0,XS1943449022,XS1943449022,Semi Annually,Senior Unsecured,Xinyuan Real Estate Co Ltd,15-Oct-21,USD,USD,14.2,-
134.0,XS1628340538,XS1628340538,Semi Annually,Subordinated,FWD Group Ltd,Perpetual,USD,USD,0.0,Reset Date: 15 June 2022 and every 5 Years thereafter)).<br> Reset Rate: Prevailing 5 year US Treasury + Initial Spread (4.865%)
135.0,XS1684384511,XS1684384511,Semi Annually,Senior Unsecured,SoftBank Group Corp,19-Sep-24,USD,USD,4.75,-
136.0,US961214DZ35,US961214DZ35,Semi Annually,Senior Unsecured,Westpac Banking Corp,15-May-23,USD,USD,3.65,-
137.0,XS2182288956,XS2182288956,Semi Annually,Senior Unsecured,"Hejun Shunze Investment Co., Limited",4-Jun-22,USD,USD,11.0,-
138.0,XS0649960373,XS0649960373,Semi Annually,Senior Unsecured,Wharf Finance No 1 Ltd,20-Jul-21,SGD,SGD,4.5,-
139.0,USY2R40TAB40,USY2R40TAB40,Semi Annually,First Lien,Delhi International Airport Ltd,4-Jun-29,USD,USD,6.45,-
140.0,XS1599276109,XS1599276109,Semi Annually,Senior Unsecured,Bank of China Ltd/Macau,20-Apr-27,USD,USD,3.5,-
141.0,XS1901086782,XS1901086782,Semi Annually,Senior Unsecured,Caiyun International Investment Ltd,8-Apr-22,USD,USD,5.5,-
142.0,US01609WAU62,US01609WAU62,Semi Annually,Senior Unsecured,Alibaba Group Holding Ltd,6-Dec-37,USD,USD,4.0,-
143.0,XS1958532829,XS1958532829,Semi Annually,Senior Unsecured,Vanke Real Estate Hong Kong Co Ltd,7-Jun-24,USD,USD,4.2,-
144.0,XS2071413483,XS2071413483,Semi Annually,Senior Unsecured,Agile Group Holdings Limited,Perpetual,USD,USD,7.875,Reset Date: 31 Jul 2024 and every 5 years thereafter <br> Reset Rate: 5Y UST + 11.294%
145.0,MYBUN1200483,MYBUN1200483,Quarterly,Secured,Segi Astana Sdn Bhd,23-Aug-22,MYR,MYR,4.38,-
146.0,HK0000089562,HK0000089562,Quarterly,Senior Unsecured,Sun Hung Kai Properties Capital Market Ltd,27-Sep-21,HKD,HKD,3.45,-
147.0,XS2096621912,XS2096621912,Semi Annually,Senior Unsecured,China Merchants Securities Co Ltd,21-Jan-23,USD,USD,2.625,-
148.0,XS2048598689,XS2048598689,Annually,Senior Unsecured,Mercedes-Benz Australia/Pacific Pty Ltd,30-Aug-22,AUD,AUD,1.625,-
149.0,XS2132420758,XS2132420758,Semi Annually,Senior Unsecured,Fortune Star (BVI) Limited,2-Jul-24,USD,USD,6.85,-
150.0,XS1572744222,XS1572744222,Quarterly,Senior Unsecured,Sumitomo Mitsui Financial Group Inc,29-Mar-22,AUD,AUD,1.37,Reset Rate =  Quarterly BBSW + 127 bps
151.0,JV6348785,SG71A5000002,Semi Annually,Subordinated,DBS Group Holdings Ltd,20-Jan-28,SGD,SGD,3.8,Reset Rate = 5Y SGD SOR + Initial Spread (1.1%) <br>Reset Date = 20Jan2023 (1st Call Date)
152.0,XS2188664929,XS2188664929,Semi Annually,Senior Unsecured,Greenland Global Investment Limited,16-Dec-22,USD,USD,6.25,-
153.0,NZ10100F,SG7U32949426,Semi Annually,Senior Unsecured,Singapore Government,1-Sep-30,SGD,SGD,2.875,-
154.0,QJ7550883,SG70A8000001,Semi Annually,Senior Unsecured,Singapore Technologies Telemedia Pte Ltd,2-Dec-25,SGD,SGD,4.05,-
155.0,XS2052453912,XS2052453912,Semi Annually,Senior Unsecured,Wuhan Metro Group Co Ltd,24-Sep-24,USD,USD,2.96,-
156.0,JK9640695,SG72C1000000,Semi Annually,Senior Unsecured,ESR-REIT,9-May-23,SGD,SGD,3.95,-
157.0,HK0000525334,HK0000525334,Semi Annually,Senior Unsecured,Industrial &amp; Commercial Bank of China Ltd/Hong Kong,16-Sep-20,CNH,CNH,3.1,-
158.0,XS1227064430,XS1227064430,Semi Annually,Senior Unsecured,Bharat Petroleum Corp Ltd,8-May-25,USD,USD,4.0,-
159.0,AU3CB0253367,AU3CB0253367,Semi Annually,Senior Unsecured,Virgin Australia Holdings Ltd,30-May-23,AUD,AUD,8.25,-
160.0,XS1728444131,XS1728444131,Semi Annually,Senior Unsecured,Fortune Star BVI Ltd,5-Dec-20,USD,USD,5.375,-
161.0,XS1485745704,XS1485745704,Semi Annually,Senior Unsecured,QNB Finance Ltd,7-Sep-21,USD,USD,2.125,-
162.0,AM9829582,HK0000334208,Semi Annually,Senior Unsecured,Emperor International Holdings Ltd,30-Mar-22,HKD,HKD,4.7,-
163.0,XS1684818377,XS1684818377,Semi Annually,Senior Unsecured,Eastern Creation II Investment Holdings Ltd,26-Sep-20,USD,USD,2.75,-
164.0,USY3815NAY77,USY3815NAY77,Semi Annually,Senior Unsecured,Hyundai Capital Services Inc,29-Aug-22,USD,USD,3.0,-
165.0,XS2040322898,XS2040322898,Semi Annually,Senior Unsecured,Fujian Zhanglong Group Co Ltd,26-Aug-22,USD,USD,5.875,-
166.0,XS1903671938,XS1903671938,Semi Annually,Senior Unsecured,Scenery Journey Ltd,6-Nov-23,USD,USD,13.75,-
167.0,AN8992827,SG7DE2000007,Semi Annually,Senior Unsecured,GLL IHT Pte Ltd,15-Feb-23,SGD,SGD,3.85,-
168.0,US404280AT69,US404280AT69,Semi Annually,Junior Subordinated,HSBC Holdings PLC,Perpetual,USD,USD,6.375,Reset Rate = Mid Swap + 4.368%<br>Reset Dates = 30Mar2025 &amp; every 5yr thereafter
169.0,XS1649885974,XS1649885974,Semi Annually,Subordinated,Chong Hing Bank Limited,26-Jul-27,USD,USD,3.8760000000000003,-
170.0,CH0317921697,CH0317921697,Annually,Junior Subordinated,UBS Group AG,Perpetual,USD,USD,6.875,Reset Date: 22 Mar 2021 and every 5 Years thereafter <br> Reset Rate: USD 5Y ICE SWAP Rate+ Margin (5.497%)
171.0,XS2075937297,XS2075937297,Semi Annually,Secured,Sunac China Holdings Ltd,1-Feb-24,USD,USD,7.5,-
172.0,USY8137FAP37,USY8137FAP37,Semi Annually,Senior Unsecured,Sri Lanka Government International Bond,14-Mar-29,USD,USD,7.85,-
173.0,US71656MBN83,US71656MBN83,Quarterly,Senior Unsecured,Petroleos Mexicanos,11-Mar-22,USD,USD,3.965,Reset Date: Every quarter starting from 13 Dec 2016<br> Reset Rate: QUARTLY US LIBOR + 365bps
174.0,XS1753595328,XS1753595328,Semi Annually,Senior Unsecured,ABJA Investment Co Pte Ltd,24-Jan-28,USD,USD,5.45,-
175.0,US47215PAE60,US47215PAE60,Semi Annually,Senior Unsecured,"JD.com, Inc.",14-Jan-30,USD,USD,3.375,-
176.0,XS1195502031,XS1195502031,Semi Annually,Senior Unsecured,Jaguar Land Rover Automotive PLC,1-Mar-23,GBP,GBP,3.875,-
177.0,XS2125118971,XS2125118971,Semi Annually,Senior Unsecured,Hong Seng Ltd,27-Aug-22,USD,USD,9.875,-
178.0,XS2099049699,XS2099049699,Semi Annually,Senior Unsecured,SF Holding Investment Ltd,20-Feb-30,USD,USD,2.875,-
179.0,AR4283214,SG7MJ0000009,Semi Annually,Senior Unsecured,FCOT Treasury Pte Ltd,28-Feb-23,SGD,SGD,3.185,-
180.0,BK0919526,SGXF98985447,Semi Annually,Senior Unsecured,Housing &amp; Development Board,24-Jun-30,SGD,SGD,1.265,-
181.0,SG7JE9000007,SG7JE9000007,Semi Annually,Senior Unsecured,Pacific International Lines Pte Ltd,16-Nov-20,SGD,SGD,8.5,-
