Identifier,ISIN,Name,Issuer,Currency,Frequency,Ins_Type,Last_Trading_Day
US29379VBS16,US29379VBS16,"3,5% Enterprise Products Oper. LLC (2022)",Enterprise Products Oper. LLC,US Dollar,annually,Fixed,1/2/2022
US631103AF50,US631103AF50,"4,25% NASDAQ, INC. (2024)","NASDAQ, INC.",US Dollar,annually,Fixed,1/6/2024
US06368BGS16,US06368BGS16,VAR Bank of Montreal (2032),Bank of Montreal,US Dollar,annually,Floating Rate Note,15/12/2032
XS2147889427,XS2147889427,"1,875% Diageo Finance PLC (2027)",Diageo Finance PLC,Euro,annually,Fixed,27/03/2027
XS1405775708,XS1405775708,"0,75% Thermo Fisher Scientific Inc. (2024)",Thermo Fisher Scientific Inc.,Euro,,Fixed,12/9/2024
XS2000538343,XS2000538343,"0,875% Erste Group Bank AG (2026)",Erste Group Bank AG,Euro,annually,Fixed,22/05/2026
US912810EN47,US912810EN47,"7,625% Vereinigte Staaten von Amerika (2022)",Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,15/11/2022
DE000HLB1B51,DE000HLB1B51,0% Landesbank Hessen-Thüringen Girozentrale (2021),Landesbank Hessen-Thüringen Girozentrale,Euro,,Fixed,18/05/2021
XS1576693110,XS1576693110,"0,25% OP-Asuntoluottopankki Oyj (2024)",OP-Asuntoluottopankki Oyj,Euro,annually,Fixed,13/03/2024
US655844BS65,US655844BS65,"2,9% NORFOLK SOUTHERN CORP (2026)",NORFOLK SOUTHERN CORP,US Dollar,,Fixed,15/06/2026
DE000SYM7720,DE000SYM7720,"1,25% Symrise (2025)",Symrise,Euro,annually,Fixed,29/11/2025
US05526DBB01,US05526DBB01,"3,557% B.A.T. Capital Corp. (2027)",B.A.T. Capital Corp.,US Dollar,annually,Fixed,15/08/2027
XS1577962084,XS1577962084,"1,3% BAXTER INTERNATIONAL INC (2025)",BAXTER INTERNATIONAL INC,US Dollar,annually,Fixed,30/05/2025
DE000HLB2E08,DE000HLB2E08,"0,4% Landesbank Hessen-Thüringen Girozentrale (2020)",Landesbank Hessen-Thüringen Girozentrale,Euro,,Fixed,3/8/2020
US59217HBB24,US59217HBB24,"3,45% Metropolitan Life Global Funding I (2026)",Metropolitan Life Global Funding I,US Dollar,annually,Fixed,18/12/2026
FR0013242336,FR0013242336,"1,375% Île de France, Région (2029)","Île de France, Région",Euro,,Fixed,14/03/2029
XS1138641508,XS1138641508,"2,25% Total Capital International SA (2020)",Total Capital International SA,Euro,,Fixed,17/12/2020
US30231GAF90,US30231GAF90,"2,709% Exxon Mobil (2025)",Exxon Mobil,US Dollar,annually,Fixed,6/3/2025
CH0520042489,CH0520042489,"0,25% UBS Group AG (2026)",UBS Group AG,Euro,annually,Fixed,29/01/2026
XS1951313763,XS1951313763,"2,125% Imperial Brands Finance PLC (2027)",Imperial Brands Finance PLC,Euro,annually,Fixed,12/2/2027
US855244AQ29,US855244AQ29,"3,8% Starbucks Corp. (2025)",Starbucks Corp.,US Dollar,annually,Fixed,15/08/2025
US247916AD13,US247916AD13,"5,5% Denbury Resources Inc. (2022)",Denbury Resources Inc.,US Dollar,,Fixed,1/5/2022
XS1273507100,XS1273507100,"0,75% Volkswagen Leasing GmbH (2020)",Volkswagen Leasing GmbH,Euro,,Fixed,11/8/2020
XS1784067529,XS1784067529,"0,25% Nordea Kiinnitysluottopankki Oyj (2023)",Nordea Kiinnitysluottopankki Oyj,Euro,,Fixed,28/02/2023
XS1046593908,XS1046593908,"5,625% Mexiko, Vereinigte Staaten (2114)","Mexiko, Vereinigte Staaten",Britische Pfund,,Fixed,19/03/2114
US06051GHE26,US06051GHE26,"2,7962% Bank of America Corp. (2024)",Bank of America Corp.,US Dollar,annually,Fixed,5/3/2024
DE000LB09NJ5,DE000LB09NJ5,"1,25% Landesbank Baden-Württemberg (2021)",Landesbank Baden-Württemberg,Euro,annually,Fixed,13/07/2021
US655844BY34,US655844BY34,"4,15% NORFOLK SOUTHERN CORP (2048)",NORFOLK SOUTHERN CORP,US Dollar,annually,Fixed,28/02/2048
US05565QDN51,US05565QDN51,"3,279% BP Capital Markets PLC (2027)",BP Capital Markets PLC,US Dollar,,Fixed,19/09/2027
XS1857084542,XS1857084542,3% Assura Financing PLC (2028),Assura Financing PLC,Britische Pfund,,Fixed,19/07/2028
DE000NWB18M7,DE000NWB18M7,"1,2% NRW.Bank (2039)",NRW.Bank,Euro,annually,Fixed,28/03/2039
DE000LB010N7,DE000LB010N7,"1,9% Landesbank Baden-Württemberg (2021)",Landesbank Baden-Württemberg,Euro,annually,Fixed,13/07/2021
US500769GU24,US500769GU24,"1,875% Kreditanstalt für Wiederaufbau (2020)",Kreditanstalt für Wiederaufbau,US Dollar,,Fixed,30/11/2020
PTOTEXOE0024,PTOTEXOE0024,"1,95% Portugal, Republik (2029)","Portugal, Republik",Euro,annually,Fixed,15/06/2029
US437076BT82,US437076BT82,"2,8% Home Depot Inc., The (2027)","Home Depot Inc., The",US Dollar,,Fixed,14/09/2027
USU7533PAF90,USU7533PAF90,"4,875% RBS Global Inc./Rexnord LLC (2025)",RBS Global Inc./Rexnord LLC,US Dollar,annually,Fixed,15/12/2025
US959802AH24,US959802AH24,"6,2% Western Union Co. (2036)",Western Union Co.,US Dollar,annually,Fixed,17/11/2036
USY4899GDC43,USY4899GDC43,"3,75% Korea Hydro & Nuclear Power Co. Ltd. (2023)",Korea Hydro & Nuclear Power Co. Ltd.,US Dollar,annually,Fixed,25/07/2023
US931142EM13,US931142EM13,"3,05% Walmart (2026)",Walmart,US Dollar,annually,Fixed,8/7/2026
AT0000A14HZ8,AT0000A14HZ8,"2,6% Erste Group Bank AG (2024)",Erste Group Bank AG,Euro,annually,Fixed,29/01/2024
US94974BEV80,US94974BEV80,"4,6% Wells Fargo & Co. (2021)",Wells Fargo & Co.,US Dollar,annually,Fixed,1/4/2021
IT0005188120,IT0005188120,"0,1% Italien, Republik (2022)","Italien, Republik",Euro,annually,Fixed,15/05/2022
US075887BA64,US075887BA64,"3,125% BECTON DICKINSON (2021)",BECTON DICKINSON,US Dollar,annually,Fixed,8/11/2021
CH0015803239,CH0015803239,"3,5% Schweizerische Eidgenossenschaft (2033)",Schweizerische Eidgenossenschaft,Schweizer Franken,annually,Fixed,8/4/2033
US65339KAW09,US65339KAW09,"2,8% Nextera Energy Capital Ho.Inc. (2023)",Nextera Energy Capital Ho.Inc.,US Dollar,annually,Fixed,15/01/2023
BE0002260298,BE0002260298,"0,125% Belfius Bank SA/NV (2026)",Belfius Bank SA/NV,Euro,,Fixed,14/09/2026
XS1186684137,XS1186684137,"1,125% SNCF Réseau S.A. (2030)",SNCF Réseau S.A.,Euro,annually,Fixed,25/05/2030
DE0001062321,DE0001062321,Stufenzins Landesschatzanweisung Ausgabe 87,"Berlin, Land",Euro,annually,Stufenzins,28/02/2028
XS0834367863,XS0834367863,"2,625% OMV AG (2022)",OMV AG,Euro,annually,Fixed,27/09/2022
DE000LB1P9C8,DE000LB1P9C8,"0,125% Landesbank Baden-Württemberg (2023)",Landesbank Baden-Württemberg,Euro,annually,Fixed,27/06/2023
US12634MAB63,US12634MAB63,"3,5% Cnooc Finance (2025)",Cnooc Finance,US Dollar,,Fixed,5/5/2025
DE000HLB1YZ0,,"0,6% Landesbank Hessen-Thüringen Girozentrale (2025)",Landesbank Hessen-Thüringen Girozentrale,Euro,annually,Fixed,11/2/2025
BE6295391914,BE6295391914,"1,75% Anheuser-Busch InBev S.A./N.V. (2025)",Anheuser-Busch InBev S.A./N.V.,Britische Pfund,annually,Fixed,7/3/2025
US68389XBJ37,US68389XBJ37,4% ORACLE CORP (2046),ORACLE CORP,US Dollar,,Fixed,15/07/2046
DE000A1R07S9,DE000A1R07S9,"2,125% Kreditanstalt für Wiederaufbau (2023)",Kreditanstalt für Wiederaufbau,Euro,annually,Fixed,15/08/2023
DE000HLB4B66,DE000HLB4B66,"0,35% Landesbank Hessen-Thüringen Girozentrale (2022)",Landesbank Hessen-Thüringen Girozentrale,Euro,,Fixed,14/12/2022
DE000BLB29U5,DE000BLB29U5,1% Bayerische Landesbank (2031),Bayerische Landesbank,Euro,annually,Fixed,9/4/2031
DE000LB1DY30,DE000LB1DY30,1% Landesbank Baden-Württemberg (2024),Landesbank Baden-Württemberg,Euro,annually,Fixed,15/07/2024
DE000HSH41Z8,DE000HSH41Z8,1% Hamburg Commercial Bank AG (2023),Hamburg Commercial Bank AG,Euro,,Fixed,2/10/2023
XS1396347723,XS1396347723,"7% Libanon, Republik (2031)","Libanon, Republik",US Dollar,annually,Fixed,22/04/2031
XS1720985255,XS1720985255,"2,625% Adecco International Finance Services B.V. (2021)",Adecco International Finance Services B.V.,US Dollar,annually,Fixed,21/11/2021
XS1319820624,XS1319820624,"1,625% Carnival Corp (2021)",Carnival Corp,Euro,annually,Fixed,22/02/2021
IT0005172322,IT0005172322,"0,95% Italien, Republik (2023)","Italien, Republik",Euro,annually,Fixed,15/03/2023
US35906AAW80,US35906AAW80,"10,5% Frontier Communications Corp.",Frontier Communications Corp.,US Dollar,,Fixed,-
DE000GRN0008,DE000GRN0008,"0,625% Deutsche Kreditbank AG (2021)",Deutsche Kreditbank AG,Euro,annually,Fixed,8/6/2021
DE000HSH4W30,DE000HSH4W30,"2,25% Hamburg Commercial Bank AG (2020)",Hamburg Commercial Bank AG,Euro,annually,Fixed,10/7/2020
XS1861206636,XS1861206636,"2% THE GOLDMAN SACHS GROUP, INC. (2028)","THE GOLDMAN SACHS GROUP, INC.",Euro,annually,Fixed,1/11/2028
XS1638075488,XS1638075488,"3,625% EDP Finance B.V. (2024)",EDP Finance B.V.,US Dollar,,Fixed,15/07/2024
AU3SG0001522,AU3SG0001522,"2,75% Western Aust Treas Corp (2022)",Western Aust Treas Corp,Australischer Dollar,annually,Fixed,20/10/2022
DE0001102465,DE0001102465,"0,25 % Bundesanleihe von 2019/29",Bundesrepublik Deutschland,Euro,annually,Fixed,15/02/2029
US912803AX14,US912803AX14,0% Vereinigte Staaten von Amerika (2021),Vereinigte Staaten von Amerika,US Dollar,annually,Fixed,15/08/2021
XS1458461610,XS1458461610,VAR Wells Fargo & Co. (2021),Wells Fargo & Co.,Australischer Dollar,,Floating Rate Note,27/07/2021
US92857WBC38,US92857WBC38,"2,95% Vodafone Group PLC (2023)",Vodafone Group PLC,US Dollar,annually,Fixed,19/02/2023
DE0001141729,DE0001141729,"0,25 % Bundesobligation Serie 172",Bundesrepublik Deutschland,Euro,annually,Fixed,16/10/2020
XS0213026197,XS0213026197,"4,25% Citigroup Inc. (2030)",Citigroup Inc.,Euro,annually,Fixed,25/02/2030
USF8586CBS01,USF8586CBS01,"4,75% Société Générale S.A. (2025)",Société Générale S.A.,US Dollar,,Fixed,24/11/2025
US026874DR53,US026874DR53,"3,4% American International Group Inc. (2030)",American International Group Inc.,US Dollar,annually,Fixed,30/06/2030
XS1785458172,XS1785458172,"2,125% WPC Eurobond B.V. (2027)",WPC Eurobond B.V.,Euro,,Fixed,15/04/2027
US084664CU37,US084664CU37,"1,85% Berkshire Hathaway Fin. Corp. (2030)",Berkshire Hathaway Fin. Corp.,US Dollar,,Fixed,12/3/2030
XS1497605805,XS1497605805,"5,75% NWD Finance (BVI) Ltd.",NWD Finance (BVI) Ltd.,US Dollar,,Fixed,-
US775109BG57,US775109BG57,"4,3% Rogers Communications Inc. (2048)",Rogers Communications Inc.,US Dollar,,Fixed,15/02/2048
XS1500377517,XS1500377517,"4,875% Hellenic Petroleum Finance PLC (2021)",Hellenic Petroleum Finance PLC,Euro,,Fixed,14/10/2021
USU88868AG68,USU88868AG68,"1,5% T-MOBILE USA INC (2026)",T-MOBILE USA INC,US Dollar,annually,Fixed,15/02/2026
XS1232146412,XS1232146412,"0,75% Caterpillar International Finance Ltd. (2020)",Caterpillar International Finance Ltd.,Euro,annually,Fixed,13/10/2020
US832696AM09,US832696AM09,"4,25% J.M. Smucker Co. (2035)",J.M. Smucker Co.,US Dollar,annually,Fixed,15/03/2035
USP0779LAA37,,"8,75% Banco BTG Pactual S.A.(LU Br.)",Banco BTG Pactual S.A.(LU Br.),US Dollar,,Fixed,-
XS2012102674,XS2012102674,"0,875% Chubb INA Holdings Inc. (2027)",Chubb INA Holdings Inc.,Euro,annually,Fixed,15/06/2027
DE000HLB0ZN5,DE000HLB0ZN5,"1,6% Landesbank Hessen-Thüringen Girozentrale (2021)",Landesbank Hessen-Thüringen Girozentrale,Euro,annually,Fixed,16/08/2021
US842587CX39,US842587CX39,"4,4% Southern Company, The (2046)","Southern Company, The",US Dollar,,Fixed,1/7/2046
US478160CK81,US478160CK81,"2,9% Johnson & Johnson (2028)",Johnson & Johnson,US Dollar,,Fixed,15/01/2028
XS1615677280,XS1615677280,"0,625% Landwirtschaftliche Rentenbank (2027)",Landwirtschaftliche Rentenbank,Euro,annually,Fixed,18/05/2027
DE000HLB1JP2,DE000HLB1JP2,"1,3% Landesbank Hessen-Thüringen Girozentrale (2024)",Landesbank Hessen-Thüringen Girozentrale,Euro,annually,Fixed,22/10/2024
XS1488494987,XS1488494987,1% Hemsö Fastighets AB (2026),Hemsö Fastighets AB,Euro,annually,Fixed,9/9/2026
US563469UU76,US563469UU76,"2,6% Manitoba, Provinz (2024)","Manitoba, Provinz",US Dollar,annually,Fixed,16/04/2024
US718286CA32,US718286CA32,"3,7% Philippinen, Republik der (2041)","Philippinen, Republik der",US Dollar,,Fixed,1/3/2041
FI4000315395,FI4000315395,"4,875% SRV Yhtiöt Oyj (2022)",SRV Yhtiöt Oyj,Euro,,Fixed,27/03/2022
XS0850020586,XS0850020586,"4,25% Marokko, Königreich (2022)","Marokko, Königreich",US Dollar,annually,Fixed,11/12/2022
CH0299477353,CH0299477353,"0,5% Wells Fargo & Co. (2023)",Wells Fargo & Co.,Schweizer Franken,,Fixed,2/11/2023
FI4000197959,FI4000197959,"0,5% Finnland, Republik (2026)","Finnland, Republik",Euro,,Fixed,15/08/2026
FR0013059417,FR0013059417,"2,375% SEB S.A. (2022)",SEB S.A.,Euro,,Fixed,25/11/2022
DE000HSH4HN2,DE000HSH4HN2,0% Hamburg Commercial Bank AG (2021),Hamburg Commercial Bank AG,Euro,annually,Fixed,21/05/2021
PTBSRBOE0021,PTBSRBOE0021,"0,875% Banco Santander Totta S.A. (2020)",Banco Santander Totta S.A.,Euro,,Fixed,27/10/2020
USU2918VAE57,USU2918VAE57,"5,375% Endo Fin. LLC/Endo Finco Inc. (2023)",Endo Fin. LLC/Endo Finco Inc.,US Dollar,,Fixed,15/01/2023
US87264AAT25,US87264AAT25,"5,375% T-MOBILE USA INC (2027)",T-MOBILE USA INC,US Dollar,,Fixed,15/04/2027
XS2102495673,XS2102495673,"0,05% European Investment Bank (2030)",European Investment Bank,Euro,annually,Fixed,16/01/2030
FR0013183571,FR0013183571,"4,125% Tereos Finance Group I (2023)",Tereos Finance Group I,Euro,,Fixed,16/06/2023
US686330AK78,US686330AK78,"3,25% Orix Corp (2024)",Orix Corp,US Dollar,,Fixed,4/12/2024
US06051GGR48,US06051GGR48,VAR Bank of America Corp. (2028),Bank of America Corp.,US Dollar,,Floating Rate Note,21/07/2028
ES0000012B88,ES0000012B88,"1,4% Spanien, Königreich (2028)","Spanien, Königreich",Euro,,Fixed,30/07/2028
US500769CH58,US500769CH58,0% Kreditanstalt für Wiederaufbau (2037),Kreditanstalt für Wiederaufbau,US Dollar,annually,Fixed,29/06/2037
IT0005142143,IT0005142143,"0,65% Italien, Republik (2020)","Italien, Republik",Euro,annually,Fixed,1/11/2020
